r(cm),T_mean(K),T_rms(K),uz_mean(m/s),ur_mean(m/s),uz_rms(m/s),ur_rms(m/s),uz'T'(K-m/s),ur'T'(K-m/s),uz'ur'(m/s)^2
-20.0,308.811,85.64192898,0.0724809,0.1398242,0.1646308,0.2109207,14.0992992,18.06365527,0.06112483
-19.7496,311.291,92.47794332,0.0765871,0.1400683,0.17000882,0.21976103,15.72206632,20.32304801,0.06016019
-19.0312,320.58,116.21187547,0.0923429,0.13946562,0.18902222,0.24642887,21.9666268,28.63796163,0.04867447
-18.6432,326.933,129.66225357,0.10371,0.13892412,0.19848652,0.26044479,25.73620994,33.76985874,0.03872715
-18.3221,332.193,139.6316583,0.113255,0.13840659,0.2059784,0.27155465,28.76110514,37.91762663,0.02757325
-17.6223,346.598,163.70522289,0.142825,0.13644561,0.22105859,0.29642874,36.18844567,48.52693353,0.03683098
-16.9317,363.43,189.83677199,0.182106,0.13272471,0.24288845,0.3214082,46.10915964,61.01509547,0.07107855
-16.25,380.777,214.70072194,0.226534,0.12745816,0.27245238,0.34407174,58.49572293,73.87245027,0.1000177
-16.0324,387.023,222.73100368,0.244212,0.12505362,0.28434908,0.35137438,63.33335626,78.26196803,0.10940375
-15.75,395.084,232.71226869,0.267286,0.12189313,0.29929016,0.36050565,69.64849218,83.89408844,0.12027579
-15.25,407.702,246.56256812,0.31011,0.11576166,0.32606901,0.37459447,80.39641276,92.36097553,0.13872938
-14.5638,421.972,261.49799234,0.363928,0.10905232,0.35734157,0.39324781,93.444104,102.83351279,0.16313822
-13.8775,437.876,277.25006763,0.423103,0.10256606,0.38859233,0.41383511,107.73725015,114.73581281,0.18795186
-13.5318,446.993,285.55139642,0.455477,0.09888559,0.40542694,0.42243056,115.77022757,120.62563697,0.19952352
-13.1912,455.931,293.43892039,0.487386,0.09532457,0.42144157,0.43078684,123.66736038,126.40962473,0.20994669
-12.505,475.041,310.41794407,0.558603,0.08862369,0.45822374,0.44526138,142.24087268,138.21712337,0.23173997
