time(sec),HRR(kW)
25.108131,17.54811
25.213634,22.2852
25.309694,25.50429
25.392659,20.10301
25.487583,18.25825
25.58297,22.36942
25.662919,26.43027
25.760212,29.84526
25.851133,25.10631
25.955268,23.78866
26.051767,26.83307
26.1206,26.08403
26.215467,22.35843
26.335203,20.22327
26.442639,24.64132
26.527603,23.63984
26.597375,20.99725
26.677817,22.70168
26.784475,25.15389
26.918106,23.10911
27.012515,20.07792
27.106768,20.03132
27.216696,28.68081
27.31602,26.74968
27.408715,20.4299
27.486312,15.99556
27.57103,17.36819
27.68537,22.06579
27.816436,20.57407
27.918139,22.11263
28.004924,20.89428
28.088943,27.09645
28.198622,29.25347
28.302688,26.30887
28.374552,15.16852
28.450946,12.70301
28.547708,15.22762
28.671586,22.04367
28.765063,27.11875
28.851084,30.24199
28.937641,27.1328
29.026736,28.51367
29.147032,24.18976
29.246762,27.67425
29.331932,18.7187
29.419236,21.36204
29.511344,25.41697
29.635704,24.42528
29.721681,16.67077
29.800478,13.13113
29.909778,16.46134
29.998358,23.11085
30.07558,28.11316
30.161134,27.00057
30.272512,24.33199
30.368415,21.43437
30.453797,22.25828
30.530018,22.38171
30.625917,24.26718
30.758561,27.65048
30.856219,27.18198
30.949181,21.58101
31.032275,25.30877
31.126321,25.14735
31.249637,22.29004
31.340697,16.89364
31.434652,15.27697
31.535646,17.94435
31.650395,24.37916
31.731263,26.45927
31.822058,25.14763
31.920119,25.55931
32.032664,21.71788
32.146622,21.15585
32.245504,18.29152
32.339861,19.93331
32.437629,20.19514
32.550713,23.19117
32.643527,29.67686
32.724419,21.65224
32.81839,21.19498
32.917636,22.63233
33.03763,22.99407
33.133314,27.90972
33.217945,24.66752
33.306543,25.28327
33.405462,26.55685
33.513225,22.56247
33.608485,17.50733
33.696826,14.71385
33.804994,16.35531
33.88903,23.76681
33.962198,30.11978
34.047591,27.15314
34.15003,26.92986
34.261451,21.93185
34.35442,25.21676
34.441101,18.24139
34.52982,21.7686
34.650528,22.48182
34.771687,20.88825
34.859407,14.14194
34.945737,16.5329
35.05277,24.28061
35.185827,25.80688
35.295221,19.25075
35.391773,16.90488
35.487999,14.63779
35.567436,16.07658
35.675635,25.787
35.776208,30.14452
35.877962,26.43639
35.983666,25.32653
36.078823,33.99069
36.185867,23.27078
36.270236,22.6238
36.368505,22.10723
36.475511,26.54706
36.56132,20.39227
36.637246,19.39612
36.722294,21.33488
36.832528,25.53268
36.930907,26.29536
37.018192,19.70026
37.098499,22.31883
37.200374,27.08857
37.333216,27.14134
37.442299,13.6811
37.534257,11.69097
37.635846,16.437
37.730736,20.13414
37.841362,26.00897
37.947873,27.82672
38.033029,23.58648
38.121625,22.71429
38.235477,21.20856
38.347468,24.06003
38.431504,32.85628
38.507153,24.83797
38.591559,25.97861
38.675593,24.16307
38.795242,25.16943
38.889201,20.07003
38.974813,18.01537
39.079352,20.61427
39.176038,20.56011
39.246374,25.69063
39.3181,23.73406
39.427292,27.2598
39.527204,23.81261
39.648555,20.63735
39.72794,17.22299
39.809836,17.9874
39.900451,22.24715
40.019525,29.43546
40.121294,22.50642
40.211047,17.70268
40.313809,21.26719
40.424458,23.17698
40.507571,24.53944
40.589601,21.20216
40.714743,24.323
40.839619,25.99246
40.93488,22.85056
41.017283,20.01133
41.096829,21.77256
41.212118,25.54879
41.321732,23.96019
41.407632,20.12556
41.494183,23.99761
41.583608,24.76634
41.688672,20.60413
41.805667,17.66626
41.896102,12.03246
41.989695,15.46828
42.103552,25.5265
42.217761,27.91028
42.300054,23.89129
42.388322,19.35266
42.480084,19.74482
42.566568,22.2874
42.667045,20.40772
42.77161,25.93356
42.875978,22.40637
42.974001,22.17095
43.062269,24.85177
43.147525,23.23342
43.242034,23.05289
43.339285,18.72024
43.44932,23.97645
43.542828,24.57733
43.616065,24.63629
43.72536,24.28657
43.855824,21.8564
43.9553,27.48475
44.045598,23.57939
44.130863,24.52956
44.218334,23.58246
44.323151,23.23763
44.414529,21.2193
44.49642,13.78195
44.611559,17.54575
44.739695,28.42773
44.828066,32.7102
44.911411,26.05515
44.995146,28.19652
45.119605,25.77745
45.232097,22.12009
45.314074,17.63529
45.40028,16.58113
45.491635,18.51808
45.580546,26.17615
45.667136,25.89013
45.749336,20.56108
45.845793,25.05346
45.980548,21.84074
46.081569,21.08153
46.184575,21.44495
46.277752,20.78139
46.38082,24.48639
46.478385,26.8444
46.571032,17.4267
46.665387,18.98312
46.768852,23.05584
46.861828,28.49671
46.944087,21.02447
47.041804,27.13963
47.163448,25.95584
47.269029,24.35349
47.351433,22.62033
47.43318,23.84244
47.519833,23.07358
47.620352,22.11108
47.718212,20.27417
47.796697,16.23099
47.884417,17.84768
47.978676,20.48331
48.104758,22.76901
48.202733,22.24133
48.288421,21.71562
48.383144,29.82069
48.499011,26.0882
48.603856,20.24379
48.690245,12.04275
48.78462,10.96059
48.88872,15.74896
48.981497,26.27847
49.074356,26.51114
49.164691,21.58506
49.256201,23.26151
49.348437,27.27838
49.436729,22.92181
49.522286,24.8256
49.626875,26.44997
49.737922,27.43556
49.822486,21.29425
49.907711,25.53313
49.994631,25.87636
50.108092,22.61553
50.201213,19.8083
50.28812,13.31038
50.383073,15.51021
50.487639,17.06959
50.596029,29.82833
50.686239,28.56879
50.768716,24.74403
50.863143,27.41997
50.97988,24.57134
51.077481,20.22071
51.158906,18.14649
51.247102,19.34842
51.35392,21.33089
51.470569,25.65059
51.560172,21.39645
51.638121,17.72689
51.736303,20.2801
51.855374,24.42383
51.94464,32.90363
52.034994,24.85473
52.135052,24.48118
52.255864,23.00299
52.38064,20.40962
52.465064,14.7916
52.558222,15.34093
52.662655,20.21964
52.788088,22.61691
52.898917,23.22972
52.985724,17.19303
53.085085,17.08187
53.173515,19.75539
53.276549,32.90439
53.36605,32.14963
53.448106,25.32859
53.540837,23.64292
53.655,25.43661
53.732402,25.13625
53.81117,23.55151
53.900129,24.13794
54.016994,22.1978
54.131803,25.99809
54.218057,15.00182
54.317196,16.11953
54.423977,20.11459
54.518557,25.20463
54.607517,24.90938
54.70481,19.62098
54.83816,21.54376
54.944219,22.0805
