r(cm),T_mean(K),T_rms(K),uz_mean(m/s),ur_mean(m/s),uz_rms(m/z),ur_rms(m/s),uz'T'(K-m/s),ur'T'(K-m/s),uz'ur'(m/s)^2
-20.0,295.921,39.15852398,0.0633267,0.15118551,0.10897936,0.13536204,4.26747072,5.30057771,0.04330459
-19.7496,296.748,45.42334202,0.0640195,0.15340661,0.11263747,0.14088914,5.11637039,6.39965547,0.04578462
-19.3216,298.926,60.12936055,0.0659213,0.15721399,0.11957006,0.15197468,7.18967144,9.13814026,0.05063149
-19.0312,300.565,69.14484796,0.0674695,0.15964927,0.1243873,0.15970038,8.60074084,11.0424582,0.05372918
-18.3221,306.367,94.02941029,0.073278,0.16515822,0.13897662,0.18091041,13.06788932,17.01089905,0.05956427
-17.6223,315.219,120.32414554,0.0820817,0.17011501,0.15577387,0.20360134,18.74335836,24.49815737,0.06329054
-16.9317,328.803,153.07285847,0.096105,0.17349462,0.17142083,0.22754668,26.23987602,34.83122088,0.06846664
-16.25,347.506,189.9157708,0.11753,0.17445061,0.18624849,0.25097778,35.37152553,47.66463777,0.06762231
-15.9708,358.823,208.75344309,0.13191,0.17400653,0.19380299,0.261996,40.45704202,54.69256707,0.05947705
-15.75,367.663,222.33038479,0.143991,0.17331061,0.20011197,0.27040536,44.49097099,60.11932827,0.05045251
-15.25,387.877,250.52425032,0.179042,0.16977122,0.21723628,0.28862477,54.42295541,72.30750419,0.03827775
-14.5638,409.256,276.97725538,0.228578,0.16433711,0.24638649,0.30925516,68.24345238,85.65664544,0.09493501
-13.8775,430.533,300.44949659,0.285565,0.15935885,0.28367252,0.32873682,85.22926657,98.76881353,0.13986251
-13.6672,437.069,307.02231189,0.30467,0.15831261,0.29645269,0.33381984,91.01759159,102.49013923,0.15086295
-13.1912,451.597,321.17285066,0.34797,0.15575905,0.32366495,0.34547945,103.95239472,110.95861963,0.17301768
-12.505,473.585,340.69928089,0.418919,0.15289483,0.37395454,0.35776545,127.40604378,121.89043001,0.2011505
-11.8188,497.905,361.2270754,0.497565,0.14974831,0.43062048,0.36428494,155.55177752,131.58958274,0.23195354
-11.1325,522.461,381.09185245,0.575709,0.14775871,0.47195127,0.36854078,179.85678324,140.44788932,0.25475273
-10.4462,545.755,398.26373172,0.64883,0.14770259,0.50229971,0.37303507,200.04775747,148.5663372,0.26697369
-9.76,569.908,413.65081893,0.717766,0.14757625,0.53591511,0.37665273,221.68172215,155.80270856,0.2770492
-9.07375,597.614,430.1790325,0.781281,0.14750904,0.57473124,0.37905026,247.23732943,163.05947547,0.28166203
-8.3875,626.528,444.39959496,0.838924,0.14902935,0.61277157,0.37822938,272.3154386,168.08498334,0.27153061
-7.69596,651.9,453.87333035,0.892362,0.15224635,0.6504952,0.37293017,295.24242098,169.263056,0.24526967
-7.00248,674.257,461.34910859,0.943661,0.15355586,0.69700861,0.36563493,321.56430011,168.685349,0.21676298
-6.30725,699.392,467.86322788,1.0003,0.15124902,0.75216621,0.35570825,351.91090859,166.42281061,0.19526262
-5.61044,736.09,473.49445614,1.07551,0.14417756,0.80994938,0.34572969,383.50654173,163.70109253,0.17556909
-4.91222,799.623,476.30977315,1.18888,0.12866381,0.8614273,0.34057885,410.30624373,162.22103683,0.15880972
-4.21277,895.708,468.13993634,1.33819,0.10754499,0.89147462,0.33366846,417.33487236,156.20353078,0.13754025
-3.51225,1004.79,441.90270422,1.48566,0.08666674,0.89111784,0.32123031,393.7873821,141.95254262,0.10474402
-2.81086,1098.78,400.61952024,1.59608,0.07016042,0.86575863,0.31101246,346.83980574,124.59766363,0.04628199
-2.22796,1150.43,362.76989952,1.64949,0.06119311,0.83764133,0.30618749,303.87106161,111.07560556,0.07681712
-2.10876,1161.22,354.532086,1.66096,0.05953141,0.83186658,0.30518488,294.9233924,108.19783387,0.08782004
-1.961,1169.53,346.8299295,1.67062,0.05699037,0.82380884,0.30486402,285.72156088,105.73596503,0.09105141
-1.40614,1201.74,315.83650834,1.70841,0.04819946,0.79292749,0.30377153,250.43544893,95.9421381,0.10613522
-0.703157,1224.89,294.28030855,1.74736,0.02768012,0.75070833,0.3063704,220.91867962,90.15877488,0.09251351
-0.0,1221.01,292.35560538,1.75009,0.01615226,0.73497211,0.30743292,214.87321567,89.8797373,0.07402301
0.103872,1217.73,294.44575052,1.74474,-0.01818697,0.73902639,0.30781628,217.60317904,90.63519452,0.06635106
0.703157,1198.04,306.57576551,1.71289,-0.03776952,0.76242836,0.31014903,233.74205729,95.0841759,0.03993607
1.40614,1166.83,333.92514131,1.65968,-0.05392935,0.8104616,0.3152511,270.63350326,105.27026703,0.08449284
1.93725,1136.44,362.17123022,1.62151,-0.0609102,0.84306583,0.31549952,305.33419016,114.2648498,0.06773558
2.10876,1126.2,370.86520462,1.60846,-0.06293024,0.85335104,0.31571095,316.47820861,117.0862061,0.05996461
2.2497,1113.56,379.76440065,1.59493,-0.06507456,0.86071482,0.31562938,326.86884744,119.86480285,0.05042995
2.81086,1062.76,413.17429736,1.5394,-0.07302852,0.88935988,0.31558324,367.46064441,130.39088386,0.04623981
3.51225,970.482,450.76490547,1.42742,-0.08792493,0.91449002,0.3226173,412.22000823,145.42455516,0.07839579
4.21277,870.597,471.0806725,1.2928,-0.10703243,0.90700221,0.3354987,427.27120872,158.04695202,0.10726369
4.91222,784.056,472.71450158,1.16385,-0.12792837,0.86681832,0.34790862,409.75759013,164.46144863,0.12530722
5.61044,724.773,468.56803135,1.06221,-0.14444205,0.8113649,0.35841645,380.17965362,167.94249062,0.14741777
6.30725,691.394,462.9816411,0.994923,-0.15428882,0.74870488,0.3671771,346.63661487,169.99625459,0.18449024
7.00248,667.8,455.28123177,0.943144,-0.15789039,0.68969124,0.37093892,314.00347513,168.88153064,0.22076168
7.69596,647.242,450.04555325,0.894787,-0.15504539,0.64415371,0.3731475,289.89851206,167.93337383,0.25304806
8.3875,625.834,444.98539302,0.845943,-0.14918961,0.61237978,0.3755092,272.50005891,167.09610937,0.27780499
9.07375,599.879,434.36505384,0.789505,-0.14432617,0.58295883,0.37265641,253.21694452,161.86892164,0.28760435
9.76,570.524,418.14590755,0.722005,-0.14140122,0.54865016,0.37051227,229.41581982,154.9281904,0.28529012
10.4462,541.083,399.85997549,0.646026,-0.14083279,0.51199609,0.37141515,204.72674549,148.51405296,0.27614625
11.1325,512.605,379.48517758,0.567145,-0.14263357,0.47550605,0.36901591,180.44749639,140.03606719,0.2614908
11.8188,485.347,355.5601215,0.489265,-0.14625281,0.43476545,0.36287643,154.58525765,129.02438585,0.24033922
12.505,460.947,329.68014802,0.413426,-0.15128515,0.38818166,0.35422634,127.97578664,116.78139223,0.21370152
13.1912,439.61,306.30638256,0.34226,-0.15701625,0.34330453,0.34477895,105.15636856,105.60799369,0.1852969
13.5388,429.649,296.72344026,0.308281,-0.15970636,0.32079433,0.33897831,95.18719621,100.58281091,0.16759737
13.8775,419.717,287.04337651,0.275585,-0.16199293,0.29673507,0.33316901,85.17583557,95.63395878,0.14847074
14.5638,400.517,268.01361906,0.215547,-0.16664305,0.25135612,0.31572651,67.36686389,84.61900572,0.10386361
15.25,381.715,246.19971568,0.168045,-0.170667,0.21762284,0.29351974,53.57868106,72.26447579,0.05671605
15.75,365.158,224.11224866,0.136561,-0.1726256,0.19534354,0.27118263,43.7788808,60.7753495,0.03574931
16.0292,355.941,209.13129847,0.12212,-0.17321203,0.18560684,0.25717615,38.81619999,53.78358132,0.05333611
16.25,348.494,195.93876594,0.111004,-0.17356417,0.17789547,0.24618231,34.85661982,48.23665812,0.06277341
16.9317,330.107,156.31346711,0.0882696,-0.17308619,0.16381148,0.22008401,25.60593992,34.40209414,0.06533801
17.6223,313.972,111.84095851,0.0740372,-0.17023501,0.15219297,0.1967408,17.0214076,22.00368011,0.05639454
18.3221,302.736,68.85317712,0.0666687,-0.16546712,0.13964885,0.17336628,9.61526668,11.93681898,0.04866579
18.6784,299.461,53.3318854,0.0646303,-0.16251409,0.13322387,0.1625831,7.10508026,8.67086335,0.04614632
19.0312,296.495,33.76936481,0.0629209,-0.15939304,0.12676198,0.15160736,4.2806716,5.11968418,0.04368762
19.7496,293.884,11.02379245,0.0612739,-0.15272901,0.11422784,0.13371602,1.25922403,1.47405769,0.03868741
20.4775,293.179,2.34646756,0.0605544,-0.14604301,0.10236845,0.11889451,0.24020425,0.27898212,0.03398158
