r(cm),T_mean(K),T_rms(K),uz_mean(m/s),ur_mean(m/s),uz_rms(m/z),ur_rms(m/s),uz'T'(K-m/s),ur'T'(K-m/s),uz'ur'(m/s)^2
-20.0,293.053,0.54786495,0.0707507,0.14856036,0.08174711,0.09774899,0.04478638,0.05355325,0.03203055
-19.7496,293.071,0.74771652,0.0710775,0.15114836,0.08471364,0.10127573,0.06334178,0.07572554,0.03304039
-19.0955,293.269,3.58555435,0.0718584,0.15834337,0.09353112,0.11204561,0.33536091,0.40174561,0.03660325
-19.0312,293.292,3.80817542,0.0719402,0.15904337,0.0943778,0.11309126,0.35940724,0.43067137,0.03695461
-18.3221,294.248,14.40447847,0.0730888,0.16695157,0.10470769,0.12687607,1.50825964,1.82758364,0.04277627
-17.6223,297.429,38.90539808,0.0754019,0.1747031,0.11553917,0.14270523,4.49509744,5.55200361,0.05025701
-16.9317,305.218,81.29120494,0.08049,0.18183018,0.12678328,0.16025578,10.30636557,13.02738519,0.05683721
-16.25,318.214,129.68808735,0.0897903,0.18722061,0.13796739,0.17886578,17.89272659,23.19676045,0.05818052
-15.9913,325.944,152.36699118,0.0960627,0.18904133,0.14344651,0.1874718,21.85651247,28.56451418,0.05698562
-15.75,333.335,171.12743789,0.102422,0.1904046,0.14880961,0.1955264,25.46540728,33.45993139,0.05522555
-15.25,349.28,203.77119522,0.120435,0.19205358,0.16303681,0.21220218,33.22220475,43.24069223,0.04854362
-14.5638,368.042,229.75530462,0.149985,0.19246493,0.1876939,0.23094493,43.12366911,53.0608224,0.01074337
-13.8775,390.216,254.36686105,0.191429,0.19120221,0.2220885,0.24861915,56.49195357,63.24047189,0.0678656
-13.622,399.388,265.36352425,0.211621,0.18993231,0.23998833,0.25440741,63.68414984,67.51044677,0.0866827
-13.1912,414.163,282.31011317,0.24651,0.18722143,0.26745336,0.26452339,75.50478845,74.67762824,0.11277863
-12.505,438.319,308.3125038,0.315035,0.18215011,0.32277856,0.27599548,99.51666658,85.09285805,0.15491886
-11.8188,467.359,333.70645783,0.393343,0.17823526,0.37696419,0.28263227,125.79538434,94.31621366,0.18827681
-11.1325,505.207,364.85476563,0.480908,0.17712138,0.42584974,0.29028967,155.37330663,105.91356793,0.21415887
