r(cm),T_mean(K),T_rms(K),uz_mean(m/s),ur_mean(m/s),uz_rms(m/z),ur_rms(m/s),uz'T'(K-m/s),ur'T'(K-m/s),uz'ur'(m/s)^2
-20.0,299.576,61.32519874,0.0621063,0.14957803,0.12719709,0.15950794,7.80038689,9.78185633,0.05154271
-19.7496,300.891,67.50770326,0.0635483,0.15133503,0.13137047,0.16644866,8.86851861,11.23656666,0.05398861
-19.0955,306.08,87.93810323,0.06972,0.15555025,0.1449255,0.18729596,12.74447341,16.47045132,0.05906396
-19.0312,306.635,89.76480379,0.0703934,0.15594227,0.14625491,0.18931121,13.1285437,16.99348404,0.05952112
-18.3221,315.372,114.4298912,0.0809457,0.15975445,0.16260443,0.21314289,18.606807,24.38991729,0.06437298
-17.6223,327.936,143.94617049,0.0969311,0.16172523,0.17704152,0.2386487,25.4844489,34.35256585,0.06800241
-16.9317,344.153,176.55084254,0.120746,0.16114624,0.19208696,0.26551335,33.91311454,46.87660597,0.06206265
-16.25,363.339,209.28043387,0.152212,0.15847616,0.20972339,0.28991019,43.8910019,60.67253097,0.03589724
-15.9913,372.592,222.9120903,0.169343,0.15654203,0.21918485,0.29933947,48.85895385,66.7263876,0.02134568
-15.75,381.125,234.71408138,0.185554,0.15468718,0.22792762,0.30789003,53.49782197,72.26612534,0.04577814
-15.25,397.397,253.36041522,0.224467,0.15002838,0.25170777,0.3244409,63.77278438,82.20048208,0.08349524
-14.5638,415.577,273.1589281,0.27569,0.14420106,0.28501053,0.34418521,77.85316981,94.01726351,0.12370111
-13.8775,434.506,294.20010197,0.333642,0.13859208,0.32063843,0.36374246,94.33185752,107.01306995,0.15984303
-13.622,441.599,301.48946914,0.357442,0.13665761,0.33534907,0.37004267,101.10421365,111.56396829,0.17097434
-13.1912,453.557,313.37708914,0.397698,0.13329534,0.35887324,0.38052674,112.46265028,119.24836301,0.18849597
-12.505,474.108,331.22801814,0.469408,0.12749482,0.40645664,0.39084829,134.62982724,129.45990322,0.21808331
-11.8188,495.614,348.67319943,0.546474,0.12144068,0.45205973,0.39748774,157.62111259,138.5933214,0.24689654
-11.1325,515.6,365.39430756,0.622412,0.11687183,0.48553373,0.40580793,177.41125996,148.27990936,0.26395593
-10.4462,534.864,381.21253914,0.696881,0.1149858,0.51765915,0.41372877,197.33816061,157.71859441,0.27845919
-9.76,555.171,395.79413841,0.767883,0.1145188,0.55227982,0.41663888,218.58911567,164.90322562,0.29294353
-9.07375,577.093,410.57277065,0.83175,0.11408731,0.58865695,0.41381849,241.68651326,169.90260266,0.29800787
-8.3875,599.465,423.15009158,0.891471,0.11414727,0.62537749,0.40936424,264.62854047,173.22251513,0.29139051
-7.69596,622.255,433.88477733,0.952439,0.11508303,0.66743389,0.40480504,289.58940555,175.63874442,0.27414857
-7.00248,644.928,446.14459539,1.01495,0.11437903,0.72147141,0.39739537,321.88057171,177.29579651,0.2607876
-6.30725,669.192,455.88704741,1.08185,0.11011177,0.77820049,0.38925185,354.77152291,177.454875,0.25683382
-5.61044,705.098,464.31024111,1.16696,0.10301678,0.83826309,0.3835793,389.2141352,178.09979764,0.2512926
-4.91222,764.984,473.79953567,1.28879,0.09080111,0.90230316,0.37771567,427.5108202,178.96150745,0.2416665
-4.21277,853.644,473.95147431,1.45139,0.07303003,0.94879081,0.36687338,449.68080293,173.88018001,0.22490634
-3.51225,958.591,455.65776631,1.62155,0.05401384,0.96533155,0.351744,439.86081749,160.27488475,0.19720974
-2.81086,1054.05,421.55308088,1.75568,0.03974628,0.95523767,0.33858952,402.6833814,142.7334559,0.16010668
-2.23482,1110.37,388.01030914,1.82483,0.0351507,0.93467,0.33247517,362.6615938,129.00379427,0.11232582
-2.10876,1122.82,380.46024759,1.84062,0.03433597,0.93046709,0.3309403,354.0057383,125.90962723,0.09772553
-1.95409,1133.84,372.45670889,1.85483,0.03328127,0.92357133,0.33077334,343.99033768,123.19874822,0.08212913
-1.40614,1173.19,342.63099685,1.90585,0.029983,0.89894104,0.33014997,308.0050659,113.11961193,0.05940857
-0.703157,1208.86,318.92005268,1.96127,0.01839857,0.86190487,0.33318247,274.87874563,106.25857169,0.08491725
