r(cm),T_mean(K),T_rms(K),uz_mean(m/s),ur_mean(m/s),uz_rms(m/s),ur_rms(m/s),uz'T'(K-m/s),ur'T'(K-m/s),uz'ur'(m/s)^2
-20.0,316.112,99.65580766,0.0948176,0.13606385,0.17138845,0.23449804,17.07985418,23.36909141,0.03165506
-19.7496,318.606,105.31761486,0.100554,0.13541609,0.1778176,0.24489133,18.72732585,25.79137032,0.04239061
-19.0312,327.057,122.79739411,0.120161,0.13278428,0.19916676,0.27625,24.45715965,33.92277957,0.06849079
-18.8694,329.308,127.30003928,0.12548,0.13204137,0.20470931,0.28264621,26.05950271,35.98087363,0.07369125
-18.3221,336.956,141.54504583,0.143878,0.12928915,0.22316765,0.30293649,31.58827525,42.87916007,0.0887257
-17.6223,347.904,160.82537113,0.172472,0.12446276,0.25030621,0.32458398,40.25558952,52.20133952,0.10783798
-16.9317,359.895,179.63518586,0.206084,0.11847716,0.27978778,0.34511094,50.25972927,61.99406761,0.12959438
-16.25,373.391,198.43865551,0.243537,0.11179965,0.30993741,0.36635436,61.50356353,72.69886743,0.1527611
-16.0119,379.615,206.17128801,0.26085,0.10882737,0.32233058,0.37497115,66.45530995,77.30828405,0.16304157
-15.75,386.367,214.10581496,0.280136,0.10557507,0.33553241,0.38398953,71.83944068,82.21439149,0.17356386
-15.25,398.93,227.48340599,0.321814,0.09902452,0.35959978,0.40249358,81.80298219,91.56060992,0.19440879
-14.5638,412.36,240.95559757,0.377088,0.09133529,0.38839928,0.42657662,93.58698039,102.78602417,0.21708505
-13.8775,425.758,253.56596775,0.439951,0.08423753,0.41708992,0.44715541,105.75980879,113.38339407,0.23307559
-13.5769,431.302,258.22528923,0.469324,0.08170627,0.4288403,0.45270876,110.73740963,116.9008501,0.23699854
-13.1912,438.473,264.20408778,0.506915,0.0787649,0.44345124,0.45900368,117.16162967,121.27064906,0.24107119
-12.505,451.095,274.00839403,0.576798,0.07480921,0.46932292,0.46579178,128.59841865,127.63085691,0.24939395
-11.8188,465.261,286.80829835,0.649046,0.07091827,0.49562284,0.47176462,142.1487435,135.30600889,0.2614941
-11.1325,481.121,302.47528825,0.723446,0.06649477,0.52142113,0.47917206,157.7170081,144.93770599,0.27570044
-10.4462,497.914,318.0,0.797913,0.06205218,0.54349241,0.48615578,172.83058646,154.59753725,0.28742199
-9.76,515.196,332.84530942,0.87462,0.06016086,0.56601855,0.48856506,188.39661972,162.6165895,0.29246369
-9.07375,532.967,348.36044552,0.952351,0.05975318,0.59726795,0.48978644,208.06452796,170.62222358,0.29677024
-8.3875,549.775,363.39097402,1.02468,0.05824279,0.63556668,0.4905207,230.95919355,178.25079601,0.308017
