r(cm),T_mean(K),T_rms(K),uz_mean(m/s),ur_mean(m/s),uz_rms(m/s),ur_rms(m/s),uz'T'(K-m/s),ur'T'(K-m/s),uz'ur'(m/s)^2
12.505,436.818,293.48884136,0.376013,-0.15538848,0.35338506,0.32497655,103.71457155,95.37699201,0.19661279
13.1912,418.065,273.35325131,0.309679,-0.16204126,0.31257351,0.31647694,85.4429856,86.51000157,0.16786763
13.5388,409.174,263.80371491,0.279158,-0.16576525,0.2914397,0.30993327,76.8828761,81.76154891,0.15091319
13.8775,400.282,253.69115081,0.249745,-0.16921066,0.26899033,0.30346464,68.24046749,76.98629386,0.13186467
14.5638,381.149,230.0686854,0.195887,-0.17545235,0.22482816,0.28479084,51.72591843,65.52145476,0.08148588
15.25,362.452,204.35948718,0.153598,-0.17951781,0.19276851,0.26383051,39.39407467,53.9162685,0.01772727
15.75,347.116,179.85688755,0.126151,-0.18151578,0.17433646,0.24492872,31.35561242,44.05211656,0.05440487
16.0292,338.564,163.71377462,0.113973,-0.18187131,0.16590178,0.23296478,27.16040632,38.13954323,0.06085943
16.25,331.796,149.67431309,0.104862,-0.18192047,0.15954184,0.22332689,23.87931592,33.42629892,0.06498708
16.9317,316.155,111.58270475,0.0866716,-0.17993051,0.14646843,0.19676417,16.3433432,21.95547812,0.06805602
17.6223,304.451,74.35912856,0.0752113,-0.17522605,0.13609996,0.17236255,10.12027467,12.81672905,0.06137167
18.3221,297.63,43.03510195,0.0694154,-0.16869498,0.12561529,0.15237379,5.40586663,6.55742146,0.05080391
18.6784,295.859,32.09470361,0.0678528,-0.1650695,0.11996333,0.1437217,3.85018745,4.61270525,0.04629725
19.0312,294.471,20.28556137,0.0665812,-0.16136916,0.11417311,0.13533038,2.31606571,2.74525267,0.04199613
19.7496,293.372,6.56933787,0.0650412,-0.15391405,0.10283385,0.12060531,0.67555028,0.79229705,0.03595875
20.4775,293.093,1.55361192,0.0639256,-0.14661708,0.09231419,0.1078402,0.14342043,0.16754182,0.03204358
