r(cm),T_mean(K),T_rms(K),uz_mean(m/s),ur_mean(m/s),uz_rms(m/z),ur_rms(m/s),uz'T'(K-m/s),ur'T'(K-m/s),uz'ur'(m/s)^2
-20.0,293.022,0.0208005,0.0782823,0.14598136,0.06647579,0.08040564,0.00138273,0.00167248,0.03067018
-19.7496,293.023,0.02697197,0.0786541,0.14886136,0.06876031,0.08307473,0.0018546,0.00224069,0.03150855
-19.0955,293.034,0.22413411,0.0793477,0.15696237,0.07599039,0.09137969,0.01703204,0.0204813,0.03404878
-19.0312,293.035,0.23685776,0.0794132,0.15775437,0.07667894,0.09217256,0.018162,0.02183179,0.03429011
-18.3221,293.129,1.54848313,0.0796212,0.16726738,0.08583869,0.10269812,0.13291976,0.15902631,0.03746799
-17.6223,293.717,8.00504216,0.0797069,0.17694947,0.09597364,0.11514122,0.76827305,0.92171028,0.04166788
-16.9317,296.554,32.99151406,0.0805058,0.186744,0.10577192,0.12960675,3.48957593,4.27592288,0.04650101
-16.25,303.856,78.77493256,0.0839534,0.19562413,0.11483553,0.14484847,9.04616149,11.41042849,0.05098431
-15.9913,308.968,102.22377414,0.0869691,0.19896387,0.1191541,0.152198,12.180382,15.55825384,0.05174277
-15.75,313.977,121.0020661,0.0900364,0.20197775,0.12315153,0.15898874,14.9015899,19.23796601,0.05239113
-15.25,326.514,155.68301128,0.100112,0.20709983,0.13355261,0.17375355,20.7918727,27.0504752,0.04922121
-14.5638,343.611,187.84967394,0.119798,0.2114106,0.15498871,0.19058753,29.1145785,35.80180606,0.0310718
-13.8775,366.588,221.43396307,0.152869,0.21492395,0.19285539,0.20627615,42.70473247,45.67654428,0.04827826
-13.622,378.134,237.39860994,0.171495,0.21637145,0.21487159,0.21056793,51.01021668,49.98853323,0.06581102
-13.1912,397.037,261.32412824,0.203129,0.21810821,0.24719587,0.21825909,64.59824621,57.0363662,0.08918599
-12.505,432.11,300.42935942,0.269275,0.22148288,0.30675756,0.22665619,92.15897695,68.09417366,0.12357466
-11.8188,473.959,338.02070942,0.348274,0.22686224,0.36098476,0.2324484,122.02032609,78.57237259,0.14670108
-11.1325,528.819,379.10816398,0.438299,0.23697926,0.40756349,0.23807375,154.51064715,90.25570191,0.16278707
-10.4462,592.077,418.10524991,0.532979,0.25116302,0.44662848,0.24717093,186.73771265,103.34346461,0.17540433
-9.76,650.418,449.1280441,0.615751,0.26425168,0.47640739,0.25923634,213.96791868,116.4303121,0.17916164
-9.07375,692.27,466.07724682,0.670963,0.27384229,0.49674239,0.27082603,231.52032456,126.22584826,0.16751646
-8.3875,717.691,468.16984098,0.700562,0.2799121,0.51565492,0.28045735,241.41408347,131.30167364,0.13841989
-7.69596,731.766,462.86823179,0.714122,0.28154904,0.5405562,0.28787017,250.20629018,133.24595434,0.09284532
-7.00248,735.861,455.64240365,0.716392,0.27629712,0.57637835,0.29343555,262.62241587,133.70167776,0.06246678
-6.30725,735.7,447.81469382,0.716471,0.26350452,0.62076968,0.29643657,277.98978577,132.74865181,0.13635676
-5.61044,745.228,438.66046095,0.732996,0.24515919,0.66218049,0.29332388,290.47239853,128.66958947,0.17301682
-4.91222,782.53,426.88523048,0.780127,0.22342407,0.6908929,0.28268771,294.93197508,120.67520719,0.17941345
-4.21277,858.0,409.48504246,0.862128,0.20038945,0.69866945,0.26790983,286.09468929,109.70506887,0.16545492
-3.51225,952.935,382.17273581,0.957314,0.17567879,0.68128555,0.25438718,260.36876234,97.21984352,0.14685463
-2.81086,1034.9,343.92004885,1.03528,0.1483311,0.64683383,0.24845375,222.45912144,85.44822453,0.13468571
-2.23456,1082.05,304.41879048,1.08349,0.12649373,0.60824337,0.24933394,185.16071173,75.90193666,0.12157862
-2.10876,1092.45,295.053385,1.09417,0.12182807,0.59941471,0.24948882,176.85934054,73.61252009,0.11872203
-1.95464,1099.23,285.99370622,1.10248,0.11568425,0.58822105,0.25015661,168.22751728,71.54321744,0.11057925
-1.40614,1125.2,249.26712579,1.13451,0.0947596,0.54413142,0.25230476,135.6340746,62.8912814,0.07975926
-0.703157,1131.7,227.22081771,1.14865,0.06480637,0.50043881,0.25235075,113.71011504,57.3393442,0.04947413
-0.0,1121.63,226.02300768,1.14392,0.03190192,0.48138342,0.25075044,108.80372913,56.675369,0.09800806
0.0537251,1120.88,226.37513114,1.14317,-0.02886687,0.48203216,0.25066412,109.12009267,56.74412346,0.09927316
0.703157,1111.83,231.34606113,1.13396,-0.01283084,0.49007959,0.25008751,113.37798172,57.85676007,0.11216474
1.40614,1105.89,244.53956735,1.12255,-0.05159643,0.51914064,0.24960545,126.95042653,61.03840842,0.12018225
1.95191,1095.9,267.21975975,1.10898,-0.07833905,0.54720471,0.25165042,146.22391245,67.24596483,0.1268613
2.10876,1092.84,273.49606944,1.10487,-0.08595844,0.55515223,0.25222063,151.83195322,68.98134975,0.12853678
2.2405,1086.58,281.93882315,1.09875,-0.09180198,0.56387499,0.25344334,158.97825,71.45551669,0.127697
2.81086,1056.94,317.58620877,1.06896,-0.1161019,0.60197674,0.25793556,191.17951181,81.91677555,0.12007311
3.51225,992.023,368.03124867,1.00645,-0.14655746,0.65299234,0.26563536,240.32158736,97.76211428,0.11055894
4.21277,905.945,406.85869783,0.917608,-0.17808307,0.6870131,0.27268506,279.51725539,110.94428698,0.11385794
4.91222,818.917,428.22657554,0.818478,-0.20636986,0.69542289,0.28048315,297.79856399,120.11034078,0.12721918
5.61044,757.691,438.11756413,0.745341,-0.23122556,0.67456727,0.28776289,295.5397686,126.07397576,0.13768809
6.30725,726.683,443.94481639,0.708434,-0.25333614,0.6364181,0.29206337,282.53451725,129.6600191,0.12884301
7.00248,716.083,451.08757465,0.694874,-0.2699486,0.59654505,0.29208667,269.09406103,131.75666849,0.09718134
7.69596,713.305,457.38386504,0.692762,-0.28108259,0.55731948,0.28784126,254.90893668,131.65394726,0.0093372
8.3875,701.604,456.87963404,0.682438,-0.28557495,0.52305449,0.28017122,238.97294419,128.00452241,0.10017734
9.07375,673.246,449.39959947,0.650434,-0.28156304,0.49977595,0.26843473,224.59911166,120.63445824,0.14172727
9.76,628.131,434.31670472,0.592808,-0.27003226,0.47726408,0.25709406,207.28376157,111.66024352,0.16552604
10.4462,573.989,410.03170609,0.515723,-0.25556915,0.44513593,0.24584487,182.51984658,100.80419139,0.17348435
11.1325,519.917,377.6228277,0.431887,-0.24263778,0.40870894,0.23494146,154.33782672,88.71925716,0.1635092
11.8188,470.231,338.45679192,0.352091,-0.23310279,0.36639187,0.22784893,124.0078158,77.11701722,0.14834995
12.505,427.763,295.28308451,0.279771,-0.22501797,0.31403821,0.22317865,92.73017255,65.90088161,0.13585601
13.1912,393.033,249.69040831,0.214635,-0.21933722,0.25296759,0.21722345,63.16358005,54.23861214,0.1106919
13.5839,376.213,225.2181165,0.183004,-0.21802023,0.22015358,0.21127526,49.58257525,47.5830165,0.08782433
13.8775,363.286,204.42602574,0.159399,-0.21657208,0.19180719,0.20711152,39.21038255,42.33898407,0.06698611
14.5638,339.28,166.13067146,0.120135,-0.21310158,0.14744117,0.19206614,24.49450136,31.90807761,0.02107024
15.25,321.992,133.83235782,0.0982514,-0.20809947,0.127324,0.17416421,17.04007061,23.30880686,0.04299987
15.75,310.31,102.95484447,0.0882856,-0.20236603,0.12063747,0.15827182,12.42021232,16.29485094,0.04547591
16.0087,305.879,87.88708665,0.0855895,-0.19888013,0.11703974,0.15053112,10.28628149,13.22974156,0.04575955
16.25,302.012,72.31583506,0.0833041,-0.19551532,0.11360106,0.14324553,8.21515525,10.3589199,0.04604122
16.9317,296.742,44.43062007,0.0807218,-0.1867669,0.1041062,0.12738714,4.62550283,5.65988947,0.04374002
17.6223,294.136,21.45416044,0.0798076,-0.17699681,0.09473452,0.11306816,2.03244967,2.42578248,0.04043961
18.3221,293.17,3.2927648,0.0795376,-0.16720661,0.08527262,0.1010798,0.28078269,0.332832,0.03740357
18.9045,293.059,1.60422879,0.0792809,-0.15950041,0.07786122,0.09259251,0.12490721,0.14853957,0.03466771
19.0312,293.034,0.28247832,0.0792339,-0.15775237,0.0762901,0.09081901,0.0215503,0.0256544,0.03410146
19.7496,293.023,0.01854101,0.0783972,-0.14885119,0.06851146,0.08197995,0.00127027,0.00151999,0.03127059
20.4775,293.022,0.00297492,0.0772404,-0.14042703,0.06186421,0.07430866,0.00018404,0.00022106,0.02876896
