z(cm),T_mean(K),T_rms(K),uz_mean(m/s),uz_rms(m/s),uz'T'(K-m/s),uz'ur'(m/s)^2
0.0,338.0,2.257e-05,0.0129704,3.716e-05,0.0,0.0
0.25,451.935,126.95747319,0.0186328,0.03092365,3.9259882,0.00406189
0.5,549.816,170.28065069,0.0279465,0.05795421,9.86847992,0.00992791
0.75,631.039,189.21257886,0.0423397,0.08537031,16.1531367,0.01608646
1.0,700.797,207.61815913,0.0606818,0.11075965,22.99571457,0.02174206
1.2083,757.231,224.42727107,0.0810409,0.13245226,29.72589826,0.02651608
1.4167,804.192,238.59547355,0.103093,0.1513823,36.11913096,0.03070137
1.625,845.357,250.37272216,0.127235,0.16823525,42.12151799,0.03453135
1.8333,881.592,259.64263903,0.153155,0.18322855,47.57394318,0.03809975
2.0416,913.668,266.56087485,0.18066,0.19670663,52.43429254,0.04148562
2.25,941.735,271.4669409,0.209642,0.20902464,56.74327951,0.04474353
2.4584,967.37,274.43159439,0.239945,0.22047426,60.50510312,0.04787594
2.6667,989.103,271.65952956,0.278055,0.23312464,63.33053133,0.05137691
3.0834,1011.36,264.84259476,0.333826,0.24905742,65.96101418,0.05579967
3.5,1035.75,260.3849074,0.398701,0.26580895,69.21263986,0.0605326
3.9167,1058.46,257.70312377,0.46643,0.28335614,73.02176147,0.06563098
4.3333,1079.32,256.03984065,0.536561,0.30256024,77.46747613,0.07127444
4.7499,1098.19,255.00235293,0.60829,0.32328161,82.43757146,0.07742158
5.1666,1115.16,254.31909091,0.680866,0.34527236,87.80935176,0.08399338
5.5833,1130.24,254.02342412,0.75376,0.36823769,93.54100017,0.0908147
6.0,1143.56,254.18241481,0.826604,0.39186605,99.6054585,0.09776964
6.4167,1155.41,254.88311046,0.899092,0.4159423,106.01666814,0.10482647
6.8333,1166.1,256.10700888,0.971007,0.44029649,112.76301734,0.11203245
7.25,1175.66,257.472717,1.04212,0.46482255,119.67912404,0.11945362
7.6667,1184.0,258.83063961,1.11216,0.48943028,126.67955269,0.12715548
8.0833,1191.11,260.51180396,1.18093,0.51408073,133.92409912,0.13520462
8.5,1197.2,262.77309604,1.24835,0.5386678,141.54740584,0.14358679
8.9166,1202.59,265.49557435,1.31444,0.56295204,149.46127535,0.15225541
9.3333,1207.39,268.43732974,1.37914,0.5868441,157.5308637,0.16121796
9.75,1211.54,271.5190601,1.44227,0.61038676,165.73164009,0.1705248
10.1666,1215.01,274.73969498,1.50369,0.63364738,174.08808744,0.18020045
10.5833,1217.73,278.17979797,1.56325,0.65673739,182.69107459,0.19020568
11.0,1219.62,281.95868492,1.62081,0.67975805,191.66368448,0.2004232
11.4167,1220.74,286.08967126,1.67628,0.70274818,201.04899488,0.21082017
11.8334,1221.14,290.50197934,1.72963,0.72571138,210.82059091,0.22151317
12.2501,1220.83,295.11658713,1.78081,0.74865947,220.94182731,0.23260969
12.6667,1219.84,299.88231025,1.82979,0.77161065,231.39238527,0.24416941
13.0833,1218.19,304.76942104,1.87654,0.79460053,242.16994305,0.25619735
13.5,1215.85,309.76361956,1.92105,0.81767597,253.28626962,0.26865289
13.9167,1212.82,314.82963647,1.96332,0.84081984,264.71500394,0.28148481
14.3333,1209.14,319.94061949,2.00337,0.86396296,276.41684533,0.29465393
14.7499,1204.86,325.0692234,2.04126,0.88701917,288.34263127,0.30813057
15.1666,1200.09,330.14087902,2.07716,0.90978679,300.35780998,0.32186253
15.5833,1194.92,335.09700088,2.11122,0.93207349,312.33503276,0.33581629
16.0,1189.39,339.90734031,2.14354,0.9537961,324.20229549,0.34998822
16.4167,1183.55,344.5823559,2.17415,0.97493128,335.94411718,0.36436392
16.8334,1177.4,349.15612554,2.20309,0.99548732,347.58049492,0.3789371
17.25,1170.96,353.61419655,2.23043,1.01544079,359.07427945,0.39367092
17.6667,1164.24,357.90920636,2.25622,1.03473668,370.34178446,0.40845969
18.0834,1157.29,362.00690601,2.28052,1.05333281,381.31375007,0.42318505
18.5,1150.13,365.90982496,2.30341,1.07118626,391.95757628,0.43776283
18.9167,1142.74,369.66471295,2.32496,1.08829224,402.30323857,0.45212831
19.3333,1135.13,373.29478968,2.34522,1.10468548,412.37333227,0.46624058
19.75,1127.3,376.81427786,2.36421,1.12040618,422.18504425,0.48008515
20.1667,1119.23,380.21309814,2.38197,1.13546907,431.72021146,0.49368107
20.5834,1110.93,383.47881297,2.3985,1.14986521,440.94894562,0.50707659
21.0,1102.39,386.58375548,2.41383,1.16361506,449.83467852,0.52032591
21.4167,1093.6,389.53177021,2.42797,1.17673276,458.37479697,0.53342942
21.8334,1084.57,392.33531577,2.44097,1.18919721,466.56406219,0.54636567
22.2501,1075.28,394.96328943,2.45284,1.20101207,474.35567908,0.55919942
22.6667,1065.78,397.4543999,2.4636,1.21222935,481.80588934,0.57200786
23.0833,1056.07,399.83121439,2.47332,1.22288184,488.94633202,0.58483662
23.5,1046.19,402.0833247,2.48205,1.23299635,495.76727189,0.5977634
23.9166,1036.24,404.17075599,2.4898,1.24260211,502.22343358,0.61072204
24.3333,1026.2,406.06280302,2.49662,1.2517348,508.28293999,0.62332022
24.75,1016.12,407.764638,2.50258,1.26038486,513.94037693,0.63508411
25.1667,1006.06,409.27985536,2.50782,1.26845181,519.15177424,0.64583678
25.5834,996.048,410.63974479,2.51251,1.27581739,523.90132539,0.65586413
26.0,986.118,411.83613246,2.51679,1.28243128,528.15154044,0.66557714
26.4167,976.26,412.82926253,2.52075,1.28833226,531.86125484,0.6752494
26.8334,966.485,413.61576372,2.5244,1.29355711,535.03561248,0.68489574
27.2501,956.785,414.1799126,2.52777,1.29817564,537.67827434,0.6944079
27.6667,947.138,414.57327458,2.53084,1.30230949,539.90270856,0.70366062
28.0834,937.534,414.80356797,2.53359,1.30604747,541.75315146,0.71248211
28.5,927.98,414.81923774,2.53603,1.30936626,543.15031345,0.72072627
28.9166,918.488,414.6251319,2.53824,1.31215091,544.05074245,0.72830131
29.3333,909.122,414.1943988,2.54026,1.31435155,544.39705054,0.73533782
29.75,899.93,413.52146256,2.54215,1.31594073,544.16973455,0.74204335
30.1666,890.921,412.63300886,2.5439,1.31692824,543.4080638,0.74834116
30.5833,882.135,411.56044514,2.54547,1.31742552,542.20023333,0.75411061
31.0,873.566,410.31207635,2.54683,1.31755076,540.60698723,0.75935653
31.4167,865.208,408.93764806,2.54794,1.31738377,538.72782089,0.76419287
31.8333,857.027,407.45429192,2.54883,1.3169776,536.60817565,0.76880861
32.25,849.056,405.89161115,2.54956,1.31629784,534.27425047,0.77328758
32.6667,841.309,404.25858061,2.55022,1.31527184,531.70992515,0.77763145
33.0834,833.774,402.5692487,2.55087,1.31383789,528.91073211,0.78178489
33.5,826.487,400.83662507,2.55156,1.31197942,525.88940311,0.78577862
33.9166,819.394,399.02004962,2.55231,1.30970989,522.60050591,0.789672
34.3333,812.465,397.13851488,2.55315,1.30703864,519.0753834,0.79336634
34.75,805.7,395.20121457,2.55407,1.3039862,515.33692854,0.79670398
35.1667,799.071,393.20223804,2.55507,1.30054604,511.37761328,0.79955531
35.5833,792.551,391.18282171,2.55613,1.29676521,507.27227245,0.80196311
36.0,786.156,389.20046249,2.55715,1.29275288,503.14001746,0.80407703
36.4167,779.842,387.24798256,2.55805,1.28861942,499.01526925,0.80588187
36.8334,773.561,385.34010951,2.55874,1.28442205,494.93933303,0.80726947
37.25,767.301,383.46186251,2.55922,1.28019139,490.90457552,0.80816409
37.6667,761.057,381.59140452,2.55952,1.27592711,486.88281945,0.80847595
38.0834,754.851,379.71041598,2.55973,1.27159349,482.83729247,0.80815178
38.5,748.699,377.78565351,2.55987,1.26717008,478.71867505,0.80720777
38.9167,742.622,375.81378367,2.55997,1.26268365,474.53392009,0.80567889
39.3333,736.66,373.80208667,2.56004,1.25817328,470.30779709,0.80370964
39.7499,730.838,371.76874532,2.56012,1.2536746,466.07703269,0.80158951
40.1666,725.163,369.7161073,2.56022,1.24917573,461.84038758,0.7995727
40.5833,719.596,367.584004,2.56036,1.2446847,457.52618539,0.79783524
41.0,714.123,365.36146485,2.5605,1.24020563,453.12334501,0.79639685
41.4166,708.786,363.06335535,2.56065,1.23577506,448.6646399,0.79518455
41.8333,703.569,360.69654836,2.56084,1.23140976,444.16525049,0.79411855
42.25,698.473,358.25968235,2.56105,1.22709413,439.61835267,0.7931756
42.6667,693.492,355.76677754,2.56127,1.22282051,435.0389124,0.79233453
43.0833,688.626,353.25769631,2.56146,1.21858935,430.47606595,0.791558
43.5,683.838,350.71213267,2.56163,1.21438462,425.89941919,0.79074651
43.9167,679.121,348.17667929,2.56182,1.21016941,421.35276642,0.78977908
44.3333,674.432,345.61105306,2.56198,1.20591044,416.7759786,0.7885439
44.75,669.76,343.02478045,2.56206,1.20164055,412.19248421,0.78701756
45.1667,665.12,340.42179719,2.56202,1.19742641,407.63004944,0.78526844
45.5834,660.494,337.75878967,2.56184,1.19326862,403.03696492,0.78336839
46.0,655.936,335.10296925,2.56158,1.189193,398.50210654,0.7813583
46.4167,651.435,332.41540277,2.56128,1.18515822,393.96484615,0.77921917
46.8334,646.967,329.66194806,2.56091,1.18117315,389.38784019,0.77696077
47.2501,642.597,326.93577351,2.56053,1.17728501,384.89658611,0.77459968
47.6667,638.348,324.22523036,2.56021,1.17343087,380.45589321,0.7722211
48.0833,634.19,321.5104975,2.56,1.16952982,376.01611428,0.76993606
48.5,630.128,318.79303631,2.55987,1.16557282,371.5764985,0.7678281
48.9166,626.161,316.06708149,2.55982,1.1615636,367.13201744,0.76589521
49.3333,622.291,313.3932035,2.55981,1.15751026,362.75584819,0.76405954
49.75,618.517,310.74475056,2.55982,1.15346435,358.43299081,0.76219962
50.1667,614.815,308.12984276,2.55982,1.14948249,354.1898596,0.7602669
50.5834,611.2,305.54983227,2.55974,1.14555227,350.02330351,0.75819742
51.0,607.662,302.93794744,2.55955,1.14163041,345.84317407,0.75590954
51.4167,604.18,300.3125039,2.55924,1.13770822,341.66800507,0.75348283
51.8334,600.747,297.69363446,2.55881,1.1337901,337.52209679,0.75102749
52.2501,597.352,295.08710578,2.55828,1.12984512,333.40272707,0.74866883
52.6667,593.974,292.51017076,2.5577,1.12581082,329.31111489,0.74643003
53.0834,590.597,289.95551383,2.55707,1.12165948,325.23135228,0.74429253
53.5,587.246,287.45312661,2.55641,1.11739429,321.19848241,0.74232963
53.9166,583.928,285.01421017,2.55577,1.11297799,317.21454196,0.74057415
54.3333,580.673,282.64783742,2.55513,1.10835464,313.27404107,0.73899043
54.75,577.469,280.32195776,2.55449,1.1035307,309.34388553,0.73750914
55.1666,574.318,278.03381089,2.55386,1.09859001,305.44516582,0.73609431
55.5833,571.207,275.75532633,2.55322,1.09355384,301.55329589,0.73468009
56.0,568.117,273.46919388,2.55253,1.08844844,297.65711664,0.73317387
56.4167,565.054,271.17982963,2.55171,1.08339743,293.79553158,0.73158845
56.8333,561.997,268.84902827,2.55073,1.0784526,289.94093224,0.72996867
57.25,558.961,266.45862718,2.54963,1.07354087,286.0542265,0.72824727
57.6667,555.969,264.06325,2.54842,1.06865804,282.19331438,0.72644957
58.0834,553.044,261.70804344,2.54711,1.06388909,278.42833269,0.72453864
58.5,550.192,259.3904393,2.54569,1.05930638,274.77394644,0.72256683
58.9166,547.391,257.09998055,2.54411,1.05494076,271.22524801,0.72060799
59.3333,544.693,254.87977558,2.54235,1.05056651,267.76815728,0.71797073
59.75,541.932,252.66954704,2.54009,1.04721536,264.59942943,0.71793622
60.1667,537.943,248.46649674,2.53655,1.04344142,259.26023454,0.71747032
61.0,532.037,241.50507241,2.53106,1.03604537,250.21021109,0.71078795
61.8334,526.537,235.43194346,2.52603,1.02774024,241.96288197,0.70323423
62.6667,521.405,230.00043478,2.52196,1.01948516,234.48203102,0.6966746
63.5,516.592,224.91887426,2.51852,1.01124181,227.4473697,0.69049532
64.3333,512.115,220.12382879,2.51568,1.00318991,220.82600448,0.68479219
65.1666,507.967,215.61307938,2.51341,0.99551846,214.64680029,0.67930427
66.0,504.11,211.3856665,2.51159,0.98840528,208.93470914,0.67398761
66.8333,500.483,207.4391477,2.51008,0.98183094,203.67017394,0.66924507
67.6667,497.038,203.71597875,2.50877,0.97559777,198.74485366,0.66545494
68.5,493.712,200.10522232,2.50752,0.96948543,193.99909761,0.66262818
69.3333,490.403,196.49300242,2.50612,0.96330421,189.28253636,0.6603674
70.167,487.079,192.88053297,2.50445,0.95699791,184.58626696,0.65803072
71.0,483.773,189.3248531,2.5025,0.95064084,179.97993672,0.65512475
71.833,480.522,185.83675632,2.50033,0.94437863,175.50026165,0.65167209
72.667,477.351,182.41408937,2.49805,0.93835921,171.16994011,0.64806212
73.5,474.241,179.0030726,2.49586,0.93261836,166.94155148,0.64459819
74.333,471.189,175.62659252,2.49391,0.92710895,162.82498529,0.64128003
75.167,468.2,172.36298907,2.49218,0.92180746,158.88548977,0.63803966
76.0,465.287,169.18599233,2.49043,0.9165986,155.07564431,0.63488714
76.834,462.457,166.0891327,2.48834,0.91141813,151.37664603,0.63181316
77.667,459.68,163.08126808,2.48565,0.90637079,147.81209698,0.62872084
78.5,456.929,160.11433415,2.48234,0.90154922,144.35095341,0.62541245
79.333,454.207,157.19064858,2.47863,0.8969515,140.99238861,0.62174226
80.167,451.526,154.32303781,2.47475,0.89252563,137.73726653,0.61776017
81.0,448.91,151.54735234,2.47088,0.88817791,134.60101068,0.61367573
81.834,446.385,148.88653398,2.46715,0.88373186,131.57577357,0.60979943
82.667,443.969,146.30789452,2.46371,0.87904209,128.61079772,0.60641625
83.5,441.652,143.79951321,2.46073,0.87399714,125.68036322,0.60352667
84.333,439.422,141.42347754,2.45808,0.86875486,122.86233288,0.60083068
85.166,437.243,139.13913899,2.45547,0.86364055,120.16620256,0.59800583
86.0,435.092,136.89558064,2.4526,0.85901804,117.59577392,0.59542243
86.833,432.942,134.68667343,2.44937,0.85473037,115.12078979,0.59225364
87.667,430.814,132.54206879,2.44584,0.85075849,112.76128966,0.58964774
88.5,428.586,130.2535988,2.44175,0.84868133,110.54379747,0.59270966
89.333,425.848,126.68819992,2.43783,0.84515738,107.07146735,0.59056198
91.0,421.5,120.50477169,2.43196,0.83471852,100.58756413,0.57438385
92.667,417.697,115.57205545,2.42535,0.8242809,95.26383773,0.56222778
94.333,414.346,111.33957068,2.41906,0.81423891,90.6570105,0.55326624
96.0,411.374,107.53557551,2.41351,0.80354527,86.40970299,0.54455129
97.667,408.687,103.97307344,2.40841,0.79335994,82.48807167,0.53723901
99.333,406.175,100.53108972,2.40235,0.7848159,78.89839785,0.53247352
101.0,403.737,97.20308637,2.39477,0.77722905,75.54906272,0.52973144
102.667,401.333,93.99414875,2.38669,0.77003831,72.37909553,0.52802115
104.333,398.968,90.8907036,2.37848,0.76354371,69.3990252,0.52608324
106.0,396.643,87.89141027,2.36971,0.75825919,66.64446961,0.52360241
107.667,394.387,84.99823528,2.36055,0.75374731,64.06719078,0.52082899
109.333,392.219,82.23083363,2.35178,0.74813902,61.52009566,0.51707605
111.0,390.134,79.60565307,2.34334,0.7410749,58.99375099,0.51296463
112.667,388.146,77.13669684,2.33438,0.73423021,56.63609306,0.51007554
114.333,386.297,74.8330141,2.32555,0.72789354,54.47046726,0.50809019
116.0,384.603,72.70584571,2.31769,0.72164604,52.46788528,0.50597351
117.667,383.029,70.71796094,2.31013,0.71615082,50.64472587,0.5033518
119.333,381.522,68.79011557,2.30188,0.71189606,48.97141223,0.5000317
121.0,380.021,66.83202825,2.29294,0.7081963,47.33019516,0.49601832
122.667,378.503,64.83224506,2.28432,0.70413919,45.65092458,0.49190775
124.333,377.023,62.88489485,2.27627,0.70027852,44.03694084,0.48858891
126.0,375.632,61.06209954,2.26846,0.69693759,42.5564723,0.48597302
127.667,374.306,59.36219336,2.26107,0.69302092,41.13924204,0.48305488
129.333,372.987,57.77482151,2.25331,0.68883888,39.79754323,0.48018704
131.0,371.676,56.30177617,2.24408,0.68589795,38.61727295,0.47864133
