time(sec),flameHeight(cm)
-4.999856003,-30
-4.999648652,-30
-4.999350059,-30
-4.99892012,-30
-4.99830098,-30
-4.99740954,-30
-4.99612585,-30
-4.99427749,-30
-4.99161671,-30
-4.9877858,-30
-4.9822684,-30
-4.9743348,-30
-4.9629258,0.125
-4.9474167,0.375
-4.9398634,0.625
-4.9295289,0.875
-4.9186948,1.1042
-4.9058522,1.3125
-4.888456,1.5209
-4.87382,1.7292
-4.853255,1.9375
-4.830362,2.1458
-4.824263,2.3542
-4.815476,2.3542
-4.803065,2.5626
-4.787817,2.8751
-4.777009,3.2917
-4.763553,3.7084
-4.753608,4.125
-4.741066,4.9583
-4.732748,5.3749
-4.722277,5.7917
-4.715541,6.2084
-4.706694,7.0416
-4.700281,7.4583
-4.691992,7.875
-4.685625,8.2916
-4.677803,8.7083
-4.671751,9.1249
-4.66408,9.9583
-4.657999,10.3749
-4.650833,10.7917
-4.645481,11.2083
-4.639135,11.6251
-4.63443,12.0418
-4.62868,12.4584
-4.624445,12.875
-4.619123,13.2916
-4.615107,13.2917
-4.610134,13.7084
-4.606364,14.125
-4.601659,14.5416
-4.598016,12.875
-4.593485,13.2917
-4.589888,13.2917
-4.585466,13.7084
-4.581904,14.125
-4.577477,14.5416
-4.573881,14.5416
-4.569427,14.9582
-4.565673,15.375
-4.561125,15.7916
-4.557289,15.7917
-4.552658,16.2084
-4.548719,16.625
-4.543991,17.0417
-4.539923,17.0417
-4.535108,17.4584
-4.530921,17.8751
-4.526316,18.2917
-4.52251,18.2917
-4.518045,18.7084
-4.514433,19.125
-4.509977,19.125
-4.506573,19.5417
-4.502389,19.9584
-4.49914,19.9584
-4.49508,20.375
-4.491844,20.375
-4.487844,20.7917
-4.484727,21.2084
-4.480854,21.2084
-4.477851,21.6251
-4.474107,21.6251
-4.4713,22.0418
-4.467732,22.4584
-4.465014,22.4584
-4.461566,22.875
-4.45879,22.875
-4.455282,23.2917
-4.452424,23.2917
-4.448902,23.7083
-4.446013,24.125
-4.442413,24.125
-4.439413,24.5417
-4.435753,24.9584
-4.432754,24.9584
-4.429133,25.3751
-4.426268,25.3751
-4.422749,25.7917
-4.420007,25.7917
-4.416643,26.2083
-4.413989,25.7917
-4.410705,25.7917
-4.408106,25.7917
-4.404862,25.7917
-4.40228,25.7917
-4.399065,24.1249
-4.396493,24.5417
-4.393294,24.9584
-4.390689,25.7917
-4.387463,26.625
-4.384772,27.0417
-4.381487,27.875
-4.378793,28.2917
-4.37545,29.1249
-4.372825,29.5416
-4.369589,29.9583
-4.367082,30.3749
-4.363944,30.7916
-4.361531,30.7917
-4.358506,31.2084
-4.356133,31.2084
-4.353168,31.625
-4.350771,31.625
-4.347907,23.7083
-4.345714,23.2917
-4.342995,23.7083
-4.340926,23.7083
-4.338328,23.7083
-4.33632,24.125
-4.333806,24.5416
-4.331802,24.5417
-4.329353,24.9584
-4.327424,25.3751
-4.325073,25.7917
-4.323194,26.2084
-4.320925,26.2084
-4.319103,26.625
-4.316817,27.0418
-4.315035,27.0418
-4.312831,27.4584
-4.311087,27.875
-4.308912,27.8751
-4.307156,28.2917
-4.305022,28.2917
-4.303275,28.2917
-4.301113,28.2917
-4.299374,28.7083
-4.297227,28.7083
-4.295465,29.1249
-4.293234,29.1249
-4.291364,29.5417
-4.289139,29.5417
-4.287107,29.9583
-4.284613,29.9583
-4.282501,30.375
-4.279934,30.3749
-4.277865,30.7916
-4.275389,30.3749
-4.273413,28.2917
-4.270964,28.7083
-4.269025,29.1249
-4.266609,29.5417
-4.264657,29.9583
-4.26222,30.3749
-4.260228,30.7916
-4.257886,31.2084
-4.255971,31.625
-4.253682,32.0416
-4.251779,32.4583
-4.24951,32.8751
-4.247698,32.8751
-4.245487,33.2917
-4.243747,33.7083
-4.24163,33.7083
-4.239925,33.7083
-4.237804,33.7083
-4.236062,33.7083
-4.233987,33.7083
-4.232215,33.7083
-4.230054,33.2917
-4.228235,32.875
-4.226038,32.875
-4.224118,33.2917
-4.221895,33.7083
-4.220051,34.125
-4.217841,34.5417
-4.216038,34.9584
-4.213893,35.375
-4.212216,35.7917
-4.210133,36.2083
-4.208413,36.6251
-4.20629,37.0417
-4.204652,37.4584
-4.202594,37.875
-4.200899,28.7083
-4.198763,26.2083
-4.196945,25.7917
-4.194707,25.3751
-4.192874,25.7917
-4.190598,25.7917
-4.188728,24.9584
-4.186424,24.1249
-4.184518,24.1249
-4.182174,23.7083
-4.180231,23.7083
-4.177909,23.7083
-4.175926,23.7083
-4.173603,24.1249
-4.171569,24.5417
-4.16922,24.9583
-4.167193,25.3751
-4.164896,25.7917
-4.162889,26.2084
-4.160603,27.0418
-4.158584,27.4584
-4.156297,28.2917
-4.154241,28.7083
-4.151934,29.5417
-4.149863,29.9583
-4.147686,30.375
-4.145752,31.2084
-4.143666,31.625
-4.141827,32.0417
-4.139826,32.4583
-4.138069,32.875
-4.136116,33.2917
-4.134398,33.7083
-4.132476,31.2084
-4.130762,31.625
-4.128856,32.0416
-4.127154,32.4584
-4.125247,32.875
-4.123554,33.2917
-4.121644,32.875
-4.119957,32.8751
-4.118029,33.2917
-4.116346,33.7083
-4.114465,27.8751
-4.112793,27.8751
-4.110874,28.2917
-4.109176,28.2917
-4.10716,28.2917
-4.105415,28.7083
-4.103393,28.7083
-4.101671,29.1249
-4.099667,29.1249
-4.097978,29.1249
-4.096,28.7083
-4.094324,28.2917
-4.092345,28.7083
-4.090666,28.7083
-4.088668,28.7083
-4.086969,28.7083
-4.084946,28.2917
-4.083212,26.2084
-4.08116,26.2084
-4.07945,26.2084
-4.07741,26.625
-4.075705,26.2084
-4.073664,23.2917
-4.071956,14.5416
-4.069898,14.5416
-4.068176,14.9583
-4.066076,14.9583
-4.064336,15.375
-4.062248,15.7917
-4.060527,15.7917
-4.058422,16.2084
-4.056661,16.6251
-4.054561,16.6251
-4.0528,17.0417
-4.050701,17.4583
-4.048978,17.4583
-4.046901,17.875
-4.045203,18.2917
-4.043164,18.2917
-4.041491,18.7083
-4.039432,19.125
-4.037733,19.125
-4.035703,19.5416
-4.033985,19.9584
-4.031922,19.9584
-4.030177,20.375
-4.028095,20.7917
-4.026297,20.7917
-4.024155,21.2083
-4.022336,21.2083
-4.020072,21.625
-4.018227,22.0417
-4.015895,22.4584
-4.013898,22.0417
-4.011538,22.4584
-4.009579,22.875
-4.007155,23.2916
-4.005193,22.4584
-4.002728,22.875
-4.000803,22.875
-3.99837,23.2917
-3.99642,23.7083
-3.994,24.125
-3.99201,24.5416
-3.98952,24.9584
-3.98751,25.3751
-3.98499,25.7917
-3.98299,26.2083
-3.98047,26.625
-3.97845,26.6251
-3.97594,27.0418
-3.97387,27.4584
-3.97131,27.8751
-3.96919,28.2917
-3.96657,28.7083
-3.96441,29.1249
-3.9617,29.5417
-3.9595,29.9583
-3.9568,30.375
-3.95455,30.7917
-3.95189,31.625
-3.94971,31.625
-3.94702,32.4583
-3.9448,32.875
-3.94215,33.2917
-3.93994,33.7083
-3.93726,34.125
-3.93508,34.5416
-3.93239,34.9583
-3.93023,34.9583
-3.92744,35.7917
-3.92493,36.2083
-3.92221,36.2083
-3.91982,36.625
-3.9172,37.0417
-3.91493,37.4584
-3.91238,37.875
-3.9102,37.875
-3.90773,38.2917
-3.90561,38.7083
-3.90321,32.0417
