r(cm),T_mean(K),T_rms(K),uz_mean(m/s),ur_mean(m/s),uz_rms(m/z),ur_rms(m/s),uz'T'(K-m/s),ur'T'(K-m/s),uz'ur'(m/s)^2
-20.0,293.02,0.0025231,0.0890284,0.14174136,0.05372299,0.06553126,0.00013555,0.00016534,0.03003569
-19.7496,293.02,0.00253166,0.0898023,0.14502137,0.05544258,0.06752323,0.00014036,0.00017095,0.0306503
-19.0312,293.019,0.00390078,0.0919864,0.15626539,0.06139536,0.07422042,0.00023949,0.00028952,0.03329997
-18.8694,293.02,0.029207,0.0919342,0.1588364,0.06308138,0.07630937,0.00184242,0.00222877,0.03400226
-18.3221,293.023,0.06071845,0.0917576,0.16753543,0.06847693,0.08298576,0.00415781,0.00503877,0.03627717
-17.6223,293.081,0.89928027,0.0919775,0.17970146,0.07703707,0.09242736,0.06927792,0.0831181,0.0385596
-16.9317,293.527,6.68046406,0.0904519,0.19342372,0.085975,0.10340963,0.57435287,0.69082431,0.04186438
-16.25,295.291,22.70850061,0.0889575,0.20564536,0.09460227,0.11609749,2.14827577,2.63639996,0.04498194
-16.0239,297.153,38.20549699,0.0888646,0.2098616,0.09829364,0.12170521,3.75535743,4.64980785,0.04509608
-15.75,299.408,51.01970208,0.0887521,0.21496891,0.10258704,0.12816901,5.23396002,6.53914472,0.04523396
-15.25,307.332,86.40561324,0.0916125,0.22318819,0.1130637,0.14091208,9.76933824,12.17559429,0.04015459
-14.5638,324.116,133.98134198,0.104601,0.23367521,0.13619141,0.1542321,18.2471078,20.66422431,0.01409369
-13.8775,353.336,191.03219624,0.134874,0.24705965,0.18337721,0.16346539,35.03095057,31.22715262,0.03806116
-13.5453,373.473,222.13351841,0.158583,0.25472392,0.21583142,0.16623611,47.94339175,36.92661182,0.04763287
-13.1912,394.938,251.07966863,0.183856,0.26289425,0.2457515,0.16913959,61.70320531,42.46751302,0.0560645
-12.505,448.381,307.81195558,0.248946,0.28209801,0.30292012,0.17386995,93.24243498,53.51924976,0.06972964
-11.8188,517.285,361.15924466,0.326926,0.30587455,0.34829442,0.17844638,125.78974809,64.44756129,0.08129776
-11.1325,597.283,410.27307979,0.409415,0.33069507,0.38354791,0.18802096,157.35938268,77.1399368,0.09139095
-10.4462,670.113,446.28354216,0.479369,0.35071801,0.40704054,0.20348446,181.65549333,90.81176617,0.09508673
-9.76,725.672,465.3901589,0.524422,0.36165043,0.41980948,0.22221517,195.37520088,103.4167556,0.08834156
-9.07375,762.144,471.41807348,0.544084,0.36254003,0.43015114,0.24099049,202.78101995,113.60727265,0.05509953
-8.3875,777.624,468.28730497,0.544218,0.35468558,0.44641797,0.25546118,209.051866,119.62922889,0.07650196
-7.69596,774.936,458.18336941,0.532853,0.33873451,0.4724701,0.2659296,216.47794459,121.84452174,0.1310762
-7.00248,762.317,443.32155373,0.51907,0.31766562,0.50882119,0.27596579,225.57139904,122.34158195,0.17515185
-6.30725,754.103,428.57088095,0.513876,0.29486495,0.54771525,0.28354153,234.73480913,121.51764388,0.21220172
-5.61044,767.063,416.35201453,0.529388,0.27120071,0.57853349,0.2812704,240.87358437,117.10749921,0.234015
-4.91222,816.859,401.76734561,0.57727,0.24732109,0.59105414,0.27072209,237.46625416,108.76729697,0.23545299
-4.21277,901.267,377.30094089,0.653109,0.22517557,0.57707625,0.25673882,217.73141264,96.8677971,0.21469921
-3.51225,988.981,343.8793393,0.727506,0.20068267,0.5432909,0.24552729,186.8265151,84.43176357,0.18635407
-2.81086,1056.04,302.4139547,0.783255,0.17183843,0.50069352,0.2414852,151.41670719,73.0284957,0.16486355
-2.24019,1089.51,266.39087822,0.814885,0.14757463,0.46319003,0.24105497,123.38959776,64.21484595,0.14504555
-2.10876,1097.22,257.38084622,0.82217,0.14205229,0.45411342,0.24095575,116.88009682,62.01739406,0.14008489
-1.94865,1100.28,250.43442255,0.826596,0.13444376,0.44379162,0.24042941,111.14069753,60.21180088,0.13141592
-1.40614,1110.66,225.31089632,0.841594,0.1088142,0.40687713,0.23863684,91.67385115,53.76747965,0.09641286
-0.703157,1098.95,215.11020431,0.837743,0.07043393,0.37533585,0.23450783,80.7385713,50.44502616,0.01772851
-0.037139,1079.5,217.35408899,0.823231,0.03155832,0.36927226,0.23310173,80.26283507,50.66561485,0.0819548
0.0,1078.41,217.47850468,0.822422,0.02942182,0.36893089,0.23302323,80.23453782,50.67754281,0.0841047
0.703157,1071.12,218.36918281,0.814459,0.01817367,0.37612099,0.23196198,82.13323348,50.653347,0.10823909
1.40614,1077.23,224.55711968,0.814254,0.06325877,0.3981997,0.23127241,89.41857739,51.93386546,0.12758695
1.9608,1080.79,240.36617899,0.813812,0.09584547,0.42269847,0.2350992,101.60241708,56.50989647,0.14178843
