r(cm),T_mean(K),T_rms(K),uz_mean(m/s),ur_mean(m/s),uz_rms(m/z),ur_rms(m/s),uz'T'(K-m/s),ur'T'(K-m/s),uz'ur'(m/s)^2
-20.0,302.397,63.76276343,0.0678794,0.14982255,0.13127338,0.16899883,8.3703534,10.77583231,0.05382547
-19.7496,304.286,71.39936975,0.0705198,0.15080744,0.13586501,0.17585139,9.70067584,12.55567854,0.05521672
-19.0312,311.682,96.21559125,0.0811872,0.15263204,0.15278645,0.19940287,14.70043884,19.18566538,0.05503797
-18.8694,313.85,102.47877829,0.0845003,0.15274698,0.15677181,0.20609093,16.06578343,21.11994687,0.05367978
-18.3221,321.184,121.28767456,0.0957058,0.15315483,0.16955825,0.22725744,20.56532579,27.56352695,0.04880683
-17.6223,332.833,146.90643281,0.115262,0.15218546,0.18734861,0.25860795,27.52271533,37.99117149,0.01803932
-16.9317,346.299,172.34210165,0.141349,0.14946515,0.2086545,0.28705691,35.9599549,49.47199129,0.05423818
-16.25,360.633,196.33135256,0.172018,0.14521362,0.23347848,0.30912999,45.83914551,60.69190883,0.08057109
-16.0178,366.807,205.37064055,0.185765,0.14332003,0.24424537,0.31726742,50.16082777,65.15741269,0.08941092
-15.75,373.928,215.32487083,0.201619,0.1411429,0.25610135,0.32640058,55.14498949,70.28216252,0.09862687
-15.25,387.759,232.07046344,0.236328,0.1361536,0.28036351,0.34426274,65.06409063,79.89321424,0.11825401
-14.5638,404.843,251.29464777,0.286795,0.12795258,0.31281272,0.36635486,78.60816318,92.06301611,0.15036539
-13.8775,422.214,269.70242861,0.348966,0.11721219,0.34867894,0.38976973,94.03955569,105.12184194,0.19012718
-13.591,428.582,276.04872758,0.377826,0.1127635,0.36432403,0.39823239,100.57118535,109.93154577,0.20647425
-13.1912,437.469,284.6680523,0.418097,0.10657427,0.38509739,0.40975046,109.62492404,116.64286556,0.22732943
-12.505,452.354,297.22584006,0.491624,0.09837416,0.4191885,0.42270425,124.59365458,125.63862476,0.25409339
-11.8188,469.127,309.86109791,0.5683,0.09192986,0.45038428,0.4300769,139.5565676,133.26410045,0.26899411
-11.1325,488.096,325.62555182,0.646754,0.08603469,0.48446156,0.43710946,157.75306176,142.33400911,0.2799688
-10.4462,509.327,343.30452954,0.725942,0.08209446,0.51716632,0.4442007,177.54553934,152.49611161,0.29132046
-9.76,532.719,360.70070696,0.805553,0.08127874,0.54812499,0.4475985,197.70906986,161.44909651,0.29951294
-9.07375,556.139,378.06084166,0.880808,0.08227454,0.58263625,0.45002653,220.27195112,170.13740967,0.30592131
-8.3875,576.826,393.52128278,0.951043,0.08531054,0.61936096,0.44873676,243.73171987,176.58746552,0.31127581
-7.69596,592.727,403.31997223,1.01566,0.08875489,0.65943006,0.44097984,265.96131225,177.85597532,0.31167206
-7.00248,604.288,408.52662092,1.06798,0.08894621,0.70792655,0.43427544,289.20684127,177.41308003,0.30530333
-6.30725,617.189,414.84937025,1.11749,0.08746244,0.770688,0.42871457,319.71943325,177.85197009,0.2956434
-5.61044,637.324,424.95411517,1.18089,0.08583262,0.84278467,0.42104727,358.14481372,178.92576927,0.29268845
-4.91222,671.563,434.95402056,1.26688,0.07888621,0.9147076,0.41401587,397.8557498,180.07786691,0.2949952
-4.21277,731.284,440.26582879,1.39287,0.06590703,0.97854535,0.40502869,430.82007907,178.32029204,0.29354073
-3.51225,819.284,434.83790083,1.56177,0.05265681,1.01342489,0.3924474,440.67555017,170.65100262,0.287903
-2.81086,909.926,416.49969988,1.72022,0.04138539,1.01516501,0.3794398,422.8159225,158.03656182,0.26285393
-2.25242,966.384,395.9621194,1.80822,0.03517722,1.00028496,0.37059862,396.07495253,146.74301548,0.22452919
-2.10876,980.907,390.50480151,1.83086,0.0335803,0.99641959,0.36829015,389.10663434,143.81907341,0.21356124
-1.94347,994.546,383.60917612,1.85084,0.03236393,0.98823833,0.36715661,379.09729218,140.84464348,0.20276008
-1.40614,1038.88,360.28322192,1.9158,0.02881329,0.96116076,0.36344796,346.29009417,130.94420221,0.16276944
-0.703157,1081.09,334.27683138,1.98291,0.02448568,0.92538857,0.3604536,309.33595799,120.49128831,0.11671705
-0.109768,1094.46,325.89262035,2.00958,0.01860839,0.90709977,0.35743592,295.61712227,116.48572999,0.06553053
0.0,1096.93,324.31928712,2.01451,0.01756924,0.90367638,0.35687485,293.07967939,115.7413976,0.05068131
0.703157,1085.0,332.3793014,1.99507,0.01024804,0.90074136,0.3578453,299.38778442,118.94037141,0.0884783
1.40614,1049.02,351.90765834,1.93369,0.00925437,0.91803377,0.36217005,323.06311373,127.45041367,0.1520539
1.97198,1009.44,374.54238745,1.87151,0.01044003,0.93813805,0.36781789,351.37246484,137.76339057,0.20583469
2.10876,999.877,379.81047906,1.85647,0.01111261,0.94293372,0.3691702,358.13610785,140.21471228,0.21684234
2.2357,988.218,386.13469153,1.83811,0.01168068,0.94699366,0.37137562,365.6671064,143.4010103,0.2272443
2.81086,935.391,413.5758697,1.75492,0.01481418,0.96517408,0.38120837,399.17270854,157.65858134,0.26938797
3.51225,855.878,443.56397509,1.61588,0.02264217,0.98023671,0.39692634,434.79768989,176.06222553,0.30542218
4.21277,777.041,455.26475814,1.46568,0.0347502,0.97090164,0.41266236,442.01730158,187.87062766,0.32723912
4.91222,709.651,449.49304778,1.3276,0.04913194,0.93528819,0.42401445,420.40553947,190.59154965,0.3344983
5.61044,659.235,436.44816416,1.2099,0.06324824,0.87914675,0.43025555,383.70198307,187.78424578,0.33271555
6.30725,624.954,422.6381431,1.11393,0.07352182,0.80740882,0.43716375,341.24176372,184.76207344,0.3277525
7.00248,601.956,411.67584335,1.03628,0.08050294,0.73671365,0.44290026,303.28721259,182.33133791,0.32097291
7.69596,583.222,400.22118884,0.970223,0.08604049,0.67288186,0.44393757,269.3015787,177.67322201,0.31316112
8.3875,564.344,387.57192881,0.906737,0.08846027,0.61756538,0.44408365,239.35100594,172.11435495,0.30295689
9.07375,543.668,372.96514582,0.84086,0.08713282,0.57236003,0.44357632,213.47034077,165.43850533,0.29704711
9.76,520.261,354.41642174,0.768943,0.08599317,0.53385672,0.43826564,189.20758926,155.32853861,0.29321102
10.4462,497.832,335.40870591,0.697157,0.08660637,0.49859001,0.42967046,167.23143068,144.11521132,0.28292229
11.1325,479.389,318.37870532,0.630838,0.08815339,0.46939642,0.4226645,149.44582478,134.56737646,0.26994049
11.8188,464.353,303.88813731,0.56572,0.09036108,0.44221827,0.4198515,134.38488693,127.58788954,0.25682882
12.505,451.872,292.191889,0.498349,0.09499083,0.4109343,0.41723661,120.07166976,121.91315438,0.23947184
13.1912,440.631,281.60149147,0.429094,0.10398063,0.37639607,0.40938252,105.99369413,115.28272894,0.21566954
13.7237,430.967,272.82191994,0.376007,0.11280054,0.34902149,0.40059251,95.22071281,109.29041869,0.19420548
13.8775,428.174,270.23230747,0.36067,0.11535483,0.34070222,0.39801656,92.06874599,107.55693273,0.18754733
14.5638,412.814,254.6124506,0.29693,0.12731426,0.30557814,0.38150088,77.80399922,97.13487348,0.15577923
15.25,395.627,235.78910068,0.242647,0.13764082,0.27393448,0.35998031,64.59076497,84.87943238,0.12147173
15.75,379.806,217.8593583,0.203933,0.14392824,0.25015495,0.33958236,54.49859731,73.98119529,0.08716679
15.9562,373.427,209.86114457,0.190639,0.14582606,0.24064684,0.3292674,50.50242058,69.10043321,0.07090669
16.25,364.34,197.91033323,0.171703,0.14854927,0.22641444,0.31399,44.80975786,62.1418655,0.03696644
16.9317,349.122,175.25324533,0.139441,0.15322421,0.19860967,0.28020232,34.80698877,49.10636589,0.05999343
17.6223,335.78,152.29248176,0.111174,0.15663414,0.17495285,0.24888406,26.64400384,37.90317119,0.07660728
18.3221,323.174,125.75611317,0.0887891,0.15795801,0.15855882,0.22151021,19.93974115,27.85626315,0.07687666
19.0312,311.685,95.15713321,0.0728143,0.15699695,0.14690575,0.19568924,13.97913022,18.62122736,0.06942363
19.6989,303.369,66.74908239,0.0635161,0.15404054,0.13826496,0.17400791,9.22905941,11.61486856,0.06040284
19.7496,302.737,64.07698495,0.0628094,0.15381589,0.13758597,0.17224854,8.81609433,11.03716719,0.05966143
20.4775,297.141,38.17656349,0.0574208,0.14902744,0.12784952,0.15197048,4.88085535,5.80171083,0.05014772
