r(cm),T_mean(K),T_rms(K),uz_mean(m/s),ur_mean(m/s),uz_rms(m/s),ur_rms(m/s),uz'T'(K-m/s),ur'T'(K-m/s),uz'ur'(m/s)^2
-20.0,309.922,88.18497604,0.078795,0.14410646,0.15021651,0.19980509,13.24683937,17.61980664,0.04598914
-19.7496,312.242,94.66688967,0.0829704,0.14419648,0.15586019,0.20817322,14.75479977,19.70711136,0.0438576
-19.0312,320.476,114.9008268,0.0985562,0.14350038,0.17318285,0.23653088,19.89885281,27.17759339,0.02844702
-18.6432,325.897,126.7004341,0.109347,0.14264905,0.18425499,0.25374074,23.34518676,32.14906162,0.02616639
-18.3221,330.387,135.64475663,0.118433,0.14188243,0.19320663,0.26735644,26.20746565,36.26549974,0.04455582
-17.6223,342.239,158.16668423,0.143243,0.13902019,0.21675447,0.29429917,34.28333572,46.54832403,0.07428109
-16.9317,355.225,181.28375548,0.173507,0.13448163,0.2436282,0.31610945,44.1658351,57.3055087,0.09492121
-16.25,368.562,202.06038701,0.207389,0.12890806,0.26993499,0.3367298,54.54316899,68.03975424,0.11313075
-16.0324,374.228,209.48078671,0.22178,0.12657984,0.28039437,0.34501075,58.7372322,72.27312406,0.1216939
-15.75,381.595,218.67898847,0.240664,0.12347441,0.29384316,0.35567755,64.257324,77.77920699,0.132618
-15.25,395.718,234.45895163,0.280353,0.11699996,0.32083952,0.37626111,75.22369838,88.21778449,0.15735199
-14.5638,411.207,250.65873214,0.335294,0.10764254,0.35414686,0.40179811,88.77000347,100.71420446,0.18868293
-13.8775,425.241,264.08616018,0.398747,0.09737643,0.38778602,0.42587475,102.40892191,112.46762661,0.21931395
-13.5318,431.89,269.79492212,0.432964,0.0931067,0.40291686,0.43410494,108.70492418,117.11930881,0.23068439
-13.1912,438.381,275.17303647,0.466611,0.08905492,0.41714386,0.44203437,114.78674262,121.63593849,0.24071178
-12.505,452.103,285.58186217,0.537934,0.08297693,0.44446485,0.45141229,126.9310986,128.91516379,0.25436277
-11.8188,466.782,296.97491477,0.612489,0.0778534,0.47298837,0.45830429,140.46568144,136.10487674,0.26569928
-11.1325,482.86,310.93970477,0.687904,0.07277088,0.50338157,0.46437735,156.52131521,144.39335504,0.27737734
-10.4462,501.572,327.56831349,0.76338,0.06935831,0.53159007,0.47072606,174.13206192,154.19494035,0.29094379
-9.76,522.64,344.8985358,0.841938,0.06807137,0.55927632,0.47518039,192.89358323,163.88901965,0.30125059
-9.07375,543.777,362.48448243,0.918475,0.06721812,0.59173558,0.47587612,214.49496648,172.49770845,0.30538733
-8.3875,562.009,377.674463,0.987991,0.06752442,0.6272081,0.47277854,236.88048214,178.55638269,0.30900232
-7.69596,576.039,387.67770119,1.05354,0.06957512,0.66825744,0.4669388,259.06850637,181.02175936,0.31712356
-7.00248,587.618,394.80628161,1.11173,0.07017717,0.71782867,0.46302177,283.40326818,182.80390353,0.32163521
-6.30725,600.505,403.06202997,1.16721,0.06877618,0.78096159,0.45931268,314.77596249,185.13150206,0.32023163
-5.61044,619.625,414.08332495,1.23589,0.06623498,0.85505146,0.4538783,354.06255174,187.94343631,0.32306773
-4.91222,653.442,425.21288786,1.33204,0.05880236,0.93221349,0.44813958,396.38919225,190.55472347,0.32904445
-4.21277,711.378,433.60350552,1.46916,0.04618083,1.0080873,0.44018451,437.1101862,190.86554521,0.33244033
-3.51225,793.157,432.7135311,1.64452,0.0337952,1.05596401,0.43035362,456.92991745,186.21983541,0.32913707
-2.81086,876.933,420.08570554,1.8087,0.02433882,1.0679794,0.41658488,448.64287998,175.0013521,0.30510188
-2.24905,929.578,404.99259252,1.89944,0.02032622,1.06335789,0.40457521,430.65206823,163.8499629,0.26570196
-2.10876,942.672,401.20443667,1.92212,0.01935774,1.06233234,0.40146401,426.21244791,161.06914231,0.25483724
-1.93775,956.17,395.86234981,1.94331,0.01891651,1.05694844,0.39976759,418.40609219,158.25293656,0.24286504
-1.40614,997.652,379.78414922,2.0094,0.01819658,1.0419165,0.39422293,395.70337279,149.71962078,0.1993496
-0.703157,1041.76,361.2270754,2.08455,0.01712537,1.01604626,0.39260301,367.02341853,141.8188355,0.14914211
-0.150987,1057.31,354.49964739,2.11593,0.01440884,1.00046989,0.39154121,354.66622309,138.80122128,0.09029646
0.0,1061.59,352.65138593,2.12458,0.01376031,0.99618171,0.39125391,351.30486079,137.97623267,0.06507726
0.703157,1052.07,357.42551672,2.10753,0.01166698,0.98599544,0.39124368,352.41992823,139.84047579,0.12160066
1.40614,1016.03,372.47147542,2.04092,0.01178102,0.99042668,0.39421233,368.9056852,146.83284765,0.19417621
1.96637,975.631,389.76659682,1.97145,0.00879143,1.00144396,0.4017021,390.32940322,156.57006184,0.2484672
2.10876,965.353,393.98857851,1.95369,0.00803858,1.00411155,0.40361935,395.6084813,159.02141412,0.26060422
2.23395,953.935,398.96365749,1.934,0.00731906,1.00656346,0.40634055,401.5822397,162.11511075,0.26994159
2.81086,901.463,420.05594865,1.84167,0.00391968,1.01626276,0.41941084,426.88721828,176.17601992,0.30999065
3.51225,826.581,443.54255715,1.69463,0.00709573,1.01882776,0.43510217,451.89346897,192.98632995,0.34169589
