time(sec),flameHeight(cm)
-3.97542,20.375
-3.97301,20.7917
-3.97062,21.2083
-3.96821,21.625
-3.96585,19.9583
-3.96345,20.375
-3.96108,20.375
-3.95872,20.7917
-3.9564,21.2084
-3.95405,21.2084
-3.95175,22.0418
-3.94942,22.4584
-3.94712,31.2084
-3.9449,31.625
-3.9427,32.4584
-3.94051,33.2917
-3.93832,33.7083
-3.93618,34.1249
-3.93401,34.9583
-3.93202,35.375
-3.92996,35.7916
-3.92805,35.7916
-3.92606,35.7916
-3.9242,27.0417
-3.92224,36.6251
-3.92041,27.875
-3.91848,28.2917
-3.91667,28.7083
-3.91477,28.7083
-3.91299,29.1249
-3.91111,29.5417
-3.90936,29.5417
-3.90752,29.9583
-3.90578,30.375
-3.90395,30.7916
-3.90219,31.2084
-3.90038,32.0417
-3.89862,32.0417
-3.8968,32.4583
-3.89502,32.875
-3.89318,32.875
-3.89137,32.875
-3.88955,32.4584
-3.88777,32.4584
-3.88597,32.8751
-3.88421,32.8751
-3.88243,32.8751
-3.88069,32.8751
-3.87891,33.2917
-3.87717,33.2917
-3.87541,33.7083
-3.87369,33.7083
-3.87195,34.125
-3.87023,34.5417
-3.8685,34.5417
-3.86677,34.9583
-3.86506,35.375
-3.86332,35.7917
-3.86159,36.2083
-3.85985,36.625
-3.8581,37.0417
-3.85632,37.4584
-3.85453,37.875
-3.85273,37.4584
-3.85091,37.8751
-3.84912,38.2917
-3.84732,38.2917
-3.84554,38.7084
-3.84375,39.125
-3.84201,39.5416
-3.84029,39.9582
-3.83863,39.9583
-3.83696,40.375
-3.83531,40.375
-3.83364,40.7917
-3.83197,41.2083
-3.83027,41.625
-3.82855,42.0416
-3.82678,42.4584
-3.825,42.4584
-3.82313,42.875
-3.82126,43.2917
-3.81932,43.7084
-3.81738,44.125
-3.81539,44.5417
-3.81342,44.9584
-3.81143,45.3751
-3.80946,46.2084
-3.80747,46.6251
-3.80549,47.0417
-3.8035,47.875
-3.80153,48.2917
-3.79956,48.7083
-3.79762,49.5416
-3.79569,49.9584
-3.79378,50.375
-3.79188,51.2084
-3.79,52.0418
-3.78811,52.875
-3.78624,53.2917
-3.78436,54.5417
-3.78251,54.9583
-3.78069,55.7916
-3.77887,56.625
-3.77704,57.0417
-3.77527,57.4583
-3.77347,58.2917
-3.77174,58.7083
-3.77001,59.1249
-3.76828,59.5417
-3.76658,59.9584
