r(cm),T_mean(K),T_rms(K),uz_mean(m/s),ur_mean(m/s),uz_rms(m/z),ur_rms(m/s),uz'T'(K-m/s),ur'T'(K-m/s),uz'ur'(m/s)^2
-20.0,313.01,95.62651306,0.0842181,0.13251724,0.17958786,0.23029913,17.17336098,22.02270291,0.05841085
-19.7496,315.425,101.29955577,0.0892637,0.13207931,0.18524983,0.23846998,18.76572562,24.15690275,0.05663072
-19.0312,324.747,119.05124947,0.108574,0.13042078,0.20411737,0.26330161,24.30042772,31.34638615,0.04440253
-18.8694,327.585,124.15876932,0.114392,0.12980245,0.20793917,0.26901491,25.81747191,33.40055974,0.03832726
-18.3221,337.29,140.1056744,0.134864,0.12746896,0.22062366,0.2877337,30.91062688,40.31312357,0.01824593
-17.6223,352.274,164.20383674,0.170828,0.12210782,0.23942327,0.31226914,39.31421878,51.27579041,0.06740423
-16.9317,367.793,187.4745316,0.214402,0.11479001,0.26855763,0.33636926,50.34771567,63.06066972,0.10130879
-16.25,382.747,208.55838511,0.259609,0.10794744,0.30207168,0.35810998,62.99958182,74.68683977,0.12371099
-16.0119,388.941,216.80590398,0.278712,0.1058237,0.31529669,0.36650765,68.35818296,79.46102311,0.13090963
-15.75,395.589,225.33486193,0.299369,0.1036311,0.32945865,0.37567345,74.2385187,84.65232468,0.1381598
-15.25,408.249,240.17743441,0.341129,0.10087184,0.35474357,0.39226476,85.20140036,94.21314307,0.15199207
-14.5638,423.677,257.22363811,0.394526,0.09736092,0.3833158,0.41071691,98.59788377,105.64609777,0.16753875
-13.8775,440.886,274.59643115,0.455673,0.0928881,0.414128,0.4292718,113.71807071,117.87650482,0.18568112
-13.5769,448.59,281.5217576,0.484958,0.09021133,0.42963706,0.43702654,120.95217917,123.03248073,0.19567999
-13.1912,458.53,290.1837349,0.523045,0.08679943,0.44909353,0.44683863,130.31963828,129.66530214,0.20779155
-12.505,475.536,304.41681951,0.595209,0.08023504,0.48369515,0.46149869,147.24493976,140.48796313,0.22765893
-11.8188,492.485,320.11560412,0.670001,0.07490522,0.51352994,0.47251988,164.3889472,151.26098786,0.24200256
-11.1325,509.012,335.77224424,0.745026,0.069015,0.54259008,0.47967591,182.18669044,161.06185589,0.25323721
-10.4462,524.782,349.40091585,0.819879,0.06372474,0.56806866,0.48627797,198.48370931,169.9059666,0.2616172
-9.76,540.661,362.7409544,0.894678,0.06028266,0.58968466,0.49469821,213.90277691,179.44730121,0.26877014
-9.07375,555.833,374.35544607,0.969053,0.05738333,0.61341259,0.50151437,229.63434205,187.74463445,0.27801615
-8.3875,570.411,384.67778725,1.04259,0.0549833,0.64533712,0.50638553,248.24685581,194.79526556,0.28978302
-7.69596,584.789,395.31000493,1.11491,0.05148839,0.69048823,0.50930249,272.95690682,201.33236971,0.3084946
-7.00248,599.926,406.19084185,1.18627,0.04698887,0.74185511,0.50658908,301.3347505,205.77184569,0.3251875
-6.30725,619.387,418.09209512,1.2627,0.04225056,0.7955407,0.50021153,332.60927661,209.13448627,0.33499313
-5.61044,650.184,433.61273044,1.36385,0.03481637,0.86056958,0.49300046,373.15392481,213.77127488,0.34968415
-4.91222,698.466,451.95132481,1.50283,0.02277829,0.9444374,0.48287978,426.83973353,218.23815633,0.36595233
-4.21277,764.65,463.00971912,1.67486,0.00809298,1.02456332,0.47199079,474.38277576,218.53632514,0.37480143
-3.51225,844.573,458.06222285,1.86231,0.0062308,1.07973608,0.46637913,494.58630837,213.63065955,0.36444769
-2.81086,928.431,441.13603344,2.03421,0.01668684,1.11572846,0.46060048,492.18802794,203.18746866,0.32864599
-2.24304,987.071,424.47732566,2.13941,0.01809978,1.13224997,0.44905632,480.61444026,190.61422648,0.28151968
-2.10876,1000.92,420.5603405,2.16449,0.01844916,1.13647261,0.44624781,477.95530907,187.67413095,0.26901465
-1.94576,1014.23,415.84732775,2.18723,0.01760798,1.13820473,0.44327276,473.31939406,184.33379376,0.25384757
-1.40614,1058.32,400.48720329,2.26386,0.01563637,1.1454868,0.43293554,458.75280337,173.38514464,0.19262892
-0.703157,1104.75,383.77206777,2.34559,0.01432295,1.14023243,0.43081977,437.58935834,165.33659476,0.10533376
-0.0445383,1121.32,379.16882783,2.37299,0.01260254,1.13013716,0.43220627,428.51278218,163.87914485,0.09707435
0.0,1122.46,378.85617324,2.37486,0.01248319,1.1294689,0.43227634,427.9062659,163.77055815,0.10418178
0.703157,1091.65,389.15164139,2.31727,0.00767149,1.13704002,0.43117389,442.4809889,167.792027,0.16467538
1.40614,1027.73,407.67634221,2.20194,0.00270721,1.15655091,0.43178814,471.49844326,176.02981054,0.20093292
1.95615,980.14,424.57743699,2.11744,0.01307817,1.16099096,0.4377468,492.93056448,185.85741395,0.23513039
2.10876,966.943,429.00582747,2.09383,0.01601872,1.16190791,0.43945682,498.46526597,188.52953834,0.24387312
2.23529,956.367,432.38408851,2.07415,0.01692479,1.1587709,0.44205167,501.03409964,191.13610892,0.25256405
2.81086,908.416,446.6128077,1.98376,0.02120227,1.1423397,0.4536686,510.18354268,202.61420789,0.28945483
3.51225,833.931,457.21001739,1.83219,0.01591972,1.09821674,0.46795726,502.11569312,213.95474836,0.33145226
