time(sec),HRR(kW)
25.692798,24.49564
25.808883,24.94983
25.905068,20.57049
25.990691,24.53804
26.091023,25.32645
26.215099,21.11964
26.311928,19.75497
26.406165,20.21511
26.497137,22.78946
26.618043,20.15539
26.733657,18.21096
26.825355,18.18143
26.926294,21.93796
27.052516,24.05901
27.164946,23.85689
27.265668,20.68789
27.354216,24.75354
27.461344,23.15729
27.578046,25.83465
27.675105,24.89893
27.769204,24.00452
27.866085,26.55781
27.991797,25.08187
28.09712,17.623
28.187283,13.20613
28.289731,15.3223
28.381586,20.60113
28.454283,23.74064
28.554106,23.72355
28.670947,22.30581
28.775667,22.06645
28.853676,24.55113
28.932642,24.20181
29.028152,26.15328
29.166052,27.10752
29.266215,24.58606
29.358003,25.00102
29.443864,24.49599
29.549478,22.33252
29.662012,21.97448
29.742029,18.88765
29.828771,18.9525
29.946728,20.79194
30.060104,26.03829
30.158546,26.28158
30.265082,24.51683
30.369874,24.99546
30.501573,24.53881
30.597826,17.60427
30.693089,13.7246
30.792681,16.68412
30.880238,20.45688
30.973333,23.53603
31.093005,27.31606
31.185198,24.77865
31.261758,25.38745
31.344766,27.04051
31.437165,26.5361
31.565468,22.89337
31.66665,22.9829
31.762522,20.89127
31.867598,19.944
31.998422,24.46895
32.090252,18.40355
32.171398,19.77646
32.260692,23.64884
32.38059,22.70597
32.478918,23.15966
32.566118,21.40871
32.659394,26.12421
32.75026,24.66708
32.864852,24.51524
32.972106,17.90186
33.059308,12.74033
33.166001,15.78231
33.262534,18.19324
33.347798,18.4113
33.453325,23.78679
33.547971,23.35239
33.650254,22.86792
33.74152,23.65823
33.833218,21.92341
33.941412,22.65903
34.046053,25.97295
34.145628,23.8594
34.248381,22.504
34.339322,21.37768
34.429503,22.88782
34.521222,31.40674
34.616974,22.3177
34.719659,23.35276
34.830875,22.66715
34.931387,28.92679
35.01579,26.59251
35.100168,23.03248
35.183813,22.8609
35.310288,19.41793
35.420622,23.62957
35.513009,18.7439
35.612066,23.08557
35.737,23.4867
35.855509,19.72153
35.955051,16.54531
36.051179,19.95785
36.163281,21.41237
36.278923,24.41113
36.379238,18.86943
36.47745,15.8263
36.580379,16.41833
36.669023,23.50724
36.773256,32.86912
36.870844,25.98779
36.974668,26.45787
37.08445,23.66593
37.176591,27.67306
37.266487,23.45402
37.366682,25.27998
37.485449,22.84326
37.607055,19.00673
37.696708,17.78771
37.792667,19.89737
37.912242,25.10956
38.029079,26.89562
38.123124,17.03647
38.209261,16.50774
38.306153,17.99324
38.419018,24.17999
38.508674,30.50264
38.597492,26.97782
38.707621,26.43273
38.84033,23.94642
38.957379,21.15369
39.056026,16.33074
39.154883,17.45113
39.259649,21.45312
39.380512,26.18712
39.47813,20.43027
39.578583,17.98024
39.69093,21.23669
39.795209,21.245
39.877906,27.09848
39.961259,32.32498
40.051142,27.75033
40.165535,23.22475
40.264154,26.4188
40.348072,24.84298
40.433926,24.51002
40.525783,24.17825
40.646491,24.47153
40.749117,20.94323
40.838058,17.86391
40.930729,19.3475
41.04675,19.51533
41.132609,22.60485
41.204809,25.07991
41.297092,20.31118
41.429733,23.65533
41.564955,22.70657
41.661251,18.33697
41.749804,21.23373
41.843498,27.07711
41.955699,28.16095
42.066551,20.37128
42.145502,16.84307
42.222275,18.73667
42.324777,21.66535
42.439779,23.26423
42.537191,27.12313
42.649224,26.52639
42.759556,23.7582
42.88159,23.36485
42.987548,18.42055
43.075992,15.49585
43.181899,15.91362
43.289195,20.99426
43.382953,26.769
43.485949,26.55842
43.577635,22.05851
43.684019,21.7032
43.791148,22.62259
43.895189,21.96758
43.996499,24.33444
44.079683,28.63604
44.167532,22.42937
44.269392,21.69588
44.37124,26.93961
44.470819,20.42836
44.580992,21.24153
44.698718,20.91137
44.800471,25.90635
44.889577,24.38618
44.981923,23.56607
45.085965,23.80275
45.206892,24.39711
45.307308,21.84941
45.405616,16.48911
45.517006,22.0768
45.607627,26.16707
45.679034,26.31271
45.754904,22.45054
45.86742,27.1425
46.001963,22.65807
46.099508,21.28673
46.185524,21.58283
46.274692,21.82259
46.401847,23.74917
46.513448,19.64376
46.59469,18.29526
46.68181,21.42769
46.782527,25.06969
46.898794,24.12201
46.99965,19.19299
47.094063,23.95678
47.183926,24.6691
47.311744,22.83658
47.406263,17.95433
47.491705,16.83527
47.589138,19.93472
47.712825,20.87883
47.820037,19.83389
47.914229,20.08584
48.008929,19.36696
48.128706,21.80332
48.229755,28.02952
48.333281,24.04068
48.427142,19.84223
48.524343,22.94131
48.631231,25.8783
48.725932,29.03616
48.821963,21.07469
48.918307,24.10958
49.036751,21.31733
49.145385,26.37006
49.234908,21.89417
49.324712,24.08086
49.414507,25.70547
49.532206,22.32709
49.642762,17.97277
49.731004,15.5829
49.827976,17.79563
49.932161,21.36758
50.009673,22.17999
50.110458,24.07946
50.217504,27.09828
50.315475,21.60597
50.40661,22.57335
50.498696,20.50684
50.606496,22.92534
50.712292,26.74143
50.808074,27.3883
50.905089,24.72844
50.99765,24.36012
51.105778,26.11517
51.219257,20.14782
51.309989,20.76093
51.407758,16.30346
51.50905,16.07186
51.605457,17.64472
51.681356,24.82302
51.76307,30.08664
51.858573,23.07401
51.955357,24.30788
52.047213,23.43124
52.134478,29.62216
52.22079,23.99617
52.33683,25.02206
52.460199,21.38118
52.571536,21.50559
52.669692,19.78629
52.766033,22.70548
52.88131,25.33244
52.978858,23.83564
53.067203,17.81039
53.148887,20.41743
53.275148,22.35096
53.382302,28.04041
53.483852,20.89607
53.567321,25.2157
53.65454,24.55064
53.780624,23.76463
53.891305,15.23749
53.982477,11.61163
54.082952,16.95869
54.177335,21.00876
54.29222,25.02582
54.399805,29.11602
54.495086,22.3684
54.589199,25.54009
54.683313,22.04506
54.787471,23.34383
54.882268,29.85907
54.966534,24.46037
