r(cm),T_mean(K),T_rms(K),uz_mean(m/s),ur_mean(m/s),uz_rms(m/z),ur_rms(m/s),uz'T'(K-m/s),ur'T'(K-m/s),uz'ur'(m/s)^2
-20.0,295.972,28.33303725,0.0635854,0.15213349,0.11499652,0.14205136,3.25820073,4.02474637,0.04473022
-19.7496,296.989,34.68775,0.0648951,0.15406378,0.11827679,0.14796744,4.10275586,5.13265765,0.04760685
-19.0955,301.609,60.61476718,0.0704655,0.15855752,0.12906433,0.16545205,7.82320401,10.02883733,0.05604214
-19.0312,302.112,62.90182827,0.0710877,0.15895373,0.13021137,0.16719147,8.19053302,10.5166492,0.05671355
-18.3221,309.673,93.42376571,0.0803562,0.16259089,0.14624363,0.18815963,13.66263084,17.5785811,0.06105145
-17.6223,319.919,124.28837436,0.0933688,0.16461428,0.16310702,0.21291588,20.27230637,26.4629692,0.0561581
-16.9317,333.307,155.71801437,0.112207,0.16513382,0.17871905,0.24083267,27.8297761,37.50198486,0.03710656
-16.25,348.913,186.63842048,0.136864,0.16377606,0.1958336,0.26619818,36.55007431,49.68280819,0.02491766
-15.9913,356.499,199.47004788,0.150131,0.16244806,0.20579431,0.27582998,41.04980182,55.01981994,0.03961078
-15.75,363.5,210.48491632,0.162721,0.16110621,0.21511741,0.28459106,45.27897,59.90212477,0.05029004
-15.25,378.316,229.92824968,0.193626,0.15747442,0.23888805,0.3007981,54.927111,69.16198104,0.07524908
-14.5638,396.09,251.21803279,0.23783,0.15147315,0.26972023,0.31885263,67.75858443,80.10153059,0.10851917
-13.8775,414.463,271.37354329,0.293448,0.1427824,0.30426715,0.33735083,82.57005524,91.54808906,0.14830782
-13.622,421.109,278.17889927,0.318158,0.13886265,0.31987654,0.34440351,88.98290343,95.80579025,0.16527688
-13.1912,432.259,289.25611489,0.360054,0.1322075,0.34469697,0.35625066,99.70570588,103.04768153,0.19089922
-12.505,449.971,305.21418709,0.434858,0.12164755,0.38903727,0.37310767,118.73969511,113.87775444,0.23006162
-11.8188,469.412,320.62439084,0.514346,0.11320865,0.42830246,0.38598707,137.32421636,123.75686993,0.25857647
-11.1325,492.249,339.26685662,0.596893,0.10686704,0.46587123,0.39544899,158.05466672,134.16273421,0.27623979
-10.4462,518.519,360.25824071,0.680798,0.10300418,0.503606,0.40357559,181.42821041,145.39143346,0.2885381
-9.76,546.633,380.28804872,0.763632,0.10213254,0.53844684,0.41005319,204.7648983,155.93832813,0.29460334
-9.07375,573.794,397.84167705,0.839468,0.10501216,0.570647,0.41505735,227.02715997,165.12711038,0.29555703
-8.3875,596.647,411.71592148,0.908916,0.11146502,0.60521401,0.41755924,249.17624453,171.91578781,0.29668589
-7.69596,613.964,420.47829908,0.969541,0.11655526,0.64685006,0.41369774,271.98641295,173.95092201,0.29333067
-7.00248,627.005,424.52090643,1.01504,0.11754369,0.69538982,0.40530046,295.20751617,172.05851715,0.2806957
-6.30725,640.63,427.76862905,1.0594,0.11607236,0.75333193,0.39638847,322.25176784,169.56255392,0.26313614
-5.61044,660.75,434.73210141,1.1151,0.11257931,0.82110962,0.38649114,356.96270846,168.02010474,0.25236343
-4.91222,693.915,441.43742478,1.18716,0.10460914,0.88654442,0.3758558,391.35388357,165.91681504,0.2471871
-4.21277,755.995,441.36832691,1.30191,0.09262048,0.93366214,0.36529109,412.0888986,161.22791697,0.24049545
-3.51225,850.411,431.18789408,1.46074,0.07862609,0.95242795,0.35304283,410.67540204,152.2277945,0.23186026
-2.81086,946.188,407.58925403,1.60701,0.06392814,0.94323698,0.34099582,384.45325696,138.98622995,0.20676223
-2.23482,1007.38,380.01578915,1.69131,0.05351794,0.91834307,0.33495079,348.98486765,127.28659008,0.17160752
-2.10876,1020.72,373.92780052,1.71014,0.05146287,0.91307667,0.33345054,341.42474983,124.68642777,0.162098
-1.95409,1033.17,365.89889314,1.72703,0.0491035,0.90353085,0.33291816,330.60093856,121.81438446,0.1537788
-1.40614,1077.47,336.11010101,1.78734,0.04145861,0.86893153,0.33096175,292.05666358,111.23958724,0.11849093
-0.703157,1114.03,303.89076985,1.84365,0.03183891,0.82523088,0.32810962,250.78004645,99.70948375,0.08862297
-0.0,1125.17,293.31518883,1.86672,0.01991396,0.80009312,0.32445234,234.67946445,95.16679895,0.06453469
0.0493423,1124.18,294.07703072,1.86525,0.0188461,0.80047299,0.32451758,235.40071866,95.43316647,0.06206057
0.703157,1111.23,303.96266218,1.84577,0.00828476,0.80523537,0.32534852,244.76148654,98.89380253,0.02104828
1.40614,1077.19,326.99082556,1.7922,0.01546328,0.83530833,0.33051025,273.13815922,108.07381982,0.10394903
1.95621,1041.97,353.45013793,1.74222,0.0236461,0.862087,0.33562238,304.70476996,118.62577758,0.154982
2.10876,1031.95,360.36231767,1.72776,0.02582029,0.86922839,0.33705853,313.23715846,121.46319272,0.1673006
2.24029,1020.26,368.24312621,1.7116,0.02745964,0.87485084,0.3387428,322.15780992,124.73970844,0.17765109
2.81086,969.423,400.50468162,1.64084,0.03442084,0.89867569,0.34612602,359.92382204,138.62509044,0.2175735
3.51225,887.221,437.06635652,1.51511,0.04559397,0.92475618,0.35891397,404.17981604,156.86922247,0.25558548
4.21277,802.308,454.98351618,1.37345,0.06093501,0.92997688,0.3723728,423.12415149,169.42348454,0.28013989
4.91222,729.582,454.83843285,1.2422,0.07971461,0.90677395,0.38327234,412.43564327,174.32699154,0.2877477
5.61044,676.591,445.30102178,1.13357,0.09764079,0.85795804,0.39056364,382.04959227,173.91838974,0.28426169
6.30725,641.858,432.52629978,1.04972,0.10922008,0.78950491,0.39486995,341.48163658,170.79163978,0.27916468
7.00248,618.776,421.89335145,0.981529,0.1146316,0.7205144,0.3976038,303.98023481,167.74639879,0.27907761
7.69596,599.167,411.52885683,0.921526,0.11482114,0.65846792,0.40221651,270.97854985,165.52370009,0.28579805
8.3875,578.092,399.58228189,0.863477,0.11230583,0.60513552,0.40641648,241.80143274,162.39682388,0.29272183
9.07375,554.099,385.06103412,0.799344,0.1096568,0.56186742,0.40461605,216.35325059,155.80187468,0.29681107
9.76,527.453,367.75535346,0.726461,0.10738534,0.52327526,0.39823991,192.437279,146.45485706,0.29398282
10.4462,501.703,348.72912124,0.65304,0.1070939,0.48881182,0.39078577,170.46291809,136.27837815,0.28260672
11.1325,479.322,329.00455924,0.583673,0.10946521,0.45723517,0.3850972,150.43245533,126.69873308,0.26771135
11.8188,461.375,310.84529914,0.513271,0.1157305,0.42063761,0.38144323,130.7532241,118.56983587,0.24721283
12.505,446.107,294.1805568,0.440098,0.12507695,0.380723,0.37522577,112.00130307,110.38412733,0.21935079
13.1912,431.271,278.75652459,0.369614,0.13484153,0.34296939,0.36588319,95.60495419,101.99232694,0.19100573
13.5839,422.441,270.07721118,0.332153,0.14017679,0.32219404,0.35895771,87.01726803,96.94629816,0.17572441
13.8775,415.764,263.30533606,0.30432,0.14409362,0.30575742,0.35371135,80.50756028,93.13408621,0.16347728
14.5638,397.925,244.09096665,0.244976,0.15260026,0.26807984,0.33566248,65.43586701,81.93217904,0.12686851
15.25,379.346,222.67218057,0.196024,0.15927776,0.23437811,0.31297652,52.18948557,69.69116344,0.07724105
15.75,363.746,202.71038454,0.162172,0.16342388,0.21054738,0.29123227,42.68014074,59.03580506,0.0162837
16.0087,356.171,191.29401454,0.14787,0.1653704,0.19985695,0.2794018,38.23143808,53.44789205,0.0446483
16.25,349.089,179.86689523,0.134701,0.16711856,0.18979067,0.26826133,34.13705931,48.25133214,0.05891219
16.9317,333.81,151.14959477,0.108369,0.16996799,0.16898935,0.2406592,25.54267159,36.37554102,0.07078234
17.6223,320.009,119.77061409,0.0875563,0.16980511,0.15321782,0.21277025,18.35099225,25.4836237,0.07190241
18.3221,308.707,87.10355905,0.0735556,0.16676913,0.14274943,0.1869692,12.43398348,16.28568235,0.06494029
18.9045,301.865,61.8633979,0.066808,0.16262358,0.1351329,0.16846596,8.35978021,10.42187692,0.05625368
19.0312,300.42,55.13809935,0.0654069,0.16168943,0.13341814,0.16426429,7.35642264,9.05722091,0.05418168
19.7496,295.683,29.30740521,0.0613203,0.15539806,0.12253489,0.14503379,3.59117976,4.25056403,0.04455024
20.4775,293.798,12.83541974,0.0592929,0.14880386,0.11097432,0.12883965,1.424402,1.65371102,0.03707058
