AvgTimeSpan,T_r=0_z=3p0D
0.0003700000000037562,360.65391
4.837739999999997,796.7105543771247
9.612889999999993,820.5448029767024
14.401129999999995,834.2343852326511
19.20062999999999,829.6240209747012
23.88181,845.1227132924682
28.53564,867.2132160044666
33.2843,854.9099213945315
38.05672000000001,851.6295196750082
42.87189000000001,850.1518247707828
47.686919999999986,850.1007337548248
52.57632000000001,849.2009068959655
57.26981000000001,853.7074615543074
61.99762999999999,860.5101515902833
66.73374999999999,861.3830604589222
71.54669999999999,859.1464811663177
76.28843,860.294523772578
81.04354,861.4634373909132
85.71269,868.9754379652447
90.43842,868.8308829545479
95.25071,868.2278315610845
100.033264,866.0979885826323
104.777927,867.4490260764449
109.581037,866.6929310192087
114.315764,870.1185843944216
118.991817,870.1688329061366
123.606721,872.7461576052489
128.413275,872.8222738377493
133.127471,870.8278950921782
137.879298,872.5923486120093
142.649402,872.6052725074167
147.46658,872.2195230306901
152.190567,874.4322013833664
156.902041,874.7730477788015
161.59887700000002,874.4826644387972
166.227387,876.6926337215788
170.922086,877.4599788859508
175.632079,878.8313031578751
180.41357,879.877189803633
185.09191,880.7933677530888
189.821314,881.1605862443189
194.574275,883.5744699959514
199.46665383,884.9308076369401
