AvgTimeSpan,T_r=0_z=3p0D
0.0003700000000037562,0.5124685685971364
4.837739999999997,390.27682557323453
9.612889999999993,396.90396051791197
14.401129999999995,403.1937596492063
19.20062999999999,416.0268629950106
23.88181,417.6249832720518
28.53564,418.6076099313506
33.2843,416.25918215389805
38.05672000000001,415.1790678450015
42.87189000000001,414.10810824338097
47.686919999999986,416.7122943670933
52.57632000000001,416.94577364392796
57.26981000000001,417.3558382595134
61.99762999999999,418.16173848788907
66.73374999999999,418.48380831129487
71.54669999999999,420.9837941845752
76.28843,421.3127950713748
81.04354,422.2295524199717
85.71269,423.6343765775942
90.43842,421.63906279186585
95.25071,420.973778798359
100.033264,421.12638541018345
104.777927,421.48005985049275
109.581037,421.6284136489902
114.315764,421.2325837417901
118.991817,421.50354567575596
123.606721,421.4936527787216
128.413275,421.7131909353655
133.127471,421.34824529294804
137.879298,421.4439581788685
142.649402,422.31403040595234
147.46658,423.2168387646706
152.190567,423.50138688594245
156.902041,423.5531733914962
161.59887700000002,423.14588762300974
166.227387,422.97412981556886
170.922086,422.6599674291408
175.632079,423.01352435847696
180.41357,423.41886152996926
185.09191,423.68746918718097
189.821314,423.753453083567
194.574275,424.3956661498942
199.46665383,425.11101484902946
