r (cm),v-bar2 (m/s),v-bar4 (m/s),v-bar6 (m/s),v-bar8 (m/s),v-bar10 (m/s),v-bar12 (m/s),v-bar14 (m/s),v-bar16 (m/s),v-bar18 (m/s),v-bar20 (m/s),v-bar30 (m/s),u-bar2 (m/s),u-bar4 (m/s),u-bar6 (m/s),u-bar8 (m/s),u-bar10 (m/s),u-bar12 (m/s),u-bar14 (m/s),u-bar16 (m/s),u-bar18 (m/s),u-bar20 (m/s),u-bar30 (m/s),T-bar2 (K),T-bar4 (K),T-bar6 (K),T-bar8 (K),T-bar10 (K),T-bar12 (K),T-bar14 (K),T-bar16 (K),T-bar18 (K),T-bar20 (K),T-bar30 (K),v-rms2 (m/s),v-rms4 (m/s),v-rms6 (m/s),v-rms8 (m/s),v-rms10 (m/s),v-rms12 (m/s),v-rms14 (m/s),v-rms16 (m/s),v-rms18 (m/s),v-rms20 (m/s),v-rms30 (m/s),u-rms2 (m/s),u-rms4 (m/s),u-rms6 (m/s),u-rms8 (m/s),u-rms10 (m/s),u-rms12 (m/s),u-rms14 (m/s),u-rms16 (m/s),u-rms18 (m/s),u-rms20 (m/s),u-rms30 (m/s),T-rms2 (K),T-rms4 (K),T-rms6 (K),T-rms8 (K),T-rms10 (K),T-rms12 (K),T-rms14 (K),T-rms16 (K),T-rms18 (K),T-rms20 (K),T-rms30 (K),u'v'2 (m/s)^2,u'v'4 (m/s)^2,u'v'6 (m/s)^2,u'v'8 (m/s)^2,u'v'10 (m/s)^2,u'v'12 (m/s)^2,u'v'14 (m/s)^2,u'v'16 (m/s)^2,u'v'18 (m/s)^2,u'v'20 (m/s)^2,u'v'30 (m/s)^2
-15.10204082,0.123159056,0.391316977,0.304708269,0.228407919,0.179863395,0.149471394,0.130185636,0.119489537,0.117160293,0.114202607,0.106516362,0.176777994,0.388212752,0.325357473,0.266695929,0.226177356,0.202237435,0.196689062,0.199745761,0.205863775,0.219656929,0.335886621,750.2480748,396.6915012,329.9556309,316.7558938,314.4614473,315.5266848,318.6059161,322.1203583,325.7388453,332.1000651,361.6092442,0.264938278,0.191751075,0.155823253,0.150425172,0.150696353,0.150961788,0.159328873,0.170778733,0.184962519,0.206410129,0.289955104,0.182294235,0.304382337,0.320731265,0.299791587,0.279054546,0.264333535,0.25912481,0.261875679,0.273677433,0.288303174,0.40249354,336.7261906,221.8347379,120.6797818,90.05981313,79.41150469,78.98256216,84.90369133,92.06467248,99.5850009,110.057303,147.4331641,0.005954535,-0.007649197,-0.002137429,-0.001481533,-0.001770136,-0.003507865,-0.005850544,-0.007240776,-0.010076427,-0.012954574,-0.033377892
-14.28571429,0.171146649,0.421742073,0.344795951,0.262445547,0.203277185,0.164378651,0.137942534,0.123908962,0.118218686,0.111964729,0.100957874,0.059564749,0.319001238,0.336942728,0.308091672,0.279791211,0.263864715,0.257393402,0.26000972,0.270377553,0.292139728,0.426198671,1051.781638,546.0468165,386.3723853,346.0185294,335.2130661,333.8683528,334.6107438,337.8497979,341.8942402,349.195871,378.9728995,0.227500973,0.201986,0.172122223,0.161664011,0.162898482,0.168588746,0.177681334,0.189463295,0.205251286,0.227198085,0.314277617,0.144381885,0.275269778,0.324465256,0.31866653,0.309114116,0.301628158,0.297374232,0.30192927,0.315634205,0.332980851,0.450556488,375.5286889,353.6331182,209.4868114,145.6972381,121.6741102,117.2346226,116.1686034,119.3895577,125.2267301,135.7131951,166.8429559,-0.010863939,-0.012207879,-0.004421891,-0.002636758,-0.002965028,-0.005139348,-0.008109755,-0.0111304,-0.015476659,-0.019537933,-0.043974445
-13.46938776,0.189992945,0.433251031,0.373873235,0.290329002,0.225096961,0.178793048,0.145614742,0.128241409,0.117660707,0.108018522,0.09272771,0.038440965,0.273863882,0.350711611,0.354214059,0.341828037,0.335576585,0.336904572,0.344540317,0.357762231,0.382825118,0.533103548,1145.453456,701.9473527,471.4342897,395.7804654,368.602732,362.4753048,360.3764203,361.7350855,364.8377126,370.7147204,399.481709,0.243324299,0.210125026,0.187087145,0.176546149,0.176591369,0.18642901,0.197764295,0.210766686,0.229087742,0.249895798,0.341008939,0.158219469,0.278546689,0.343532744,0.354356465,0.348831585,0.347753103,0.35254641,0.359217585,0.37108451,0.390827997,0.499204236,377.6998152,435.2408605,305.2637815,218.272901,179.5862044,166.5934154,159.1245559,156.393265,158.7039373,163.5516973,186.8709553,-0.016797648,-0.016955105,-0.009531027,-0.005383125,-0.006337736,-0.009174252,-0.013191922,-0.018173015,-0.025089079,-0.029988588,-0.055792213
-12.65306122,0.215008389,0.4349211,0.393011082,0.312638769,0.245106546,0.191917805,0.15489058,0.131937972,0.117149269,0.10612622,0.083302318,0.04162807,0.251747417,0.371731464,0.410172033,0.426955636,0.432627597,0.440324203,0.449820425,0.466292993,0.490584,0.659767362,1160.323171,824.4105397,570.0102421,467.2796802,423.2372845,405.7803136,398.1256372,395.3606833,394.9751412,398.9452524,423.7697874,0.257871757,0.21894718,0.196348636,0.189818083,0.193360746,0.206766362,0.219305668,0.233194431,0.252359482,0.27267896,0.36875851,0.180934119,0.293193316,0.371948663,0.401531329,0.411001462,0.415409916,0.422158429,0.429636646,0.440636961,0.458147487,0.553665969,376.3284867,473.1972893,381.9929952,300.6792562,249.7844509,225.4791177,209.7182926,201.4741355,196.3103741,195.7925223,207.606137,-0.021566611,-0.020201806,-0.014587931,-0.011398529,-0.013117224,-0.018173797,-0.022771767,-0.0281179,-0.035785741,-0.042821932,-0.073061386
-11.83673469,0.235957831,0.434052644,0.406749572,0.333268959,0.260013736,0.206280334,0.163647004,0.135711782,0.1192517,0.10381505,0.072625979,0.050747409,0.25234789,0.403954499,0.478544473,0.517176744,0.544965851,0.561524919,0.578577635,0.597891288,0.622666459,0.80506174,1162.652196,913.428038,672.0692803,549.2162311,490.5972529,462.5432095,448.1866347,439.9625049,435.6822323,437.8410377,453.7264333,0.270547272,0.228097834,0.207295744,0.204527212,0.210255515,0.225406071,0.241817617,0.257143603,0.276637927,0.297259656,0.392903022,0.202598855,0.311109655,0.399504556,0.445988488,0.470104281,0.483426108,0.495297029,0.504087802,0.516247497,0.529377453,0.616276953,378.7889872,485.749263,440.1180433,369.6971154,317.2735317,287.6757146,265.0126905,249.8615034,240.2327332,236.9804272,232.1682216,-0.024825965,-0.022838735,-0.017321025,-0.018530676,-0.020942938,-0.028292102,-0.033461022,-0.039423215,-0.048657865,-0.055815872,-0.09320059
-11.02040816,0.250897902,0.428743909,0.415531883,0.346085558,0.274867781,0.217903621,0.173820988,0.140641186,0.119828881,0.100969892,0.059797454,0.063396129,0.263825407,0.446327164,0.552518848,0.613081761,0.657652931,0.689472954,0.71554582,0.74299899,0.777635109,0.980802857,1158.933959,984.2205026,768.3687314,640.0087716,567.9498226,528.6132947,506.3048346,493.7640432,487.0189655,484.5288847,489.7058889,0.281446888,0.239696724,0.221150783,0.221248418,0.226375235,0.24168582,0.258959966,0.27640441,0.29965406,0.323889467,0.417130096,0.220353528,0.328410064,0.42445336,0.484819589,0.522426353,0.5446568,0.558918966,0.571543134,0.583767444,0.60104903,0.686891443,379.9017875,486.7744807,474.4493736,422.2016417,374.4259963,340.2268271,314.0071148,295.6445722,287.3796639,281.2091231,259.855077,-0.026729153,-0.02491151,-0.019666869,-0.021740025,-0.027657783,-0.036808241,-0.042150992,-0.049693615,-0.061239218,-0.072178504,-0.118491183
-10.20408163,0.260376889,0.417701204,0.414870262,0.357032833,0.2892857,0.230582622,0.184423166,0.147998177,0.118951709,0.098564662,0.046663902,0.079528598,0.283713355,0.491651909,0.632010531,0.718307108,0.778564327,0.829504802,0.873122132,0.909279173,0.948775877,1.175800634,1152.090186,1043.888179,856.4202877,732.594484,652.4483442,604.4451967,575.2113413,557.869906,545.8595664,538.653437,529.4508956,0.290445352,0.254848305,0.236189315,0.235395573,0.241530125,0.257394775,0.275058027,0.296492085,0.319105726,0.345163396,0.440595973,0.234315885,0.34269542,0.443816859,0.516052337,0.56436803,0.596904146,0.616586735,0.634221141,0.651291764,0.672174822,0.766902285,380.0449092,479.6158069,491.2500528,459.3003469,417.2767714,384.5468271,359.1812402,341.8442432,329.9049996,320.6135348,288.0771091,-0.027575442,-0.027255951,-0.022032907,-0.023342953,-0.032319469,-0.042477673,-0.051838167,-0.06157143,-0.073797912,-0.089928362,-0.145642116
-9.387755102,0.265678784,0.401381662,0.406872386,0.360440411,0.298070904,0.240270692,0.191036332,0.152984109,0.121981193,0.097133787,0.036938009,0.099741592,0.309641203,0.536791024,0.708616984,0.826386095,0.914099809,0.982315433,1.043102113,1.096501773,1.142110592,1.370721878,1150.680878,1091.607629,935.6678585,820.6129642,740.9026906,689.8616776,655.7300566,632.1564888,614.9000823,602.3583167,572.5783488,0.298733144,0.2710077,0.251268464,0.250335717,0.258423993,0.275901231,0.296918645,0.318400433,0.341854796,0.363868931,0.461211421,0.244992474,0.353802415,0.454349181,0.53943927,0.600870499,0.643549602,0.675475527,0.698546642,0.719805828,0.746687905,0.836855779,379.7172017,466.5565832,492.3280874,483.2812235,452.8929017,425.5968285,401.7303775,384.6544837,371.1191521,358.6928854,316.1977532,-0.027146207,-0.030462994,-0.025467654,-0.027475554,-0.03788063,-0.050326756,-0.062611991,-0.075738658,-0.089426984,-0.105443769,-0.17091735
-8.571428571,0.265780639,0.38273334,0.393859995,0.353845815,0.298350143,0.24376845,0.197317982,0.158775844,0.124941658,0.097970905,0.029689832,0.120264241,0.340502548,0.581759838,0.779418773,0.923763815,1.040071183,1.135508233,1.215995204,1.288416106,1.346487364,1.565928893,1149.086385,1132.21952,1008.471195,902.0540852,822.6837396,772.3904068,738.1260132,712.4606109,690.6467351,672.2637105,617.8194473,0.306056761,0.286667261,0.267689632,0.26879179,0.277539442,0.29359057,0.3155261,0.337557095,0.362109351,0.382835875,0.47737499,0.251180571,0.359454214,0.458218621,0.548736121,0.62362409,0.67824656,0.718896688,0.751750713,0.780971581,0.807740752,0.895307419,375.8719973,449.7862387,483.9002007,487.2949819,472.279361,452.6508354,433.17135,417.4528472,403.5231362,390.8114338,340.256748,-0.02519802,-0.032735372,-0.028928847,-0.031509549,-0.04357527,-0.057546896,-0.071391905,-0.088392348,-0.104247159,-0.12182351,-0.185594382
-7.755102041,0.262975764,0.36199586,0.377904568,0.348614367,0.294165646,0.241778293,0.196098207,0.156164101,0.122008624,0.095349564,0.024749786,0.136564204,0.371606123,0.628503091,0.851848576,1.0143396,1.151107381,1.270452843,1.372049847,1.460045236,1.532394174,1.759750641,1142.558636,1159.012051,1073.315075,980.4312315,899.0641639,847.6380571,813.06596,787.9810109,764.4529316,744.1635379,665.9530572,0.310802744,0.296831544,0.280366686,0.283116314,0.291325839,0.305797334,0.328771771,0.353306614,0.377787788,0.399118264,0.48854027,0.255448199,0.360787508,0.457680137,0.548190138,0.633782009,0.698648268,0.747049162,0.787889878,0.821777422,0.851647757,0.940044575,369.4251857,430.1798796,471.3566498,480.457879,475.6882146,465.0568724,452.2025771,439.3180914,425.971891,414.25468,360.2370817,-0.021759824,-0.033300324,-0.030995721,-0.03562766,-0.042704524,-0.057943039,-0.076385605,-0.09673888,-0.115850241,-0.13227516,-0.194591323
