Temperature (K),10_cm,5_cm,0_cm
2.65E+02,0.00E+00,0.00E+00,0.00E+00
2.75E+02,0.00E+00,0.00E+00,0.00E+00
2.86E+02,0.00E+00,0.00E+00,0.00E+00
2.96E+02,9.75E-02,5.34E-02,0.00E+00
3.06E+02,0.00E+00,1.07E-02,0.00E+00
3.16E+02,0.00E+00,3.46E-03,0.00E+00
3.27E+02,0.00E+00,2.16E-03,0.00E+00
3.37E+02,0.00E+00,1.58E-03,0.00E+00
3.47E+02,0.00E+00,1.24E-03,0.00E+00
3.57E+02,0.00E+00,1.17E-03,0.00E+00
3.68E+02,0.00E+00,8.45E-04,0.00E+00
3.78E+02,0.00E+00,8.78E-04,0.00E+00
3.88E+02,0.00E+00,7.72E-04,0.00E+00
3.98E+02,0.00E+00,5.54E-04,0.00E+00
4.09E+02,0.00E+00,5.20E-04,0.00E+00
4.19E+02,0.00E+00,6.43E-04,0.00E+00
4.29E+02,0.00E+00,4.70E-04,0.00E+00
4.39E+02,0.00E+00,3.80E-04,0.00E+00
4.50E+02,0.00E+00,4.42E-04,0.00E+00
4.60E+02,0.00E+00,4.53E-04,0.00E+00
4.70E+02,0.00E+00,3.36E-04,0.00E+00
4.80E+02,0.00E+00,3.02E-04,0.00E+00
4.91E+02,0.00E+00,4.08E-04,0.00E+00
5.01E+02,0.00E+00,2.69E-04,0.00E+00
5.11E+02,0.00E+00,3.13E-04,1.68E-05
5.21E+02,0.00E+00,3.13E-04,1.17E-04
5.32E+02,0.00E+00,2.52E-04,1.90E-04
5.42E+02,0.00E+00,2.96E-04,4.25E-04
5.52E+02,0.00E+00,2.41E-04,8.00E-04
5.62E+02,0.00E+00,2.35E-04,9.29E-04
5.73E+02,0.00E+00,2.80E-04,1.13E-03
5.83E+02,0.00E+00,2.63E-04,1.50E-03
5.93E+02,0.00E+00,2.80E-04,1.73E-03
6.03E+02,0.00E+00,1.90E-04,1.99E-03
6.14E+02,0.00E+00,2.18E-04,2.74E-03
6.24E+02,0.00E+00,3.02E-04,2.72E-03
6.34E+02,0.00E+00,2.18E-04,2.67E-03
6.44E+02,0.00E+00,1.96E-04,3.02E-03
6.55E+02,0.00E+00,1.96E-04,3.10E-03
6.65E+02,0.00E+00,2.52E-04,3.18E-03
6.75E+02,0.00E+00,2.46E-04,3.19E-03
6.85E+02,0.00E+00,1.96E-04,3.02E-03
6.96E+02,0.00E+00,2.29E-04,2.82E-03
7.06E+02,0.00E+00,2.41E-04,2.66E-03
7.16E+02,0.00E+00,2.35E-04,2.71E-03
7.26E+02,0.00E+00,2.01E-04,2.42E-03
7.37E+02,0.00E+00,2.01E-04,2.22E-03
7.47E+02,0.00E+00,1.73E-04,2.19E-03
7.57E+02,0.00E+00,1.68E-04,2.23E-03
7.67E+02,0.00E+00,1.96E-04,2.32E-03
7.78E+02,0.00E+00,1.45E-04,2.04E-03
7.88E+02,0.00E+00,1.85E-04,2.11E-03
7.98E+02,0.00E+00,1.73E-04,1.83E-03
8.08E+02,0.00E+00,1.29E-04,1.66E-03
8.19E+02,0.00E+00,2.63E-04,1.78E-03
8.29E+02,0.00E+00,1.45E-04,1.52E-03
