Temperature (K),10_cm,5_cm,0_cm
2.65E+02,0.00E+00,0.00E+00,0.00E+00
2.75E+02,0.00E+00,0.00E+00,0.00E+00
2.86E+02,0.00E+00,0.00E+00,0.00E+00
2.96E+02,1.88E-02,2.95E-03,6.83E-04
3.06E+02,2.07E-02,6.34E-03,2.83E-03
3.16E+02,5.23E-03,3.90E-03,2.40E-03
3.27E+02,5.05E-03,3.90E-03,2.26E-03
3.37E+02,3.28E-03,3.67E-03,1.72E-03
3.47E+02,3.28E-03,2.83E-03,1.54E-03
3.57E+02,2.40E-03,2.67E-03,1.62E-03
3.68E+02,2.48E-03,3.39E-03,2.07E-03
3.78E+02,2.18E-03,3.20E-03,2.24E-03
3.88E+02,2.20E-03,2.48E-03,1.99E-03
3.98E+02,2.03E-03,2.57E-03,1.52E-03
4.09E+02,2.01E-03,2.32E-03,1.29E-03
4.19E+02,1.60E-03,2.07E-03,1.44E-03
4.29E+02,1.13E-03,2.22E-03,1.27E-03
4.39E+02,1.56E-03,1.72E-03,1.27E-03
4.50E+02,1.33E-03,1.46E-03,1.40E-03
4.60E+02,1.23E-03,1.64E-03,1.70E-03
4.70E+02,1.01E-03,1.31E-03,1.62E-03
4.80E+02,1.27E-03,1.42E-03,1.70E-03
4.91E+02,1.15E-03,1.40E-03,1.52E-03
5.01E+02,7.41E-04,1.29E-03,1.46E-03
5.11E+02,7.41E-04,1.23E-03,1.23E-03
5.21E+02,8.19E-04,1.56E-03,1.15E-03
5.32E+02,5.66E-04,9.75E-04,1.11E-03
5.42E+02,6.24E-04,9.17E-04,1.09E-03
5.52E+02,4.29E-04,1.25E-03,1.11E-03
5.62E+02,4.68E-04,1.17E-03,8.97E-04
5.73E+02,3.51E-04,1.13E-03,1.13E-03
5.83E+02,6.05E-04,8.00E-04,8.97E-04
5.93E+02,4.88E-04,8.97E-04,7.22E-04
6.03E+02,5.66E-04,7.80E-04,8.78E-04
6.14E+02,6.44E-04,6.63E-04,8.97E-04
6.24E+02,3.71E-04,8.97E-04,7.61E-04
6.34E+02,3.90E-04,7.22E-04,7.80E-04
6.44E+02,3.51E-04,5.66E-04,6.24E-04
6.55E+02,3.32E-04,5.27E-04,8.39E-04
6.65E+02,3.90E-04,7.61E-04,6.83E-04
6.75E+02,2.73E-04,5.27E-04,5.66E-04
6.85E+02,3.71E-04,5.27E-04,8.78E-04
6.96E+02,1.76E-04,6.44E-04,6.24E-04
7.06E+02,2.54E-04,4.88E-04,8.00E-04
7.16E+02,1.37E-04,6.05E-04,5.27E-04
7.26E+02,2.54E-04,5.46E-04,2.93E-04
7.37E+02,2.15E-04,3.90E-04,6.05E-04
7.47E+02,3.12E-04,4.29E-04,8.39E-04
7.57E+02,3.12E-04,5.27E-04,6.05E-04
7.67E+02,2.73E-04,2.34E-04,5.46E-04
7.78E+02,3.32E-04,5.27E-04,6.24E-04
7.88E+02,1.37E-04,4.68E-04,5.46E-04
7.98E+02,1.76E-04,4.49E-04,4.68E-04
8.08E+02,2.15E-04,3.90E-04,4.88E-04
8.19E+02,2.15E-04,3.90E-04,7.41E-04
8.29E+02,2.54E-04,2.54E-04,6.44E-04
