z (cm),r (cm),u'/ubaro (ctr),u'/ubarl (local),v'/vbaro (ctr),v'/vbarl (local),T'/Tbaro (ctr),T'/Tbarl (local)
12,-4,0.491904,0.577157,6.63211,3.7611,0.271571,0.303685
12,-2,0.523115,0.534006,6.00794,14.5981,0.249962,0.256044
12,0,0.519036,0.519036,6.2715,6.2715,0.239847,0.239847
12,2,0.518294,0.526759,6.20975,6.64268,0.238391,0.235503
12,4,0.507417,0.557366,4.41442,3.38663,0.258697,0.298233
12,6,0.483375,0.546541,4.82907,9.87596,0.267816,0.337355
12,8,0.367923,0.598171,5.5547,5.45248,0.306667,0.470326
12,10,0.313721,0.629074,5.67159,3.85243,0.305287,0.511819
12,12,0.266934,0.796129,5.09925,2.90452,0.296552,0.571555
12,14,0.222806,1.04797,4.74967,2.49826,0.256552,0.608949
12,16,0.163412,1.90079,4.85995,2.23252,0.13954,0.484309
