z (cm),r (cm),u'v' (m/s)^2,u'T' (m/s)K,v'T' (m/s)K
8,-4,0.019884,108.66,22.1258
8,-2,0.00863687,78.1971,0
8,0,0.00726859,37.0903,0.240197
8,2,0.00321894,48.973,2.61253
8,4,0.00019994,82.3762,15.1076
8,6,0.00268067,123.364,16.2198
8,8,0.0286828,113.074,35.0906
8,10,0.0327705,111.719,38.6656
8,12,0.0271987,73.0147,39.4736
8,14,0.0104756,20.4276,24.1596
8,16,0.000617918,0.339609,3.1637
