z (cm),r (cm),u'/ubaro (ctr),u'/ubarl (local),v'/vbaro (ctr),v'/vbarl (local),T'/Tbaro (ctr),T'/Tbarl (local)
10,-4,0.501436,0.731637,9.63127,1.51616,0.297324,0.366541
10,-2,0.537141,0.618834,12.4037,2.46865,0.265291,0.278045
10,0,0.511149,0.511149,13.5076,13.5076,0.245336,0.245336
10,2,0.53119,0.562346,12.3827,57.7304,0.254664,0.256428
10,4,0.506908,0.584464,13.8716,175.443,0.273012,0.29151
10,6,0.455814,0.606922,13.4189,13.8088,0.290367,0.365192
10,8,0.395349,0.638745,10.8681,3.18319,0.30841,0.441598
10,10,0.310055,0.696313,10.7281,3.12508,0.30581,0.524453
10,12,0.254788,0.894143,10.4411,2.64734,0.291208,0.58546
10,14,0.190834,1.47775,9.5706,2.28341,0.226223,0.615945
10,16,0.139261,2.42988,6.52275,1.29278,0.100688,0.378122
