z (cm),r (cm),u'v' (m/s)^2,u'T' (m/s)K,v'T' (m/s)K
30,-4,0.174180044,177.6379108,52.59277959
30,-2,0.149294393,226.7833853,32.07348456
30,0,0.01168223,200.8648176,15.77633694
30,2,0.112061464,182.093262,36.98945544
30,4,0.124394101,153.4726874,41.28283026
30,6,0.147445361,137.1124712,47.91671438
30,8,0.109253273,97.84836056,43.09955208
30,10,0.070059308,64.44536175,31.76556264
30,12,0.077979796,72.3731344,49.9954551
30,14,0.041056372,46.53419904,32.12788608
30,16,0.033159449,27.7039431,24.67199376
