"Estimated length scales based on U-velocity (upward),  V-velocity (radial) and Temperature",,,,,,,,,,,,,
,,U-velocity,,,,V-velocity,,,,Temperature,,,
z,r,integral time,integral length,Taylor time,Taylor length,integral time,integral length,Taylor time,Taylor length,integral time,integral length,Taylor time,Taylor length
,,sec,cm,sec,cm,sec,cm,sec,cm,sec,cm,sec,cm
2,-4,0.1028,2.031,0.02658,0.5254,0.09341,1.846,0.01959,0.3873,0.03835,0.7581,0.02752,0.544
2,-2,0.1258,2.784,0.0298,0.6592,0.1627,3.6,0.02368,0.524,0.03926,0.8684,0.02947,0.652
2,0,0.1893,4.184,0.03261,0.7207,0.2063,4.557,0.02704,0.5976,0.03861,0.8531,0.03026,0.6685
2,2,0.15,4.065,0.02864,0.7765,0.1749,4.741,0.0257,0.6967,0.03723,1.009,0.02996,0.8122
2,4,0.1291,3.308,0.02816,0.7213,0.1099,2.815,0.02196,0.5626,0.04015,1.029,0.02818,0.7219
2,6,0.1009,1.667,0.02757,0.4553,0.09071,1.498,0.01911,0.3157,0.04875,0.8052,0.02852,0.4711
2,8,0.0963,0.9167,0.02449,0.2331,0.07041,0.6703,0.01632,0.1554,0.0487,0.4636,0.02882,0.2743
2,10,0.08369,0.2623,0.0211,0.06613,0.04905,0.1538,0.01448,0.04538,0.05268,0.1651,0.03317,0.104
2,12,0.1101,-0.07609,0.02631,-0.01819,0.1184,-0.08184,0.02293,-0.01586,0.05546,-0.03834,0.04261,-0.02946
2,14,0.1245,0.9713,0.02862,0.2233,0.1349,1.052,0.03247,0.2533,0.06631,0.5173,0.05119,0.3994
2,16,0.1128,2.868,0.02482,0.6312,0.05785,1.471,0.02471,0.6282,0.002739,0.06965,0.007241,0.1841
4,-4,0.08942,4.846,0.02339,1.268,0.0795,4.309,0.02006,1.087,0.04534,2.458,0.02714,1.471
4,-2,0.105,5.749,0.02698,1.477,0.1587,8.687,0.02873,1.573,0.03648,1.997,0.02907,1.591
4,0,0.1612,9.093,0.0313,1.765,0.2175,12.26,0.03599,2.03,0.03896,2.197,0.03026,1.707
4,2,0.1347,7.171,0.03139,1.672,0.09136,4.866,0.02041,1.087,0.03876,2.064,0.02881,1.534
4,4,0.1081,5.519,0.0269,1.373,0.0784,4.001,0.01754,0.895,0.06109,3.118,0.02772,1.415
4,6,0.06487,2.698,0.0247,1.028,0.04174,1.736,0.01425,0.5927,0.07674,3.193,0.02896,1.205
4,8,0.05816,1.74,0.02396,0.7167,0.04045,1.21,0.01452,0.4344,0.05096,1.525,0.03113,0.9314
4,10,0.0523,1.647,0.02128,0.6702,0.03648,1.149,0.01343,0.4231,0.05234,1.649,0.03579,1.127
4,12,0.07015,1.732,0.02213,0.5465,0.04411,1.089,0.01651,0.4077,0.05583,1.379,0.0441,1.089
4,14,0.119,1.915,0.02992,0.4818,0.06404,1.031,0.0295,0.475,0.06739,1.085,0.05139,0.8275
4,16,0.07608,1.119,0.0302,0.4442,0.06605,0.9714,0.02899,0.4264,0.03925,0.5773,0.01021,0.1502
6,-4,0.054,4.4,0.0242,1.97,0.0618,5.04,0.019,1.55,0.0616,5.02,0.0284,2.31
6,-2,0.0507,4.99,0.0241,2.37,0.0704,6.93,0.0216,2.13,0.0384,3.77,0.0256,2.52
6,0,0.051,5.12,0.0246,2.47,0.0984,9.88,0.0232,2.33,0.0343,3.45,0.0256,2.58
6,2,0.0484,4.76,0.0238,2.34,0.068,6.69,0.021,2.06,0.0376,3.7,0.0255,2.51
6,4,0.0447,4.24,0.0231,2.19,0.0549,5.2,0.019,1.8,0.0521,4.94,0.0264,2.5
6,6,0.0464,4.06,0.0229,2.01,0.0722,6.32,0.0174,1.53,0.0846,7.41,0.0284,2.49
6,8,0.0493,3.62,0.0227,1.66,0.0435,3.19,0.0198,1.46,0.0563,4.13,0.032,2.35
6,10,0.0523,3.53,0.023,1.55,0.0428,2.88,0.0202,1.36,0.0563,3.79,0.036,2.43
6,12,0.0543,2.6,0.0242,1.16,0.0447,2.14,0.0217,1.04,0.0574,2.74,0.0402,1.92
6,14,0.101,2.73,0.0252,0.684,0.0451,1.22,0.0216,0.584,0.064,1.73,0.0411,1.11
6,16,0.0637,0.875,0.0233,0.32,0.0536,0.736,0.0248,0.341,0.0786,1.08,0.0188,0.258
8,-4,0.05841,5.6,0.02485,2.383,0.03263,3.128,0.01193,1.144,0.06359,6.097,0.02767,2.653
8,-2,0.05277,5.95,0.0251,2.83,0.03709,4.181,0.01463,1.649,0.0562,6.336,0.0262,2.954
8,0,0.05936,7.341,0.02546,3.148,0.05837,7.219,0.0173,2.139,0.03747,4.634,0.02545,3.147
8,2,0.06165,7.645,0.02594,3.216,0.0406,5.034,0.0129,1.599,0.04274,5.3,0.02566,3.181
8,4,0.06015,6.473,0.02426,2.611,0.03478,3.742,0.01238,1.333,0.05777,6.217,0.02693,2.899
8,6,0.05201,4.694,0.02199,1.985,0.02474,2.233,0.01057,0.9543,0.1095,9.885,0.03099,2.797
8,8,0.0555,4.273,0.02268,1.746,0.02756,2.122,0.01342,1.033,0.055,4.235,0.03371,2.596
8,10,0.05699,3.371,0.02425,1.434,0.0347,2.052,0.01831,1.083,0.05475,3.238,0.03601,2.129
8,12,0.1009,3.532,0.02705,0.9471,0.04781,1.674,0.02495,0.8734,0.06208,2.173,0.04179,1.463
8,14,0.1138,1.992,0.02933,0.5133,0.0574,1.004,0.02856,0.4998,0.06886,1.205,0.04306,0.7535
8,16,0.1482,1.686,0.03306,0.3761,0.07669,0.8725,0.03397,0.3865,0.07183,0.8172,0.02638,0.3001
10,-4,0.04768,4.778,0.0222,2.225,0.02846,2.852,0.01465,1.468,0.05748,5.76,0.02925,2.93
10,-2,0.05644,7.16,0.02481,3.147,0.03212,4.075,0.01417,1.798,0.06321,8.018,0.02571,3.262
10,0,0.04823,7.049,0.0236,3.45,0.0297,4.341,0.01227,1.793,0.04798,7.012,0.02445,3.574
10,2,0.04734,6.537,0.02316,3.198,0.03357,4.636,0.01205,1.664,0.06253,8.635,0.0251,3.466
10,4,0.04422,5.608,0.02153,2.731,0.03081,3.908,0.0115,1.459,0.0564,7.153,0.02639,3.347
10,6,0.04235,4.652,0.01967,2.16,0.0152,1.67,0.01018,1.118,0.05772,6.339,0.02925,3.213
10,8,0.04768,4.315,0.02026,1.834,0.02099,1.899,0.01206,1.092,0.05417,4.902,0.0326,2.95
10,10,0.06246,4.066,0.02426,1.579,0.02857,1.86,0.01452,0.9454,0.05344,3.479,0.03649,2.376
10,12,0.09597,3.998,0.02824,1.176,0.03916,1.631,0.01718,0.7156,0.06135,2.556,0.04176,1.74
