z (cm),r (cm),u'v' (m/s)^2,u'T' (m/s)K,v'T' (m/s)K
14,-4,0.246188184,72.10920528,45.89394768
14,-2,0.060587653,116.7059754,18.98376636
14,0,0.031805262,104.8096666,6.662659814
14,2,0.016694063,150.634165,19.20105835
14,4,0.063390942,179.1880741,37.56142438
14,6,0.071885969,139.4631872,54.81155734
14,8,0.069237902,117.3592435,60.79117184
14,10,0.052006757,81.56069442,63.16297403
14,12,0.050121183,76.63940291,85.47152892
14,14,0.028474227,42.64871595,52.88871127
14,16,0.011465096,18.3530382,34.34766314
