z (cm),r (cm),u'v' (m/s)^2,u'T' (m/s)K,v'T' (m/s)K
16,-4,0.145308845,209.7071978,56.65852752
16,-2,0.081620359,185.9230127,29.46387873
16,0,0.019279959,169.5698632,7.073007206
16,2,0.060602816,190.5994291,22.06054911
16,4,0.101925673,212.492775,39.7057392
16,6,0.110023668,186.8206243,51.76403046
16,8,0.086318832,157.0115244,55.49940878
16,10,0.061114516,91.72581413,57.8312253
16,12,0.042560968,57.78780032,46.62785136
16,14,0.027372662,35.00268297,31.71136111
16,16,0.008589624,13.49383266,15.27465605
