z (cm),r (cm),u'/ubaro (ctr),u'/ubarl (local),v'/vbaro (ctr),v'/vbarl (local),T'/Tbaro (ctr),T'/Tbarl (local)
20,-4,0.388879,0.481128,20.4108,4.49414,0.280113,0.329686
20,-2,0.443971,0.469793,20.4336,10.6503,0.251091,0.260352
20,0,0.455901,0.455901,19.1708,19.1708,0.238561,0.238561
20,2,0.426928,0.45237,18.9426,20.5361,0.245513,0.264547
20,4,0.393651,0.448931,19.0491,22.1006,0.26055,0.304631
20,6,0.345888,0.464151,18.8323,12.0316,0.274939,0.375303
20,8,0.295611,0.438559,18.817,180.811,0.273727,0.399292
20,10,0.275117,0.488796,18.5127,29.3193,0.268957,0.437763
20,12,0.242948,0.524563,17.4021,21.6619,0.250768,0.461127
20,14,0.209672,0.661781,16.5576,27.4291,0.215926,0.48005
20,16,0.176907,0.730086,14.7014,140.189,0.171625,0.44498
