z (cm),r (cm),u'/ubaro (ctr),u'/ubarl (local),v'/vbaro (ctr),v'/vbarl (local),T'/Tbaro (ctr),T'/Tbarl (local)
18,-4,0.414993,0.539835,11.3544,4.30471,0.285255,0.352764
18,-2,0.46388,0.5067,11.2567,6.59126,0.254431,0.270559
18,0,0.462517,0.462517,10.5995,10.5995,0.22549,0.22549
18,2,0.44348,0.46681,10.5573,7.98891,0.240863,0.260918
18,4,0.398728,0.487014,10.4818,4.76195,0.257647,0.321743
18,6,0.350204,0.490643,10.4174,5.89373,0.276,0.387086
18,8,0.304543,0.528628,10.1088,5.07242,0.27702,0.446523
18,10,0.266015,0.589627,10.2753,7.40598,0.265412,0.485092
18,12,0.237438,0.699037,9.95782,9.0187,0.236314,0.494989
18,14,0.169287,0.92802,8.58126,3.02662,0.178588,0.491474
18,16,0.113176,1.00646,6.58748,2.0983,0.111686,0.38085
