z (cm),r (cm),u'/ubaro (ctr),u'/ubarl (local),v'/vbaro (ctr),v'/vbarl (local),T'/Tbaro (ctr),T'/Tbarl (local)
30,-4,0.42778,0.445826,9.31394,17.7063,0.259256,0.358685
30,-2,0.445115,0.447273,3.68068,54.5415,0.328527,0.325972
30,0,0.42501,0.42501,3.54116,9.04698,0.312121,0.312121
30,2,0.412947,0.439077,3.70987,29.8077,0.319436,0.339667
30,4,0.379735,0.445262,3.5143,50.2085,0.316928,0.373017
30,6,0.349055,0.484431,3.35201,32.1141,0.305747,0.42369
30,8,0.300925,0.490433,3.20257,21.4548,0.290491,0.444302
30,10,0.264938,0.605607,3.27379,12.4705,0.253918,0.451086
30,12,0.239244,0.710278,2.95855,4.48496,0.244096,0.45053
30,14,0.195336,0.924277,2.74548,3.13952,0.200627,0.438957
30,16,0.166385,0.911052,2.40514,2.40514,0.165935,0.397199
