z (cm),r (cm),u'/ubaro (ctr),u'/ubarl (local),v'/vbaro (ctr),v'/vbarl (local),T'/Tbaro (ctr),T'/Tbarl (local)
16,-4,0.425241,0.556972,4.5589,3.44083,0.278471,0.345261
16,-2,0.440944,0.466803,4.50447,4.53393,0.245398,0.258292
16,0,0.449952,0.449952,4.24695,4.24695,0.229017,0.229017
16,2,0.448121,0.469256,4.28107,12.5881,0.250039,0.265027
16,4,0.446291,0.490471,4.31519,13.4925,0.271061,0.305629
16,6,0.389981,0.548509,4.37043,9.20445,0.285257,0.401075
16,8,0.329769,0.58865,3.987,5.87714,0.279485,0.462025
16,10,0.23579,0.685094,3.54996,4.54782,0.24922,0.510791
16,12,0.183092,0.752226,3.10236,3.55918,0.217239,0.524976
16,14,0.144942,0.880855,2.69212,2.41545,0.168565,0.49587
16,16,0.111272,0.887779,2.17628,1.91768,0.121217,0.41253
