z (cm),r (cm),u'/ubaro (ctr),u'/ubarl (local),v'/vbaro (ctr),v'/vbarl (local),T'/Tbaro (ctr),T'/Tbarl (local)
14,-4,0.459703,0.543693,13.0794,5.46294,0.270849,0.308631
14,-2,0.503244,0.509688,12.2118,71.2708,0.235731,0.24014
14,0,0.499835,0.499835,11.0347,11.0347,0.229686,0.229686
14,2,0.509236,0.534815,12.4871,11.436,0.253405,0.266667
14,4,0.473007,0.569801,10.5702,13.1208,0.282173,0.334361
14,6,0.38972,0.570773,10.5554,4.84107,0.295256,0.426739
14,8,0.331611,0.592534,10.4596,3.37242,0.297781,0.496999
14,10,0.281089,0.56082,11.509,3.77661,0.295945,0.504763
14,12,0.2442,0.728077,11.6319,2.98424,0.287911,0.564422
14,14,0.186806,0.986357,10.4964,2.30367,0.247054,0.603551
14,16,0.141286,1.22206,8.82035,1.81814,0.185845,0.5662
