z (cm),r (cm),u'/ubaro (ctr),u'/ubarl (local),v'/vbaro (ctr),v'/vbarl (local),T'/Tbaro (ctr),T'/Tbarl (local)
4,-4,0.789007,0.821033,5.56117,2.43423,0.307431,0.300158
4,-2,0.748227,0.771058,4.53723,3.56829,0.303635,0.30072
4,0,0.788298,0.788298,5.50133,5.50133,0.303796,0.303796
4,2,0.71117,0.753098,5.0891,27.2384,0.287157,0.278605
4,4,0.779433,0.861285,5.53191,4.91029,0.301454,0.289752
4,6,0.85,1.1524,5.8258,2.53971,0.329402,0.342689
4,8,0.764184,1.44051,4.71277,1.13663,0.35,0.42068
4,10,0.614539,1.10032,4.07048,0.861041,0.367205,0.48558
4,12,0.409752,0.936006,2.30585,0.459825,0.354927,0.601671
4,14,0.27695,0.970186,1.95878,0.477162,0.224233,0.639337
4,16,0.189539,0.726717,1.58511,0.503591,0.0238207,0.0929112
