z (cm),r (cm),u'v' (m/s)^2,u'T' (m/s)K,v'T' (m/s)K
2,0,0.00530201,13.4412,1.8752
4,0,0.00295577,9.98268,3.95672
6,0,0.0133746,21.0779,1.68195
8,0,0.00726859,37.0903,0.240197
10,0,0.00669135,77.3862,4.42611
12,0,0.020121,82.0378,2.4422
14,0,0.0318053,104.81,6.66266
16,0,0.01928,169.57,7.07301
18,0,0.0444101,175.868,2.31545
20,0,0.0463511,208.715,2.73961
30,0,0.0116822,200.865,15.7763
