z (cm),r (cm),u'v' (m/s)^2,u'T' (m/s)K,v'T' (m/s)K
4,-4,0.00685589,35.6518,0.95705
4,-2,0.00561547,16.5451,1.89692
4,0,0.00295577,9.98268,3.95672
4,2,0.011554,18.4655,4.18761
4,4,0.0103324,48.8567,2.1316
4,6,0.0152247,81.4841,20.4205
4,8,0.0119814,70.0321,24.1092
4,10,0.000759423,60.3629,23.336
4,12,0.00613914,47.7466,17.1889
4,14,0.00395282,15.133,9.6706
4,16,0.000169857,0.140506,0.310041
