z (cm),r (cm),u'/ubaro (ctr),u'/ubarl (local),v'/vbaro (ctr),v'/vbarl (local),T'/Tbaro (ctr),T'/Tbarl (local)
8,-4,0.525465,0.677931,3.07245,2.04619,0.275378,0.299589
8,-2,0.52401,0.575155,2.44892,2.59005,0.249018,0.251487
8,0,0.48941,0.48941,2.19752,2.19752,0.236329,0.236329
8,2,0.49612,0.494919,3.80433,6.11343,0.24003,0.23841
8,4,0.500162,0.575,3.73251,57.7948,0.268882,0.285485
8,6,0.49135,0.673388,3.88854,11.7824,0.300529,0.370829
8,8,0.426273,0.684894,2.56718,2.04035,0.313822,0.439822
8,10,0.364188,0.761752,1.93313,1.19709,0.313897,0.501932
8,12,0.268795,0.949729,1.64396,1.07839,0.288746,0.60644
8,14,0.155699,1.10057,1.39628,0.963264,0.198187,0.601421
8,16,0.103072,1.12039,0.973994,0.688101,0.0693958,0.278087
