z (cm),r (cm),U-integral time (s),U-integral length (cm),U-Taylor time (s),U-Taylor length (cm),V-integral time (s),V-integral length (cm),V-Taylor time (s),V-Taylor length (cm),T-integral time (s),T-integral length (cm),T-Taylor time (s),T-Taylor length (cm)
8,-4,0.05841,5.6,0.02485,2.383,0.03263,3.128,0.01193,1.144,0.06359,6.097,0.02767,2.653
8,-2,0.05277,5.95,0.0251,2.83,0.03709,4.181,0.01463,1.649,0.0562,6.336,0.0262,2.954
8,0,0.05936,7.341,0.02546,3.148,0.05837,7.219,0.0173,2.139,0.03747,4.634,0.02545,3.147
8,2,0.06165,7.645,0.02594,3.216,0.0406,5.034,0.0129,1.599,0.04274,5.3,0.02566,3.181
8,4,0.06015,6.473,0.02426,2.611,0.03478,3.742,0.01238,1.333,0.05777,6.217,0.02693,2.899
8,6,0.05201,4.694,0.02199,1.985,0.02474,2.233,0.01057,0.9543,0.1095,9.885,0.03099,2.797
8,8,0.0555,4.273,0.02268,1.746,0.02756,2.122,0.01342,1.033,0.055,4.235,0.03371,2.596
8,10,0.05699,3.371,0.02425,1.434,0.0347,2.052,0.01831,1.083,0.05475,3.238,0.03601,2.129
8,12,0.1009,3.532,0.02705,0.9471,0.04781,1.674,0.02495,0.8734,0.06208,2.173,0.04179,1.463
8,14,0.1138,1.992,0.02933,0.5133,0.0574,1.004,0.02856,0.4998,0.06886,1.205,0.04306,0.7535
8,16,0.1482,1.686,0.03306,0.3761,0.07669,0.8725,0.03397,0.3865,0.07183,0.8172,0.02638,0.3001
