z (cm),r (cm),u'v' (m/s)^2,u'T' (m/s)K,v'T' (m/s)K
20,-4,0.114749554,204.8354812,52.86043917
20,-2,0.092864582,216.2920872,29.93366501
20,0,0.046351116,208.715377,2.739613968
20,2,0.022185362,210.9763204,19.46492262
20,4,0.061907804,207.1606552,39.52878002
20,6,0.11398513,196.1918137,62.94175604
20,8,0.099122762,153.1917754,68.61022003
20,10,0.112348733,146.0805852,73.773071
20,12,0.091903268,112.8292259,64.9409904
20,14,0.08007212,85.37022155,58.33197167
20,16,0.055620566,53.63742516,39.93565747
