z (cm),r (cm),u'/ubaro (ctr),u'/ubarl (local),v'/vbaro (ctr),v'/vbarl (local),T'/Tbaro (ctr),T'/Tbarl (local)
6,-4,0.544,0.667485,6.25213,1.63839,0.25969,0.27459
6,-2,0.490854,0.490854,5.36627,10.1613,0.227907,0.227907
6,0,0.449,0.449,5.26405,5.26405,0.223256,0.223256
6,2,0.481707,0.481707,5.11073,2.08333,0.223077,0.223077
6,4,0.521647,0.521647,5.51959,2.13158,0.234375,0.234375
6,6,0.599315,0.599315,5.70698,1.77249,0.276667,0.276667
6,8,0.702997,0.702997,5.21295,1.19066,0.36,0.36
6,10,0.718101,0.718101,4.68484,0.975177,0.426596,0.426596
6,12,0.807933,0.807933,3.39012,0.708185,0.530137,0.530137
6,14,0.99631,0.99631,3.39012,0.961353,0.580913,0.580913
6,16,0.956204,0.956204,2.48722,0.722772,0.190214,0.190214
