z (cm),r (cm),u'v' (m/s)^2,u'T' (m/s)K,v'T' (m/s)K
18,-4,0.13508901,195.4353661,64.59647331
18,-2,0.120404692,202.1389277,41.10125292
18,0,0.044410059,175.8684075,2.315449675
18,2,0.01914095,198.5012773,19.34845163
18,4,0.07395522,187.6778316,44.29223316
18,6,0.094465425,170.7484253,58.56504196
18,8,0.087588838,133.8347524,56.39675437
18,10,0.094812193,122.8822106,68.86208534
18,12,0.082808609,105.4977846,63.86387943
18,14,0.0305445,42.95500843,40.01635094
18,16,0.010376679,13.99718806,17.09438237
