,z(cm),TMean(K),X_CH3OHMean,X_CO2Mean,X_COMean,X_H2Mean,X_H2OMean,X_N2Mean,X_O2Mean,T_rms(K),ur_rms(m/s),uz_rms(m/s),ur_Mean(m/s),uz_Mean(m/s),uruz_cov(m/s)
0,0.0,338.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0116,0.0
1,0.2,539.3,0.7898,0.0124,0.0216,0.0297,0.039,0.1025,0.0023,345.9335,0.148,0.0594,0.0035,0.0123,0.0006
2,0.4,654.59,0.6466,0.0201,0.0338,0.0475,0.0614,0.179,0.0078,408.9132,0.1826,0.0921,0.0111,0.0202,0.0005
3,0.6,719.17,0.5436,0.0249,0.0409,0.0584,0.0745,0.2387,0.0148,413.3401,0.1999,0.1227,0.0187,0.033,-0.0002
4,0.8,765.02,0.4611,0.0283,0.0457,0.0658,0.0837,0.289,0.022,398.2085,0.2127,0.1553,0.0244,0.0513,-0.0013
5,1.0,820.78,0.3863,0.0318,0.0495,0.0712,0.0929,0.3355,0.0281,397.6179,0.2252,0.193,0.0281,0.0779,-0.0026
6,1.2,855.98,0.3505,0.0339,0.0507,0.0728,0.098,0.3587,0.0306,400.2249,0.2285,0.2144,0.0289,0.099,-0.0029
7,1.4,891.18,0.3147,0.036,0.0519,0.0743,0.103,0.3818,0.0332,402.8275,0.2319,0.2338,0.0297,0.1202,-0.0033
8,1.6,924.09,0.2835,0.038,0.0528,0.0754,0.1076,0.4023,0.0354,404.4008,0.2336,0.251,0.0302,0.1432,-0.0036
9,1.8,954.7,0.2568,0.0398,0.0534,0.076,0.1118,0.4202,0.0372,404.9691,0.2339,0.2664,0.0304,0.1679,-0.0037
10,2.0,985.32,0.23,0.0416,0.0539,0.0766,0.1159,0.438,0.039,405.5244,0.2341,0.281,0.0306,0.1927,-0.0039
11,2.2,1008.3,0.2122,0.0429,0.0542,0.0768,0.1189,0.4501,0.04,404.4502,0.2341,0.2916,0.0308,0.2179,-0.0041
12,2.4,1031.3,0.1944,0.0442,0.0544,0.0769,0.1218,0.4621,0.0411,403.3733,0.2342,0.3018,0.0309,0.2431,-0.0044
13,2.6,1051.3,0.1792,0.0453,0.0546,0.077,0.1243,0.4726,0.042,401.9577,0.2344,0.3107,0.0309,0.2684,-0.0047
14,2.8,1068.1,0.1664,0.0463,0.0547,0.077,0.1263,0.4814,0.0429,400.2249,0.2349,0.3184,0.0307,0.294,-0.0052
15,3.0,1084.9,0.1537,0.0472,0.0548,0.077,0.1284,0.4903,0.0438,398.4846,0.2354,0.3259,0.0305,0.3196,-0.0056
16,3.2,1096.4,0.1443,0.0478,0.0549,0.077,0.1296,0.4969,0.0446,396.5476,0.2362,0.3336,0.0306,0.3462,-0.0059
17,3.4,1107.9,0.135,0.0484,0.0549,0.077,0.1309,0.5036,0.0454,394.6137,0.237,0.3411,0.0307,0.3728,-0.0063
18,3.6,1117.5,0.1268,0.0488,0.055,0.077,0.132,0.5095,0.0462,392.9122,0.2381,0.3494,0.0312,0.3998,-0.0066
19,3.8,1125.3,0.1197,0.0492,0.055,0.077,0.1328,0.5146,0.047,391.4588,0.2396,0.3585,0.0319,0.4271,-0.0068
20,4.0,1133.0,0.1126,0.0496,0.055,0.0769,0.1336,0.5198,0.0477,390.0,0.241,0.3673,0.0327,0.4544,-0.007
21,4.2,1139.6,0.107,0.0499,0.0551,0.077,0.1343,0.5239,0.0483,389.705,0.2423,0.3782,0.0343,0.4828,-0.0072
22,4.4,1146.1,0.1013,0.0502,0.0552,0.077,0.135,0.5279,0.0489,389.4098,0.2436,0.3887,0.036,0.5113,-0.0074
23,4.6,1152.9,0.0961,0.0505,0.0552,0.077,0.1357,0.5317,0.0494,389.3071,0.2447,0.4003,0.0382,0.5405,-0.0075
24,4.8,1160.0,0.0913,0.0508,0.0553,0.0769,0.1364,0.535,0.0498,389.397,0.2454,0.4127,0.0409,0.5705,-0.0077
25,5.0,1167.1,0.0865,0.0511,0.0553,0.0769,0.1371,0.5384,0.0501,389.4868,0.2462,0.4249,0.0436,0.6005,-0.0078
26,5.2,1174.7,0.0824,0.0514,0.0553,0.0766,0.1379,0.5416,0.0504,389.5254,0.2472,0.4383,0.0459,0.6317,-0.0076
27,5.4,1182.3,0.0782,0.0517,0.0552,0.0764,0.1386,0.5447,0.0507,389.5767,0.2482,0.4514,0.0483,0.6629,-0.0073
28,5.6,1189.5,0.0744,0.052,0.0551,0.076,0.1392,0.5478,0.0511,389.6665,0.2495,0.4651,0.0501,0.6947,-0.0068
29,5.8,1196.5,0.0708,0.0523,0.0548,0.0755,0.1398,0.551,0.0515,389.8333,0.2509,0.4792,0.0514,0.727,-0.006
30,6.0,1203.4,0.0672,0.0526,0.0546,0.075,0.1404,0.5541,0.0518,390.0,0.2524,0.4929,0.0527,0.7593,-0.0052
31,6.2,1208.9,0.064,0.0528,0.0542,0.0743,0.1407,0.5573,0.0524,390.6917,0.2544,0.5079,0.0529,0.7916,-0.004
32,6.4,1214.4,0.0609,0.053,0.0538,0.0736,0.141,0.5605,0.053,391.3822,0.2565,0.5225,0.0531,0.824,-0.0028
33,6.6,1219.0,0.058,0.0532,0.0534,0.0728,0.1412,0.5636,0.0536,392.1862,0.2583,0.5374,0.0531,0.8562,-0.0014
34,6.8,1222.7,0.0554,0.0533,0.0529,0.072,0.1413,0.5667,0.0543,393.0903,0.2598,0.5528,0.0529,0.8883,0.0
35,7.0,1226.4,0.0528,0.0534,0.0525,0.0712,0.1414,0.5698,0.055,393.9924,0.2613,0.5677,0.0526,0.9204,0.0015
36,7.2,1227.7,0.0506,0.0534,0.052,0.0704,0.1412,0.5726,0.0559,395.3606,0.2622,0.584,0.0523,0.9513,0.0026
37,7.4,1229.1,0.0484,0.0534,0.0515,0.0697,0.141,0.5755,0.0567,396.7241,0.2632,0.5998,0.0519,0.9822,0.0036
38,7.6,1229.8,0.0464,0.0534,0.051,0.0689,0.1407,0.5782,0.0576,398.2838,0.2639,0.6156,0.0516,1.0128,0.0045
39,7.8,1229.9,0.0446,0.0533,0.0506,0.0682,0.1403,0.5808,0.0584,400.025,0.2645,0.6313,0.0514,1.0431,0.0051
40,8.0,1230.0,0.0428,0.0532,0.0501,0.0675,0.14,0.5834,0.0593,401.7462,0.2651,0.6466,0.0512,1.0734,0.0057
41,8.2,1229.9,0.0413,0.0532,0.0497,0.0668,0.1396,0.5857,0.0601,403.1625,0.2657,0.6619,0.0509,1.1034,0.0059
42,8.4,1229.7,0.0398,0.0531,0.0492,0.0661,0.1392,0.588,0.061,404.5738,0.2662,0.6769,0.0505,1.1333,0.0062
43,8.6,1229.5,0.0384,0.053,0.0488,0.0654,0.1389,0.5903,0.0618,405.9187,0.2666,0.6917,0.0502,1.1628,0.0061
44,8.8,1229.1,0.0371,0.0529,0.0483,0.0647,0.1385,0.5925,0.0626,407.21,0.267,0.7065,0.05,1.1918,0.0059
45,9.0,1228.8,0.0358,0.0529,0.0478,0.064,0.1381,0.5946,0.0634,408.485,0.2673,0.7209,0.0498,1.2209,0.0057
46,9.2,1228.7,0.0347,0.0528,0.0474,0.0633,0.1377,0.5966,0.0641,409.7438,0.2678,0.7346,0.0494,1.2497,0.0054
47,9.4,1228.5,0.0335,0.0528,0.0469,0.0626,0.1374,0.5986,0.0648,410.9988,0.2682,0.7481,0.0491,1.2786,0.0051
48,9.6,1228.5,0.0325,0.0527,0.0465,0.0619,0.137,0.6006,0.0655,412.3106,0.2688,0.7615,0.0486,1.3069,0.0048
49,9.8,1228.4,0.0315,0.0527,0.046,0.0612,0.1367,0.6024,0.0662,413.6544,0.2696,0.7747,0.0479,1.3348,0.0044
50,10.0,1228.4,0.0305,0.0526,0.0455,0.0605,0.1364,0.6043,0.0668,415.006,0.2704,0.7878,0.0473,1.3627,0.0041
51,10.2,1228.1,0.0297,0.0526,0.0451,0.0598,0.1361,0.6061,0.0675,416.3532,0.2714,0.801,0.0467,1.3896,0.0041
52,10.4,1227.9,0.0288,0.0525,0.0446,0.0591,0.1357,0.6079,0.0682,417.6961,0.2724,0.814,0.0462,1.4165,0.004
53,10.6,1227.4,0.028,0.0525,0.0441,0.0584,0.1353,0.6097,0.0688,419.1539,0.2733,0.8272,0.0457,1.4425,0.0038
54,10.8,1226.5,0.0272,0.0524,0.0437,0.0577,0.1349,0.6115,0.0696,420.7256,0.2743,0.8404,0.0453,1.4677,0.0035
55,11.0,1225.7,0.0264,0.0523,0.0432,0.057,0.1345,0.6133,0.0703,422.2795,0.2752,0.8535,0.0448,1.4929,0.0031
56,11.2,1224.5,0.0257,0.0522,0.0427,0.0563,0.134,0.6152,0.0711,423.6626,0.276,0.8663,0.0446,1.5181,0.0029
57,11.4,1223.3,0.025,0.0521,0.0422,0.0555,0.1335,0.617,0.0718,425.0412,0.2768,0.879,0.0444,1.5432,0.0026
58,11.6,1221.9,0.0243,0.052,0.0417,0.0548,0.133,0.6188,0.0726,426.4739,0.2779,0.8916,0.0442,1.5674,0.0025
59,11.8,1220.4,0.0236,0.0519,0.0412,0.0541,0.1325,0.6206,0.0734,427.972,0.2792,0.9042,0.0439,1.5906,0.0025
60,12.0,1218.8,0.0229,0.0518,0.0407,0.0534,0.132,0.6224,0.0741,429.4648,0.2804,0.9166,0.0437,1.6139,0.0024
61,12.2,1216.8,0.0223,0.0516,0.0402,0.0527,0.1314,0.6241,0.075,431.3351,0.2819,0.9295,0.0437,1.6357,0.0023
