,z(cm),TMean(K),X_CH3OHMean,X_CO2Mean,X_COMean,X_H2Mean,X_H2OMean,X_N2Mean,X_O2Mean,T_rms(K),ur_rms(m/s),uz_rms(m/s),ur_Mean(m/s),uz_Mean(m/s),uruz_cov(m/s)
0,0.0,338.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116,0.0
1,0.2,465.39,0.8479,0.0085,0.0181,0.0261,0.0278,0.0689,0.0007,244.4872,0.1401,0.0442,0.0107,0.0169,0.0003
2,0.4,567.63,0.719,0.0155,0.0326,0.0474,0.0498,0.1297,0.0027,313.2395,0.1827,0.0726,0.0177,0.0277,0.0008
3,0.6,647.0,0.6132,0.0209,0.0436,0.0638,0.0666,0.182,0.0057,341.9942,0.2081,0.0992,0.0228,0.0429,0.0015
4,0.8,714.68,0.5211,0.0254,0.0524,0.077,0.0801,0.2299,0.0096,349.4853,0.2248,0.1318,0.0272,0.0663,0.0022
5,1.0,790.72,0.4239,0.0298,0.0614,0.0904,0.0937,0.2814,0.0144,351.2407,0.2352,0.1774,0.0317,0.1068,0.0027
6,1.2,815.63,0.3977,0.0311,0.0638,0.0939,0.0976,0.2953,0.0156,351.7954,0.236,0.1962,0.031,0.1292,0.0029
7,1.4,840.54,0.3714,0.0323,0.0662,0.0974,0.1015,0.3092,0.0168,352.3493,0.2369,0.2134,0.0304,0.1516,0.003
8,1.6,865.46,0.3452,0.0336,0.0686,0.1008,0.1054,0.3232,0.018,352.9023,0.2377,0.2293,0.0297,0.174,0.0031
9,1.8,890.37,0.3189,0.0348,0.0711,0.1043,0.1092,0.3371,0.0191,353.4544,0.2385,0.2441,0.029,0.1964,0.0033
10,2.0,915.28,0.2926,0.0361,0.0735,0.1078,0.1131,0.351,0.0203,354.0056,0.2393,0.2581,0.0283,0.2188,0.0034
11,2.2,936.46,0.2756,0.0371,0.0749,0.1097,0.116,0.3604,0.0209,354.9789,0.2387,0.2709,0.0272,0.2486,0.0033
12,2.4,957.64,0.2585,0.038,0.0763,0.1116,0.1189,0.3697,0.0214,355.9494,0.2382,0.2832,0.0261,0.2784,0.0032
13,2.6,978.82,0.2414,0.039,0.0777,0.1135,0.1218,0.379,0.022,356.9174,0.2377,0.2949,0.025,0.3082,0.0031
14,2.8,1000.0,0.2243,0.04,0.0791,0.1154,0.1247,0.3883,0.0225,357.8827,0.2371,0.3062,0.0239,0.338,0.0029
15,3.0,1021.2,0.2072,0.041,0.0805,0.1172,0.1276,0.3976,0.0231,358.8454,0.2366,0.3171,0.0228,0.3678,0.0028
16,3.2,1036.0,0.1983,0.0416,0.0811,0.1179,0.1294,0.4027,0.0232,360.0833,0.2361,0.3244,0.0224,0.4017,0.0028
17,3.4,1050.9,0.1893,0.0423,0.0817,0.1186,0.1312,0.4078,0.0233,361.317,0.2357,0.3315,0.022,0.4355,0.0029
18,3.6,1065.7,0.1803,0.0429,0.0823,0.1192,0.133,0.413,0.0235,362.5465,0.2352,0.3384,0.0216,0.4694,0.0029
19,3.8,1080.6,0.1714,0.0436,0.0829,0.1199,0.1348,0.4181,0.0236,363.7719,0.2348,0.3452,0.0212,0.5032,0.0029
20,4.0,1095.4,0.1624,0.0442,0.0835,0.1205,0.1366,0.4232,0.0237,364.9932,0.2344,0.3519,0.0209,0.537,0.0029
21,4.2,1105.7,0.1567,0.0446,0.0838,0.1207,0.1378,0.4268,0.0239,365.0342,0.234,0.362,0.0204,0.5695,0.0029
22,4.4,1115.9,0.1509,0.0451,0.084,0.1209,0.1389,0.4304,0.024,365.089,0.2337,0.3718,0.02,0.602,0.0028
23,4.6,1126.1,0.1452,0.0455,0.0842,0.1211,0.1401,0.4339,0.0242,365.1301,0.2334,0.3813,0.0196,0.6344,0.0027
24,4.8,1136.3,0.1395,0.0459,0.0845,0.1213,0.1412,0.4375,0.0244,365.1849,0.233,0.3907,0.0191,0.6669,0.0026
25,5.0,1146.6,0.1337,0.0464,0.0847,0.1215,0.1424,0.4411,0.0245,365.226,0.2327,0.3998,0.0187,0.6993,0.0025
26,5.2,1154.1,0.1294,0.0467,0.0848,0.1214,0.1431,0.4442,0.0248,364.4859,0.2328,0.4121,0.0186,0.7311,0.0017
27,5.4,1161.7,0.125,0.047,0.0848,0.1213,0.1439,0.4472,0.0251,363.7444,0.2329,0.4241,0.0185,0.7628,0.0009
28,5.6,1169.3,0.1207,0.0473,0.0848,0.1212,0.1446,0.4503,0.0254,363.0014,0.2329,0.4357,0.0185,0.7946,0.0
