,z(cm),TMean(K),X_CH3OHMean,X_CO2Mean,X_COMean,X_H2Mean,X_H2OMean,X_N2Mean,X_O2Mean,T_rms(K),ur_rms(m/s),uz_rms(m/s),ur_Mean(m/s),uz_Mean(m/s),uruz_cov(m/s)
0,0.0,338.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116,0.0
1,0.2,523.41,0.8027,0.0116,0.0214,0.0298,0.0369,0.0936,0.0014,320.0781,0.1701,0.0572,0.0153,0.0157,0.0004
2,0.4,642.64,0.6645,0.0193,0.034,0.048,0.0597,0.1652,0.0054,397.7562,0.2167,0.089,0.0236,0.0264,0.0014
3,0.6,712.43,0.5656,0.0242,0.0411,0.0587,0.0731,0.2218,0.0114,417.3847,0.2389,0.1179,0.0273,0.041,0.0022
4,0.8,754.53,0.488,0.0273,0.0453,0.0653,0.0813,0.2699,0.0185,406.8169,0.2482,0.1488,0.028,0.0607,0.0027
5,1.0,795.69,0.4159,0.0301,0.0491,0.0712,0.0886,0.3152,0.0256,394.0051,0.2496,0.1858,0.0261,0.0905,0.0029
6,1.2,819.16,0.3879,0.0315,0.0507,0.0735,0.0922,0.3322,0.0276,391.561,0.2463,0.2036,0.0251,0.109,0.0026
7,1.4,842.63,0.36,0.0328,0.0523,0.0757,0.0958,0.3492,0.0297,389.1015,0.2431,0.2199,0.0241,0.1275,0.0023
8,1.6,866.1,0.332,0.0342,0.0538,0.078,0.0995,0.3662,0.0317,386.6394,0.2397,0.2351,0.0231,0.146,0.0021
9,1.8,889.54,0.3084,0.0355,0.0553,0.08,0.103,0.3801,0.033,385.1104,0.2369,0.2488,0.0212,0.1685,0.0016
10,2.0,912.95,0.2871,0.0368,0.0566,0.0819,0.1064,0.3925,0.034,384.0573,0.2344,0.2613,0.0189,0.193,0.0011
11,2.2,936.37,0.2657,0.0381,0.058,0.0837,0.1099,0.4049,0.0349,383.0013,0.2318,0.2733,0.0165,0.2175,0.0006
12,2.4,958.45,0.2467,0.0393,0.0593,0.0854,0.1132,0.4157,0.0356,382.1256,0.2304,0.2839,0.0142,0.243,0.0001
13,2.6,977.85,0.2323,0.0403,0.0604,0.0869,0.116,0.4235,0.0358,381.6281,0.2313,0.2925,0.0122,0.2707,-0.0005
14,2.8,997.25,0.218,0.0413,0.0615,0.0883,0.1188,0.4312,0.0359,381.1299,0.2322,0.3007,0.0102,0.2984,-0.001
15,3.0,1016.7,0.2036,0.0423,0.0626,0.0897,0.1216,0.439,0.0361,380.6179,0.2331,0.3088,0.0082,0.326,-0.0015
16,3.2,1032.6,0.1932,0.0431,0.0634,0.0908,0.1238,0.4444,0.0361,379.6182,0.2349,0.3167,0.0077,0.3561,-0.0017
17,3.4,1048.6,0.1829,0.0439,0.0642,0.0918,0.126,0.45,0.036,378.6027,0.2365,0.3244,0.0071,0.3862,-0.0019
18,3.6,1064.5,0.1725,0.0447,0.0651,0.0928,0.1282,0.4554,0.036,377.5977,0.2382,0.3319,0.0065,0.4163,-0.0022
