s,kg/m2/s,Kw,Hz,m2/s2/Hz2
Time,MLRPUA,HRR,Frequency,Turbulent energy spectrum
0.1,0.000161979,0.00251451,0,0
0.2,0.000159596,0.00788859,0.66445,4018.27102609898
0.3,0.0001581,0.0149246,1.3289,17100.7622025325
0.4,0.000157125,0.0231466,1.99336,68992.850788381
0.5,0.000156515,0.0321741,2.65781,163471.485343153
0.6,0.000156208,0.041649,3.32226,222012.590978774
0.7,0.000156143,0.0512168,3.98671,754854.056498316
0.8,0.000156278,0.0608082,4.65116,778596.090122339
0.9,0.000156578,0.0703014,5.31561,268613.055584589
1,0.000157015,0.0796537,5.98007,476197.266576233
1.1,0.000157576,0.0888781,6.64452,215414.565121169
1.2,0.000158228,0.0979164,7.30897,875144.908289132
1.3,0.000159174,0.106739,7.97342,985347.397768016
1.4,0.000162741,0.115746,8.63787,1124990.01997721
1.5,0.000176863,0.126452,9.30233,269059.126452931
1.6,0.000197584,0.141283,9.96678,233957.033677298
1.7,0.000225105,0.162432,10.63123,73019.5768678013
1.8,0.000262419,0.194851,11.29568,720750.795961618
1.9,0.000314262,0.248196,11.96013,170391.919192766
2,0.00038638,0.337957,12.62458,1298168.97898589
2.1,0.00047122,0.477049,13.28904,428256.532352048
2.2,0.000556413,0.666597,13.95349,552849.799096714
2.3,0.000626097,0.864816,14.61794,634258.00249496
2.4,0.00065385,0.959233,15.28239,337342.104978214
2.5,0.000650538,0.941571,15.94684,121450.130582043
2.6,0.000652841,0.915878,16.6113,297351.212672904
2.7,0.000691024,0.925086,17.27575,418515.757755884
2.8,0.000704289,0.967507,17.9402,156907.095006148
2.9,0.000694572,0.990494,18.60465,337312.180575343
3,0.000689985,1.01188,19.2691,176784.483786666
3.1,0.00071568,1.03413,19.93355,320232.126427255
3.2,0.000704525,1.0521,20.59801,515068.391847049
3.3,0.000702267,1.04055,21.26246,353534.459852649
3.4,0.000712504,1.04811,21.92691,228861.06667257
3.5,0.000735294,1.08922,22.59136,176229.381591723
3.6,0.000790416,1.16046,23.25581,140824.819455133
3.7,0.000837987,1.24025,23.92027,169379.666199012
3.8,0.000867149,1.28568,24.58472,225154.613258752
3.9,0.000870706,1.2889,25.24917,137439.217878361
4,0.000851595,1.26754,25.91362,122868.271250412
4.1,0.000854321,1.25739,26.57807,97086.5818323182
4.2,0.000860588,1.25998,27.24252,131194.875035469
4.3,0.000880868,1.28849,27.90698,128462.781906056
4.4,0.000915303,1.34371,28.57143,45801.0925108579
4.5,0.000947501,1.38284,29.23588,112706.264976933
4.6,0.000977413,1.43948,29.90033,157161.453106158
4.7,0.00101865,1.49964,30.56478,23496.83595367
4.8,0.00104346,1.54298,31.22924,42170.8135118284
4.9,0.00106596,1.57476,31.89369,35588.1607789463
5,0.00106559,1.60371,32.55814,152347.941302775
5.1,0.00108654,1.66148,33.22259,40189.047853573
5.2,0.00112489,1.72677,33.88704,64401.0083016101
5.3,0.00112168,1.72586,34.5515,83136.1859587989
5.4,0.00110019,1.6873,35.21595,51248.5825626935
5.5,0.00111077,1.69861,35.8804,31308.1774521563
5.6,0.00116215,1.73959,36.54485,79216.7216921651
5.7,0.00122937,1.83494,37.2093,32405.4749481714
5.8,0.00130248,1.94929,37.87375,72199.1289642078
5.9,0.00135677,2.03591,38.53821,106700.780945332
6,0.00138233,2.07838,39.20266,3677.16869978342
6.1,0.00139217,2.12066,39.86711,30826.7490179879
6.2,0.00141733,2.13241,40.53156,66015.7449356995
6.3,0.00143795,2.15823,41.19601,81444.7853921243
6.4,0.00145684,2.19196,41.86047,44137.9706573528
6.5,0.00148419,2.17574,42.52492,37736.479739012
6.6,0.00151959,2.2259,43.18937,34748.5969604353
6.7,0.00155212,2.30071,43.85382,39149.4241780986
6.8,0.001619,2.42597,44.51827,71101.8738064456
6.9,0.00172838,2.57612,45.18272,64503.8469227513
7,0.00179169,2.68921,45.84718,35334.695017369
7.1,0.00183807,2.70649,46.51163,27566.0793812647
7.2,0.00188601,2.75541,47.17608,27693.1717978044
7.3,0.00186904,2.79348,47.84053,29990.3270956062
7.4,0.00193247,2.8081,48.50498,45708.3300354599
7.5,0.00201297,2.98454,49.16944,31098.3768628706
7.6,0.00206245,3.05557,49.83389,14488.1209978208
7.7,0.00208805,3.06701,50.49834,30832.1944892508
7.8,0.0021579,3.14664,51.16279,45012.3092582099
7.9,0.00224217,3.30257,51.82724,25838.2500994852
8,0.00236131,3.45489,52.49169,33255.0649566132
8.1,0.00238141,3.45842,53.15615,46391.3682247459
8.2,0.00251354,3.57767,53.8206,29298.6535103225
8.3,0.00249854,3.72028,54.48505,29012.3061448388
8.4,0.00258306,3.78785,55.1495,38811.8280039
8.5,0.00274674,3.97316,55.81395,22213.3329426511
8.6,0.00285427,4.08467,56.47841,38716.7483006563
8.7,0.00290251,4.20029,57.14286,42233.0116843086
8.8,0.00297312,4.30742,57.80731,28759.0754867871
8.9,0.00299949,4.3797,58.47176,27133.4333926426
9,0.00309081,4.33848,59.13621,26402.2296048511
9.1,0.0032407,4.57245,59.80066,59279.5951147635
9.2,0.00321817,4.79526,60.46512,17930.5217445927
9.3,0.00336547,4.80823,61.12957,29962.4482551381
9.4,0.00354525,5.0125,61.79402,16953.8959787934
9.5,0.00363969,5.13795,62.45847,16160.0486292133
9.6,0.00374332,5.2947,63.12292,34745.7406174362
9.7,0.00383388,5.48645,63.78738,33967.6343445007
9.8,0.00396319,5.68868,64.45183,15264.5407918151
9.9,0.00416183,5.82057,65.11628,18200.4011059254
10,0.00428229,5.95286,65.78073,24177.6638860573
10.1,0.00420428,6.20945,66.44518,24646.8581512992
10.2,0.00445853,6.29448,67.10963,35253.3664229649
10.3,0.00479741,6.69797,67.77409,22606.744785379
10.4,0.00502206,6.85681,68.43854,21227.5059107819
