cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,m/s,cm,KW/m2,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K
27.6,1145.1,0.05905,0.077048,0.053392,0.15419,0.65632,3.3107,3.45,12.992,1178.8,705.71,668.22,661.49,584.48,576.81,507.08,498.1,355.443385084038,340.470263018667,335.871999428354,271.571353423,264.352038009923,194.961534667739,185.018917951652,295.523264735621
28.8,1129.1,0.064381,0.074869,0.046826,0.14983,0.66409,3.3674,3.6,13.085,1188.5,687.71,656.08,650.22,578.56,571.22,503.68,494.94,349.928564138454,335.976189632539,331.813200460741,269.920358624539,262.648053486029,193.65691312215,183.82328470572,309.237772595781
30,1110.4,0.069986,0.072479,0.040776,0.14505,0.67171,3.417,3.75,13.179,1198.2,669.71,643.93,638.96,572.65,565.62,500.29,491.79,344.339948306902,331.421182183638,327.704134853377,268.259203010819,260.931025368774,192.343442830786,182.622561585364,322.335229225724
31.2,1088.9,0.075824,0.069893,0.035312,0.13987,0.6791,3.4586,3.9,13.273,1200,654.17,632.23,627.97,566.9,560.18,496.85,488.58,338.806729567168,326.205456729344,322.893171188243,266.341885553136,258.99227787716,190.811425234445,181.209823133295,334.380023326753
32.4,1064.7,0.081836,0.067143,0.030439,0.13437,0.68621,3.4924,4.05,13.371,1201,639.79,620.85,617.2,561.35,554.89,493.34,485.29,333.256657847972,320.437201335925,317.537399372105,264.138221391755,256.789797305111,188.907384715368,179.440798036567,344.978260184609
33.6,1039,0.087852,0.064328,0.026108,0.12874,0.69298,3.5207,4.2,13.469,1202,625.4,609.46,606.43,555.8,549.61,489.83,482,327.612576071188,314.571136628903,312.078515761659,261.916017074176,254.570226067386,186.983956531035,177.65134392962,354.04801934201
34.8,1012.7,0.093749,0.061522,0.02227,0.12312,0.69934,3.5478,4.35,13.567,1203,611.02,598.08,595.66,550.25,544.32,486.31,478.71,321.869538788622,308.588723060322,306.524061045785,259.674796620696,252.329150119442,185.043238190429,175.843680580224,361.386219991853
36,986.75,0.09943,0.058786,0.018847,0.11765,0.70529,3.5751,4.5,13.664,1198.5,598.17,587.1,585.16,544.74,539.09,482.86,475.47,316.191397732449,302.555779981147,300.740752143769,257.128372607925,249.885973996141,183.06829326784,174.002873539491,367.273739872591
37.2,960.13,0.10505,0.056035,0.015869,0.11214,0.71091,3.6004,4.65,13.754,1192.3,586.6,576.63,575.03,539.28,533.95,479.59,472.41,310.570442895006,296.484400938734,294.676093363544,254.005905443161,247.042506463969,181.038669902317,172.092998114392,370.526652212766
38.4,932.71,0.11066,0.05324,0.013265,0.10655,0.71629,3.6208,4.8,13.843,1186.1,575.03,566.15,564.89,533.82,528.82,476.32,469.35,304.842582327338,290.286065804062,288.482235154957,250.844573391572,244.167974968054,178.988826466905,170.161687814855,370.917780646871
39.6,905.67,0.11606,0.050526,0.011032,0.10111,0.72127,3.6377,4.95,13.932,1179.9,563.47,555.68,554.75,528.36,523.68,473.05,466.28,299.005016680323,283.950699946311,282.150668969613,247.642888046477,241.259196715897,176.912407705056,168.208204318339,369.553784989411
40.8,877.9,0.12146,0.047773,0.0091089,0.095605,0.72606,3.6451,5.1,14.021,1170.3,552.8,545.78,545.1,522.87,518.5,469.81,463.25,293.312120445099,277.893864631805,276.052531232735,244.258060255951,238.182702982395,174.837067008115,166.258834351742,365.143807286937
42,850.65,0.12663,0.045114,0.0074642,0.090285,0.73051,3.646,5.25,14.09,1158.6,543.35,537.06,536.52,517.25,513.16,466.77,460.42,287.873235991122,272.59126911917,270.639982264262,240.351825455934,234.616708697399,172.893030513089,164.438438328756,359.596996650417
43.2,823.21,0.13171,0.042474,0.0061002,0.085001,0.73472,3.6442,5.4,14.155,1147,533.9,528.34,527.94,511.64,507.82,463.72,457.59,282.326052641268,267.183457571759,265.116955323495,236.378933071456,230.993506402236,170.926884953772,162.594587855808,351.425667816112
44.4,795.98,0.13662,0.039895,0.0049761,0.079839,0.73867,3.6415,5.55,14.219,1135.4,524.45,519.63,519.35,506.03,502.48,460.68,454.76,276.665863452649,261.665817408388,259.478322794025,232.335963638865,227.312560145717,168.937858397696,160.732697358067,341.438134952732
45.6,769.68,0.14127,0.037443,0.0040597,0.074932,0.7423,3.6396,5.7,14.284,1120.8,515.65,511.34,511.17,500.43,497.15,457.64,451.93,271.16415692344,256.218656619693,253.954720373534,228.219192882632,223.546415761917,166.934118741496,158.861574963866,330.408837654201
46.8,744.74,0.14557,0.035156,0.0033112,0.070355,0.74561,3.6368,5.85,14.329,1102.6,508.4,504.58,504.48,494.96,491.85,454.58,449.13,266.225468353424,251.338417278378,249.230816714146,223.995535669799,219.558648201341,165.048477727,157.15597347858,319.186465878489
48,721.47,0.14951,0.033057,0.0026947,0.066155,0.74858,3.6304,6,14.359,1084.5,501.15,497.82,497.79,489.49,486.55,451.52,446.34,261.18767199085,246.363552499147,244.417675301931,219.690691655336,215.497099748465,163.141043272378,155.434873821804,308.47690351143
49.2,699.74,0.15312,0.031129,0.0021912,0.062297,0.75127,3.6228,6.15,14.389,1066.4,493.89,491.07,491.1,484.02,481.25,448.47,443.55,256.048823469275,241.286137189852,239.509916287406,215.299790989216,211.352785645233,161.211041805455,153.694502178835,298.147614446267
50.4,679.46,0.15643,0.02935,0.0017777,0.058737,0.7537,3.6141,6.3,14.419,1047.1,486.91,484.42,484.52,478.55,475.94,445.41,440.75,250.892407218712,236.150375820154,234.537843428305,210.817456582703,207.12556578076,159.257652877342,151.93419628247,288.109354238976
51.6,661.12,0.15937,0.027772,0.0014454,0.055578,0.75584,3.6064,6.45,14.437,1025,481.41,478.9,478.99,473.17,470.65,442.24,437.82,246.128015471624,231.378477823673,229.876053559304,206.41947582532,202.820117345395,157.216411357084,150.066651858433,280.055351671772
52.8,643.18,0.16222,0.026232,0.0011641,0.052496,0.75789,3.5972,6.6,14.424,1002.8,475.91,473.39,473.46,467.8,465.35,439.07,434.89,241.267486412902,226.506070558826,225.117746968114,201.925728920314,198.421269021242,155.145093380358,148.175571535932,270.429288354646
54,626.18,0.1649,0.024783,0.00092727,0.049597,0.75979,3.5842,6.75,14.411,980.68,470.42,467.87,467.94,462.43,460.06,435.9,431.95,236.307003704926,221.524265036587,220.256668457507,197.329673389483,193.922664998189,153.04574479547,146.256623781626,260.679880313
55.2,610.1,0.16742,0.023419,0.0007329,0.046868,0.76156,3.5724,6.9,14.398,958.92,464.92,462.35,462.41,457.05,454.76,432.73,429.02,231.240134924714,216.427817066106,215.28585647924,192.623986045352,189.317194147811,150.917195839308,144.315626319536,250.631203165129
56.4,594.81,0.1698,0.022126,0.00057278,0.04428,0.76322,3.5561,7.05,14.385,940.51,460.94,458.25,458.25,452.41,450.21,429.84,426.29,227.169540211711,212.755728477519,211.55377566945,188.732615093417,185.437320946998,148.959726100715,142.492105044455,240.349745163168
57.6,580.54,0.17201,0.020921,0.00044002,0.041867,0.76476,3.5371,7.2,14.329,922.09,456.98,454.26,454.21,447.88,445.78,427.01,423.61,223.044838541491,209.1411006952,207.874962417315,184.899972958354,181.609471118662,147.020406746819,140.676934854297,229.956517628877
58.8,567.34,0.17406,0.019807,0.00033064,0.039638,0.76617,3.5118,7.35,14.272,903.68,453.03,450.28,450.17,443.35,441.34,424.19,420.93,218.844693789911,205.46289202676,204.127411192128,180.986187318259,177.696370249929,145.058608844839,138.841636406375,219.554093562384
60,554.27,0.17606,0.018715,0.00023929,0.037453,0.76754,3.475,7.5,14.216,885.26,449.08,446.29,446.13,438.83,436.91,421.36,418.25,214.560014914243,201.717624415915,200.312256240101,176.985875142623,173.69801380557,143.069912979634,136.981750609342,209.057408383439
61.2,540.14,0.17819,0.017544,0.00016832,0.035109,0.76899,3.4143,7.65,14.16,867.23,445.18,442.32,442.1,434.3,432.47,418.53,415.57,210.240338660306,197.924227925739,196.43828547409,172.893030513089,169.602476397015,141.049636653201,135.092560861063,196.232005544458
62.4,527.66,0.18004,0.016527,0.00012526,0.033074,0.77023,3.3623,7.8,14.097,850.9,441.95,439.02,438.76,430.41,428.69,415.7,412.91,206.480023246802,194.905105115284,193.385625112106,169.581838650252,166.26785618393,139.025177575862,133.281656652369,183.597385602301
63.6,516.94,0.18162,0.01566,9.5447E-05,0.031339,0.77128,3.3243,7.95,14.002,834.57,438.72,435.71,435.41,426.54,424.94,412.87,410.26,202.649944485559,191.838473722035,190.283998276261,166.225750111106,162.895672134038,136.967149346111,131.449610117337,171.9273102215
64.8,507.38,0.18302,0.014892,7.3804E-05,0.029803,0.77221,3.2957,8.1,13.908,818.25,435.5,432.41,432.07,422.67,421.18,410.04,407.61,198.743553354568,188.722017793367,187.128298234126,162.803562614582,159.449051423958,134.881429411168,129.595524614085,160.760691712869
66,499.31,0.18419,0.014246,5.8196E-05,0.02851,0.77299,3.2657,8.25,13.813,801.92,432.27,429.1,428.72,418.81,417.42,407.21,404.96,194.761392478078,185.553226864962,183.921178769602,159.304739414746,155.926264625303,132.762946637983,127.71061036578,151.046350502089
67.2,493.04,0.18509,0.013749,4.9975E-05,0.027516,0.77359,3.234,8.4,13.718,786.37,429.14,425.84,425.42,414.99,413.71,404.38,402.32,190.829767070025,182.35953498515,180.687575665844,155.788317918899,152.377819908279,130.613934938046,125.80540528928,143.621029100895
68.4,486.78,0.186,0.013252,4.1751E-05,0.026521,0.77419,3.2023,8.55,13.611,772.98,426.44,422.89,422.46,411.8,410.56,401.72,399.85,187.480665669823,179.32930602665,177.63445611705,152.911739248496,149.435604860421,128.549601321824,124.008064253902,135.790279475373
69.6,480.56,0.18689,0.01276,3.3699E-05,0.025535,0.77478,3.1705,8.7,13.481,759.58,423.74,419.95,419.49,408.62,407.41,399.07,397.38,184.073354943077,176.246985789828,174.527934726794,149.983332407305,146.434285602792,126.451571757729,122.188379152847,127.612695293219
70.8,475.61,0.18758,0.012379,3.0242E-05,0.024773,0.77524,3.1371,8.85,13.352,746.19,421.04,417,416.53,405.43,404.26,396.41,394.9,180.599003319509,173.109791750785,171.368025022173,146.993197121499,143.370150310307,124.31814026923,120.337026720789,122.633600615818
72,470.65,0.18827,0.011997,2.6783E-05,0.02401,0.77569,3.1037,9,13.222,732.8,418.35,414.06,413.56,402.25,401.11,393.75,392.43,177.059312096258,169.911741795557,168.1457700925,143.944433723573,140.239081571436,122.14745187682,118.460964034571,117.439346047226
73.2,465.69,0.18897,0.011616,2.3324E-05,0.023247,0.77615,3.0703,9.15,13.093,720.47,415.71,411.15,410.63,399.13,398.02,391.13,390,173.626034914122,166.712327078714,164.89996967859,140.911319630468,137.120385063637,119.979164857904,116.576155366353,112.008928215567
74.4,460.8,0.18965,0.011241,2.0018E-05,0.022496,0.7766,3.0375,9.3,12.947,710.12,413.23,408.36,407.8,396.35,395.25,388.81,387.79,170.651692051383,163.661235483544,161.746715577164,138.19189556555,134.350288425444,118.055071894434,114.834663756202,106.522298135179
75.6,456.55,0.19022,0.010923,1.8074E-05,0.02186,0.77698,3.0096,9.45,12.787,699.78,410.75,405.57,404.97,393.56,392.47,386.48,385.58,167.621597653763,160.549057923116,158.52760012061,135.421564014008,131.518059596392,116.1034021896,113.066352200821,102.810505299799
76.8,452.3,0.1908,0.010605,1.6129E-05,0.021223,0.77736,2.9818,9.6,12.627,689.43,408.27,402.79,402.14,390.77,389.7,384.15,383.38,164.538749235552,157.375347497631,155.2417469626,132.589592351738,128.627368782853,114.113978109608,111.269942032878,98.955040296086
78,448.04,0.19138,0.010287,1.4184E-05,0.020586,0.77774,2.954,9.75,12.468,679.09,405.79,400,399.31,387.99,386.93,381.82,381.17,161.397025994905,154.136303316253,151.884824785098,129.699653045026,125.66622457924,112.089250153616,109.444049632678,94.9447207589764
79.2,443.9,0.19194,0.0099777,1.2376E-05,0.019968,0.77811,2.9263,9.9,12.308,669.32,403.33,397.26,396.51,385.31,384.26,379.58,379.05,158.404545389329,151.046350502089,148.657324071167,126.858188541379,122.788435937591,110.06816070054,107.619700798692,91.015785586
80.4,440.33,0.19241,0.009715,1.1247E-05,0.019442,0.77842,2.8995,10.05,12.132,660.32,400.91,394.61,393.8,382.92,381.89,377.63,377.18,155.7562197795,148.364416218984,145.808093053849,124.257796536073,120.241423810599,108.138799697426,105.863119168103,88.1237765872526
81.6,436.76,0.19289,0.0094523,1.0119E-05,0.018916,0.77873,2.8726,10.2,11.95,651.32,398.48,391.97,391.09,380.52,379.52,375.67,375.31,153.058812225889,145.633100633064,142.902064365775,121.601809197067,117.639279154541,106.174384858119,104.081698679451,85.1498678801089
82.8,433.19,0.19336,0.0091895,8.9898E-06,0.018391,0.77905,2.8458,10.35,11.767,642.31,396.06,389.32,388.38,378.13,377.15,373.72,373.45,150.316333111209,142.849571227918,139.935699519458,118.882294728862,114.973910083984,104.172933144843,102.264363294356,82.0688735148717
84,429.74,0.19382,0.0089365,7.9657E-06,0.017884,0.77935,2.8195,10.5,11.585,633.31,393.64,386.68,385.67,375.73,374.78,371.77,371.58,147.52287958144,140.01071387576,136.908728720999,116.1034021896,112.249721603218,102.132267183295,100.414142430237,79.0809711624737
85.2,426.7,0.19422,0.0087155,7.2864E-06,0.017442,0.77961,2.7947,10.65,11.403,623.16,391.25,384.12,383.05,373.47,372.55,369.92,369.81,144.896514795905,137.266164804004,134.026116857872,113.432799489389,109.695031792693,100.154880060834,98.6052736926377,76.7020208338737
86.4,423.67,0.19462,0.0084945,6.607E-06,0.017,0.77988,2.77,10.8,11.209,611.91,388.92,381.68,380.57,371.4,370.55,368.27,368.22,142.506140218589,134.681104836573,131.400152206913,110.986485663796,107.461621056078,98.3229373035611,96.8978843938298,74.2468854565631
87.6,420.63,0.19502,0.0082734,5.9275E-06,0.016557,0.78014,2.7452,10.95,11.013,600.65,386.59,379.25,378.1,369.33,368.54,366.62,366.64,140.074979921469,132.045446721953,128.716743277633,108.489630840924,105.185550338438,96.4572444142999,95.1598654896065,71.7077401679902
88.8,417.71,0.19541,0.0080618,5.3204E-06,0.016134,0.78039,2.7209,11.1,10.818,589.4,384.26,376.81,375.62,367.27,366.54,364.97,365.05,137.60087209026,129.356097652952,125.980157167706,105.929221652951,102.854265832779,94.5552748396408,93.3889715116298,69.2574905696128
90,415.08,0.19575,0.0078725,4.883E-06,0.015755,0.78062,2.6975,11.25,10.622,578.15,381.93,374.37,373.14,365.2,364.53,363.32,363.47,135.081456906564,126.609636284131,123.182791005887,103.310212467113,100.473877201987,92.6137138873072,91.5843873157429,67.160256104336
91.2,412.45,0.19609,0.0076832,4.4456E-06,0.015376,0.78084,2.6741,11.4,10.426,563.75,379.62,372.04,370.8,363.26,362.66,361.77,361.95,132.563192478154,123.81437719425,120.445008198763,100.9405765785,98.3387004185026,90.8575808614779,89.9105110651697,64.9946151615655
92.4,409.81,0.19644,0.0074938,4.0082E-06,0.014997,0.78107,2.6507,11.55,10.222,547.19,377.33,369.82,368.59,361.44,360.92,360.33,360.53,130.030765590302,120.958670627616,117.770964163498,98.8650595508848,96.4862684530809,89.3364427319557,88.4041854212797,62.7550794756887
93.6,407.33,0.19676,0.007316,3.6318E-06,0.014641,0.78128,2.6305,11.7,10.019,530.64,375.04,367.59,366.38,359.62,359.17,358.89,359.1,127.451951730839,118.033893437436,115.030430756387,96.7439920615229,94.5980972324497,87.7883819192494,86.8711689802779,60.654760736483
94.8,405.1,0.19704,0.0071582,3.3617E-06,0.014325,0.78147,2.6157,11.85,9.8157,514.08,372.76,365.37,364.17,357.8,357.43,357.45,357.67,124.819870213039,115.034777350156,112.227447623119,94.5758954491048,92.6709231636331,86.2131080520822,85.3111950449646,58.8803872269876
96,402.87,0.19733,0.0070005,3.0916E-06,0.01401,0.78166,2.6009,12,9.6123,497.52,370.47,363.14,361.97,355.98,355.69,356,356.25,122.131077126176,111.955348242056,109.348068112793,92.3569163625551,90.7033626719539,84.6079192510961,83.7215623361151,57.0499780893911
97.2,400.65,0.19762,0.0068427,2.8215E-06,0.013694,0.78185,2.5861,12.15,9.4118,479.63,368.18,360.99,359.88,354.3,354.1,354.65,354.9,119.544970617755,108.88526071053,106.57391800999,90.4013274238824,88.9443646331796,83.198557679806,82.3097807067908,55.1597679473001
98.4,398.54,0.19788,0.0066941,2.5916E-06,0.013397,0.78202,2.5723,12.3,9.2191,461.09,365.89,358.9,357.87,352.72,352.6,353.37,353.61,117,105.78752289377,103.846039885977,88.6278737192764,87.3315521446859,81.9383914901922,81.0327094450136,53.4162896502556
99.6,396.59,0.19813,0.0065579,2.415E-06,0.013124,0.78218,2.5597,12.45,9.0263,442.56,363.6,356.81,355.85,351.13,351.11,352.09,352.31,114.398426562606,102.591422643416,101.044544632553,86.8182008567328,85.6878054334454,80.6585395355011,79.7351867120157,51.9076102320267
100.8,394.65,0.19838,0.0064216,2.2385E-06,0.012851,0.78235,2.5471,12.6,8.8335,424.02,361.3,354.71,353.84,349.55,349.62,350.8,351.02,111.740771431022,99.2980362343586,98.1651669381762,84.9694062589589,84.0119039184329,79.3580493711886,78.4168349272017,50.3537486191445
102,392.7,0.19862,0.0062852,2.0619E-06,0.012578,0.78251,2.5345,12.75,8.6408,405.49,359.01,352.62,351.83,347.97,348.12,349.52,349.73,109.013760599293,95.8900411930248,95.1966385961185,83.0800818487801,82.3018833320356,78.0358891792744,77.0752878684212,48.7503846138674
103.2,390.85,0.19886,0.0061563,1.9112E-06,0.01232,0.78266,2.5184,12.9,8.4964,390.93,356.85,350.61,349.91,346.54,346.76,348.31,348.52,106.705201372754,92.7237833568066,92.3682846002891,81.3283468416763,80.6777540589722,76.8511548384278,75.8926873947681,47.3127889687344
104.4,389.11,0.19908,0.0060348,1.787E-06,0.012077,0.78281,2.4989,13.05,8.4104,377.66,354.72,348.63,348.04,345.17,345.45,347.14,347.35,104.532291661477,89.602455323501,89.5516610677881,79.6197211750958,79.0752805875515,75.7258212236751,74.7796763833597,46.0586582522765
105.6,387.36,0.1993,0.0059132,1.6627E-06,0.011834,0.78295,2.4793,13.2,8.3243,364.39,352.6,346.66,346.17,343.79,344.14,345.96,346.18,102.318131335556,86.3683969979761,86.6440996259988,77.8742576208595,77.4396539248465,74.5835102418759,73.6505261352558,44.7694091986928
106.8,385.61,0.19952,0.0057917,1.5385E-06,0.011591,0.7831,2.4598,13.35,8.2382,351.12,350.48,344.68,344.3,342.42,342.84,344.79,345.01,100.049987506246,83.0090356527529,83.6349209361736,76.0881068236029,75.7693869580585,73.4234295031225,72.5031033818553,43.4419152432302
108,384,0.19972,0.0056795,1.4357E-06,0.011366,0.78323,2.4418,13.5,8.1522,337.85,348.36,342.71,342.43,341.05,341.53,343.62,343.83,97.7317757947741,79.5072323754261,80.5133529298091,74.2596795037522,74.0607858451421,72.2447229906794,71.3379282009227,42.3272961574443
109.2,382.48,0.19991,0.0055744,1.3498E-06,0.011156,0.78336,2.4252,13.65,8.1784,330.93,346.49,340.89,340.68,339.79,340.29,342.51,342.74,95.8024008049903,76.7925777663441,77.8382939175827,72.6181795420403,72.4865504766229,71.08516019536,70.2388781231591,41.3835716196657
110.4,380.96,0.2001,0.0054694,1.264E-06,0.010946,0.78348,2.4085,13.8,8.2691,325.24,344.68,339.11,338.96,338.55,339.08,341.41,341.68,93.9356162485774,74.2152275479904,75.2117012172973,71.0007042218597,70.9224929059886,69.9170937611111,69.1462218779884,40.4190549122564
111.6,379.45,0.20029,0.0053644,1.178E-06,0.010735,0.78361,2.3919,13.95,8.3598,319.56,342.87,337.34,337.24,337.31,337.86,340.32,340.61,92.031516340871,71.5443918137543,72.4906890572851,69.3455117509418,69.3238775603327,68.729178665251,68.0352849630249,39.4309523090681
112.8,378.04,0.20047,0.0052675,1.107E-06,0.010541,0.78372,2.3761,14.1,8.4506,313.88,341.06,335.56,335.53,336.08,336.64,339.23,339.54,90.0871799980441,68.7706332674056,69.6627590610651,67.6505727987576,67.6875173130172,67.5203672975792,66.9066513883336,38.590154184714
114,376.71,0.20063,0.0051754,1.0448E-06,0.010357,0.78383,2.3609,14.25,8.5413,308.19,339.25,333.78,333.81,334.84,335.43,338.14,338.47,88.0993757072092,65.8794353345564,66.7150657647881,65.9113040380783,66.0106052085572,66.2902707793534,65.7586496211715,37.8351688247852
115.2,375.37,0.2008,0.0050832,9.8261E-07,0.010173,0.78394,2.3458,14.4,8.6297,306.5,337.54,332.27,332.33,333.7,334.28,337.11,337.48,86.1092329544283,63.9914056729496,64.668384856899,64.4072977231618,64.55230437405,65.0422939324867,64.5848279396949,37.0648081068822
116.4,374.04,0.20097,0.0049911,9.204E-07,0.0099884,0.78405,2.3306,14.55,8.7177,305.17,335.83,330.78,330.88,332.57,333.15,336.09,336.49,84.076750650819,62.1699284220273,62.6705672544936,62.8999205086938,63.0904113158252,63.7714669738748,63.3884847586689,36.2780925628677
117.6,372.79,0.20112,0.0049056,8.6932E-07,0.0098173,0.78415,2.317,14.7,8.8057,303.83,334.13,329.3,329.43,331.44,332.01,335.08,335.5,81.9939022122987,60.2942783355104,60.6069302967903,61.3563362661103,61.5946426241763,62.4739945897491,62.1691241694782,35.5851092453009
