cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,m/s,cm,KW/m2,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K
z,T_CL,X_O2,X_CO2,X_Methanol,X_H2O,X_N2,U,r_rad1,radHF,T_3.8,T_30.8,T_40,T_41,T_50,T_51,T_60,T_61,T_30.8_RMS,T_40_RMS,T_41_RMS,T_50_RMS,T_51_RMS,T_60_RMS,T_61_RMS,T_CL_RMS
0,672.55,0.0020026,0.028065,0.74844,0.056165,0.16533,0.012686,0,11.908,947.01,1110.4,896.45,873.31,685.87,670.27,554.27,542.44,322.335229225724,368.320512597384,364.252659564759,291.176922162454,284.371236238829,209.057408383439,198.461583184253,56.9771884178221
1.2,855.5,0.0044316,0.048683,0.55889,0.097427,0.29057,0.08074,0.15,11.924,951.4,1104.4,894.06,871.02,683.89,668.48,553.58,541.73,326.113477182407,368.537650722419,364.527090899977,291.190659190847,284.244612965664,208.818102663538,198.350699519815,127.80453826058
2.4,923.94,0.0050869,0.059554,0.46185,0.11918,0.35433,0.23232,0.3,11.941,955.8,1098.4,891.67,868.73,681.91,666.68,552.9,541.03,329.863608177683,368.768219888862,364.815021620547,291.202678559109,284.11617342207,208.578522384257,198.239753833584,156.709923106356
3.6,966.53,0.0060142,0.06596,0.40208,0.132,0.39395,0.45037,0.45,11.957,960.19,1092.4,889.27,866.44,679.93,664.88,552.21,540.32,333.556591900085,368.985094549902,365.089030237831,291.214697431294,283.987675788933,208.338666598402,198.128746021369,164.35632023138
4.8,999.29,0.006978,0.070325,0.35977,0.14074,0.42219,0.67971,0.6,11.974,964.58,1086.3,886.88,864.15,677.95,663.09,551.53,539.61,337.209133921369,369.215384294858,365.362833358841,291.226715807462,283.859119987363,208.100937047386,198.015150935478,165.426720937097
6,1028.3,0.0079335,0.07374,0.32568,0.14757,0.44508,0.91203,0.75,11.998,970.93,1073.1,880.2,857.84,674.73,660.13,550.13,538.24,342.198772645373,369.29662874172,365.362833358841,291.077309318332,283.619463365969,207.410221541755,197.355010070685,166.129467584773
7.2,1053,0.0090637,0.076422,0.29708,0.15294,0.46449,1.1383,0.9,12.026,977.82,1057.2,871.73,849.84,670.94,656.62,548.37,536.52,347.606098910822,369.310167745217,365.253336740405,290.850477049635,283.324901835331,206.484866273536,196.402647639995,166.715326230074
8.4,1073.3,0.010502,0.078497,0.27229,0.15709,0.48162,1.3493,1.05,12.054,984.7,1041.2,863.26,841.84,667.15,653.12,546.6,534.8,352.930588076466,369.337244263288,365.143807286937,290.621747293626,283.031800333461,205.555345345238,195.445644617628,166.799280573988
9.6,1090.8,0.012108,0.080191,0.24996,0.16048,0.49726,1.5433,1.2,12.082,991.58,1025.3,854.79,833.84,663.35,649.61,544.84,533.09,358.175934423294,369.364318796497,365.03424496888,290.394559177682,282.736626562602,204.621601987669,194.486503387767,168.181449631046
10.8,1106.3,0.013764,0.08163,0.22963,0.16336,0.51162,1.7229,1.35,12.114,1000.7,1006.7,844.84,824.54,659.33,645.89,542.93,531.25,362.93250061134,369.242467763393,364.732778894357,290.027584894954,282.320739585316,203.708124531154,193.52519215854,171.222078015658
12,1120.1,0.015505,0.08283,0.211,0.16576,0.52491,1.8884,1.5,12.154,1011.6,984.97,832.89,813.43,654.94,641.82,540.72,529.17,367.164813128927,368.930887836733,364.142829120662,289.43565778943,281.703745094026,202.842303280159,192.566871501824,174.897112611958
13.2,1132.9,0.017351,0.083843,0.1934,0.16779,0.53761,2.0428,1.65,12.195,1022.4,963.28,820.94,802.33,650.54,637.76,538.51,527.09,371.362356735305,368.605480154596,363.565674947457,288.840786593583,281.085396276648,201.972770441958,191.60636732635,178.530109505372
14.4,1144.9,0.01932,0.084662,0.17691,0.16943,0.54968,2.189,1.8,12.235,1033.3,941.59,808.99,791.23,646.14,633.69,536.31,525.01,375.499667110372,368.293361330339,362.973828257631,288.246422354207,280.465684175444,201.099477871028,190.64102391668,182.120839005315
15.6,1156.2,0.021438,0.085288,0.16138,0.17068,0.56121,2.3283,1.95,12.276,1045.3,919.64,796.87,779.99,641.65,629.55,534.1,522.93,378.827137359509,367.777106410935,362.229209203234,287.567383407785,279.774909525497,200.242353162362,189.689219514447,186.279360101972
16.8,1166.1,0.023795,0.085674,0.14681,0.17145,0.57227,2.4606,2.1,12.334,1059.5,896.77,783.87,768.01,636.35,624.7,531.76,520.79,379.565541112467,366.251279861245,360.596727661248,286.115361349229,278.386422082687,199.947493107566,189.401689538399,190.939781082937
18,1174.2,0.026446,0.0858,0.13307,0.17171,0.58298,2.5852,2.25,12.392,1073.7,873.9,770.88,756.04,631.04,619.85,529.43,518.65,380.302511167097,364.732778894357,358.942892393762,284.657689163669,276.992779689291,199.649693212887,189.111078469771,196.72569735548
19.2,1180.4,0.029356,0.085686,0.12021,0.17148,0.59326,2.7025,2.4,12.449,1087.9,851.05,757.89,744.07,625.74,615,527.1,516.51,381.024933567345,363.194162948691,357.295395996086,283.194279603243,275.59208987197,199.353956569716,188.822668130709,204.279220676015
20.4,1184.2,0.032562,0.085301,0.10836,0.17071,0.60307,2.8116,2.55,12.507,1102.1,828.24,744.9,732.1,620.44,610.16,524.77,514.36,381.680494654888,361.649001104662,355.640267686324,281.72326847458,274.186068209163,199.0577805563,188.533816595326,213.810663906177
21.6,1184.6,0.036209,0.084575,0.097239,0.16925,0.61272,2.9119,2.7,12.58,1116.5,806.74,731.86,720.12,614.5,604.7,522.07,511.89,377.809475794348,358.594478485099,352.746367805538,280.053566304734,272.605942708518,198.622758011261,188.172792932453,224.882191380287
22.8,1182,0.040205,0.083559,0.086959,0.16722,0.62205,3.0048,2.85,12.658,1130.9,785.25,718.82,708.15,608.45,599.13,519.25,509.3,373.911754295048,355.415250094871,349.728466099058,278.339720485596,270.985239450417,198.141363677552,187.78977607953,237.55209954871
24,1176.7,0.044525,0.082279,0.077427,0.16466,0.63111,3.0909,3,12.735,1145.2,763.76,705.78,696.18,602.41,593.56,516.42,506.72,369.972971985792,352.221521205051,346.684294423615,276.617063826511,269.356640905696,197.661326515836,187.405976425513,251.338417278378
25.2,1168.7,0.049147,0.080741,0.068678,0.16158,0.63985,3.1716,3.15,12.813,1159.4,742.28,692.75,684.21,596.36,587.98,513.6,504.14,365.991803186902,348.984240331852,343.627705518632,274.88361173413,267.716267716402,197.177584932974,187.018715640975,265.680258958019
26.4,1157.8,0.054052,0.078961,0.060685,0.15802,0.64828,3.2452,3.3,12.899,1169.1,723.71,680.37,672.75,590.4,582.4,510.47,501.25,360.860083688956,344.891287219611,339.882332579968,273.212371608608,266.046988331009,196.257483933734,186.204188996918,280.298055647912
