s,kg/m2/s,,Hz,m2/s2/Hz2
Time,MLRPUA,HRR,Frequency,Turbulent energy spectrum
0.1,0.000161695,0.0166651,0,0
0.2,0.00015931,0.048022,0.33278,2929.17059098288
0.3,0.00015768,0.0868395,0.66556,24104.4807584636
0.4,0.000156464,0.130965,0.99834,10149.1998924956
0.5,0.000155502,0.179777,1.33111,26011.8644412831
0.6,0.000154733,0.232265,1.66389,18899.4160491963
0.7,0.000154134,0.286957,1.99667,41771.2669838017
0.8,0.000153664,0.343735,2.32945,7570.67294026665
0.9,0.00015331,0.401982,2.66223,9585.11232196488
1,0.000153058,0.461305,2.99501,4670.63149302981
1.1,0.000152897,0.521545,3.32779,6109.13406553925
1.2,0.000152816,0.582161,3.66057,3341.50626925764
1.3,0.00015281,0.642997,3.99334,2102.96375034893
1.4,0.000152867,0.704612,4.32612,782.572521727808
1.5,0.000152988,0.765881,4.6589,335.984504521038
1.6,0.000153168,0.827404,4.99168,537.105885456296
1.7,0.000153663,0.888456,5.32446,1250.8742872
1.8,0.000154552,0.949424,5.65724,1525.55521493789
1.9,0.00015648,1.01117,5.99002,1083.41578439955
2,0.000159593,1.07471,6.3228,567.455287898981
2.1,0.00016285,1.14132,6.65557,423.55459560373
2.2,0.000166168,1.21076,6.98835,351.217159312912
2.3,0.000169599,1.2833,7.32113,324.776851823956
2.4,0.00017321,1.35977,7.65391,353.946414864251
2.5,0.000177226,1.44138,7.98669,863.89880633453
2.6,0.000181338,1.52952,8.31947,889.351960779523
2.7,0.000185747,1.62604,8.65225,479.348243487555
2.8,0.000190932,1.73282,8.98502,599.644073601615
2.9,0.000197331,1.85448,9.3178,237.440855101992
3,0.000205557,1.99636,9.65058,488.778065148977
3.1,0.0002173,2.16941,9.98336,512.010863971432
3.2,0.000234324,2.39114,10.31614,506.270575921686
3.3,0.000255576,2.69533,10.64892,573.565736779872
3.4,0.000282145,3.13237,10.9817,560.925624567999
3.5,0.000314625,3.78466,11.31448,724.019896566235
3.6,0.000355359,4.74656,11.64725,421.382213153995
3.7,0.000403617,6.0377,11.98003,491.048441762239
3.8,0.000458736,7.56988,12.31281,345.700917530598
3.9,0.000518536,9.21202,12.64559,395.8627380776
4,0.000576868,10.8219,12.97837,433.997918759565
4.1,0.000634512,12.1469,13.31115,464.625261667527
4.2,0.00068355,13.123,13.64393,571.292994247964
4.3,0.000729991,13.7963,13.97671,375.685248947385
4.4,0.00076648,14.2357,14.30948,539.394306409763
4.5,0.000791395,14.4149,14.64226,397.935974902802
4.6,0.000807829,14.3421,14.97504,409.59336933408
4.7,0.000810438,14.1804,15.30782,483.595336946515
4.8,0.000819657,14.03,15.6406,488.695749941138
4.9,0.000837256,14.0836,15.97338,356.033755304399
5,0.000860674,14.3181,16.30616,373.806606974537
5.1,0.000893357,14.758,16.63894,476.270535865096
5.2,0.000925389,15.301,16.97171,422.841792627396
5.3,0.000948473,15.7594,17.30449,317.559470212733
5.4,0.000966484,16.0569,17.63727,297.630651822919
5.5,0.000978191,16.2726,17.97005,419.77662396007
5.6,0.000991255,16.4694,18.30283,440.258338827504
5.7,0.00101145,16.7855,18.63561,705.054488356621
5.8,0.00103622,17.1632,18.96839,541.058050179965
5.9,0.00106531,17.6598,19.30116,560.956945078281
6,0.00108388,18.1644,19.63394,475.413330706602
6.1,0.00111161,18.6076,19.96672,807.278463579498
6.2,0.0011386,19.0065,20.2995,349.231989819898
6.3,0.00114681,19.2256,20.63228,430.967042490626
6.4,0.00116188,19.3316,20.96506,445.170191658645
6.5,0.00117624,19.4428,21.29784,350.836894196374
6.6,0.00120049,19.7146,21.63062,478.448548685166
6.7,0.00125082,20.2539,21.96339,363.334053342199
6.8,0.00128889,20.8738,22.29617,518.369790001791
6.9,0.00133811,21.7619,22.62895,543.675273116434
7,0.00139072,22.6701,22.96173,422.834061587455
7.1,0.00147998,24.0421,23.29451,383.399601224195
7.2,0.00156593,25.6515,23.62729,370.684587801584
7.3,0.00164816,27.2979,23.96007,517.532229355453
7.4,0.00175169,29.0654,24.29285,471.788888518832
7.5,0.00186397,30.6993,24.62562,483.690987390356
7.6,0.00197304,32.301,24.9584,466.690695600447
7.7,0.00207437,33.6322,25.29118,523.958094778353
7.8,0.00219579,35.1811,25.62396,489.178567927534
7.9,0.00228791,36.3225,25.95674,513.299425379643
8,0.00237739,37.78,26.28952,472.765474268431
8.1,0.00250044,39.2306,26.6223,566.930511540796
8.2,0.00264412,41.1313,26.95507,547.006909590688
8.3,0.00274117,42.3232,27.28785,659.537647198872
8.4,0.002919,43.8023,27.62063,569.011678282879
8.5,0.00309181,45.2077,27.95341,539.291274366563
8.6,0.00323293,47.9269,28.28619,421.83196095825
8.7,0.00343819,51.7657,28.61897,314.567648229281
8.8,0.00362562,55.5404,28.95175,383.424997933973
8.9,0.00385069,58.4524,29.28453,375.364342744672
9,0.0041373,60.4493,29.6173,437.385122626891
9.1,0.004449,65.171,29.95008,513.381230280799
9.2,0.00491169,70.7761,30.28286,603.202708429538
9.3,0.00549896,77.37,30.61564,594.291268861066
9.4,0.00600182,82.3986,30.94842,542.544840268333
9.5,0.00656653,84.8635,31.2812,694.311393948703
9.6,0.00714956,86.3911,31.61398,433.250214414272
9.7,0.00770821,92.0819,31.94676,635.979254470134
9.8,0.00808896,101.392,32.27953,657.683257915596
9.9,0.0083465,115.158,32.61231,620.745997859456
10,0.00881465,127.853,32.94509,606.776610880946
10.1,0.0096673,138.321,33.27787,673.928545853415
10.2,0.0107689,143.57,33.61065,591.139269927331
10.3,0.0116693,152.475,33.94343,445.116289471888
10.4,0.0123322,157.851,34.27621,519.904149622136
10.5,0.0126345,161.984,34.60899,658.401617953687
10.6,0.0132268,169.954,34.94176,651.363038173811
10.7,0.0135375,179.042,35.27454,618.531097089824
10.8,0.0136267,191.059,35.60732,521.935388873002
10.9,0.0136537,212.687,35.9401,517.487751620007
11,0.0140391,229.025,36.27288,644.053001738196
11.1,0.0147405,226.308,36.60566,492.951002787956
11.2,0.0153289,236.907,36.93844,364.946376780035
11.3,0.0157791,239.075,37.27121,401.409094786124
11.4,0.0159105,236.422,37.60399,754.050041462695
11.5,0.0161407,243.364,37.93677,678.099394219087
11.6,0.0171603,254.747,38.26955,639.413494763263
11.7,0.0176001,270.472,38.60233,990.856310088517
11.8,0.0178405,268.657,38.93511,718.459293941341
11.9,0.0180824,264.962,39.26789,797.908586187679
12,0.0186669,273.958,39.60067,684.719934500105
12.1,0.0192844,279.166,39.93344,813.111986729465
12.2,0.0192656,278.405,40.26622,583.513042447319
12.3,0.0183778,278.454,40.599,624.659246248261
12.4,0.0178567,280.379,40.93178,627.565861339249
12.5,0.0179624,292.322,41.26456,558.340153904974
12.6,0.0186177,308.007,41.59734,835.559270166404
12.7,0.0186724,329.264,41.93012,758.592771091726
12.8,0.0200314,321.028,42.2629,768.592766058687
12.9,0.0204932,319.034,42.59567,644.867359615905
13,0.0205331,308.631,42.92845,588.588689885091
13.1,0.0193808,298.037,43.26123,504.612255317481
13.2,0.0177268,291.813,43.59401,650.236317118404
13.3,0.018026,303.293,43.92679,708.250562527787
13.4,0.0190915,309.793,44.25957,720.691500284518
13.5,0.0200324,320.005,44.59235,699.293122710707
13.6,0.0210742,313.582,44.92512,766.770953356881
13.7,0.0206402,299.23,45.2579,763.296279155137
13.8,0.0192607,300.879,45.59068,908.363671824006
13.9,0.0179725,306.109,45.92346,876.423342797445
14,0.0181292,323.953,46.25624,762.961029479387
14.1,0.0188137,328.475,46.58902,935.02550221916
14.2,0.0195035,339.653,46.9218,1120.41279024549
14.3,0.0205263,337.579,47.25458,1075.48356846986
14.4,0.0206826,306.107,47.58735,944.847586690914
14.5,0.0196885,301.548,47.92013,820.597135954719
14.6,0.0184079,300.668,48.25291,775.610131357553
14.7,0.0182513,310.313,48.58569,657.130005243031
14.8,0.0181712,319.65,48.91847,984.647135259101
14.9,0.019193,324.166,49.25125,791.497711735002
15,0.0199944,307.649,49.58403,821.500700455456
15.1,0.0205134,299.085,49.91681,1080.76490190847
15.2,0.019085,298.538,50.24958,1820.98651559448
15.3,0.017817,303.576,50.58236,1703.76920597249
15.4,0.0176958,329.012,50.91514,1107.76981046342
15.5,0.0184484,305.659,51.24792,1984.95751948951
15.6,0.019215,318.461,51.5807,1224.39553460244
15.7,0.0198403,320.967,51.91348,2108.42811811942
15.8,0.0202682,314.953,52.24626,1432.9859666498
15.9,0.0187926,304.786,52.57903,2165.42933659571
16,0.0182113,306.657,52.91181,1341.13348486465
16.1,0.0172252,324.764,53.24459,1815.33143227526
16.2,0.0182345,282.661,53.57737,1502.15060048986
16.3,0.0188034,294.976,53.91015,1655.61050831991
16.4,0.0197823,301.017,54.24293,1641.76231233192
16.5,0.019453,290.913,54.57571,1552.5815266848
16.6,0.0180529,308.287,54.90849,1592.83559594974
16.7,0.0175913,335.134,55.24126,1525.5978096255
16.8,0.0177193,316.928,55.57404,1434.11003320697
16.9,0.0183406,296.892,55.90682,1818.13918281679
17,0.0194131,316.564,56.2396,1245.75461546303
17.1,0.0200682,320.48,56.57238,1769.90624658801
17.2,0.0197958,306.486,56.90516,1443.62351823944
17.3,0.0184851,310.784,57.23794,1739.42108425296
17.4,0.0172774,311.232,57.57072,1787.77513746848
17.5,0.0178308,325.435,57.90349,1730.40200002793
17.6,0.0191279,295.663,58.23627,1771.16290848317
17.7,0.0195119,319.798,58.56905,1668.28157094456
17.8,0.0196829,321.18,58.90183,2362.97937057301
17.9,0.0195609,327.837,59.23461,1470.26134066588
18,0.0190005,322.437,59.56739,1922.24664302911
18.1,0.0184251,304.52,59.90017,1723.42150807546
18.2,0.0184975,302.458,60.23295,2054.79620080403
18.3,0.0186462,309.629,60.56572,1257.9630629345
18.4,0.019195,308.248,60.8985,2468.54580448639
18.5,0.0192991,320.491,61.23128,1496.75360160447
18.6,0.0194892,340.772,61.56406,1845.82502523262
18.7,0.0195365,319.351,61.89684,1506.95199475085
18.8,0.0195106,299.148,62.22962,2109.38645880082
18.9,0.0189763,306.265,62.5624,1756.10870380489
19,0.0188858,315.975,62.89517,2201.15955042387
19.1,0.0188753,321.692,63.22795,1488.32725481279
19.2,0.0194563,323.403,63.56073,1519.14770474948
19.3,0.019904,313.591,63.89351,1747.50044453436
19.4,0.0198195,322.246,64.22629,1582.65831179011
19.5,0.0196521,332.45,64.55907,1809.04112198438
19.6,0.0186765,315.016,64.89185,1922.90649347167
