s,kg/m2/s,kW,Hz,m2/s2/Hz2
Time,MLRPUA,HRR,Frequency,Turbulent energy spectrum
0.1,0.00016139,0.0311009,0,0
0.2,0.000158912,0.0898666,0.33278,3435.63217796566
0.3,0.000157342,0.162478,0.66556,5553.79468122903
0.4,0.000156299,0.243284,0.99834,7147.15252639607
0.5,0.000155594,0.330693,1.33111,11659.3540371422
0.6,0.000155154,0.423212,1.66389,436349.378382813
0.7,0.000154929,0.518463,1.99667,46358.2522223561
0.8,0.000155159,0.615993,2.32945,7084.31087675742
0.9,0.000156696,0.715868,2.66223,90035.3192041761
1,0.000158423,0.817877,2.99501,75862.3057786389
1.1,0.000160373,0.921764,3.32779,118465.698764922
1.2,0.000162985,1.02713,3.66057,93407.6862400359
1.3,0.000166532,1.1354,3.99334,49138.7652735636
1.4,0.000170656,1.24967,4.32612,54319.2938311443
1.5,0.000175438,1.37214,4.6589,45012.8420325467
1.6,0.000183063,1.51408,4.99168,67415.0608885917
1.7,0.000194374,1.69061,5.32446,12759.2232418462
1.8,0.00020833,1.91354,5.65724,112574.369829437
1.9,0.000224827,2.18774,5.99002,48432.1655229852
2,0.000242264,2.51645,6.3228,37022.4967921126
2.1,0.000262783,2.901,6.65557,46415.950523123
2.2,0.000289913,3.29374,6.98835,2445.21320792349
2.3,0.000325145,3.65548,7.32113,29865.7738352611
2.4,0.000362986,4.07108,7.65391,24640.1377007053
2.5,0.000404066,4.66429,7.98669,9972.59035540651
2.6,0.000450012,5.45224,8.31947,44665.260378177
2.7,0.000497921,6.39179,8.65225,29953.4725295676
2.8,0.000540134,7.39551,8.98502,38022.8233956106
2.9,0.000579837,8.40976,9.3178,5061.90872437843
3,0.000621494,9.39476,9.65058,19541.761946204
3.1,0.000663136,10.3822,9.98336,21686.3540947707
3.2,0.000689755,11.3398,10.31614,10477.2583275322
3.3,0.000711531,12.2502,10.64892,7912.32063626958
3.4,0.000735006,13.0265,10.9817,12188.9183506843
3.5,0.000757687,13.7326,11.31448,6183.92043432808
