cm,K,K,cm,K,K,K,K,K,K,K,K,K,K
z,T_CL,T_CL_RMS,r,T_21,T_21_RMS,T_61,T_61_RMS,T_101,T_101_RMS,T_141,T_141_RMS,T_181,T_181_RMS
0,396.75,29.4117323529234,0,1400.9,290.120664551838,1166.5,427.375712927162,853,435.488231758333,645.32,332.099382715476,518.44,205.263245614016
2.2,1068.7,192.790041236574,0.5,1396.1,295.986486178001,1163,428.50904307844,853.38,435.178124450207,645.86,332.94143629173,518.13,204.929256086094
4.4,1227.4,215.320691063353,1,1391.2,301.739954265258,1159.5,429.627745845168,853.76,434.87929359766,646.4,333.781365567343,517.83,204.592277469117
6.6,1300.4,225.628012445264,1.5,1386.4,307.384124508733,1156,430.743543190145,854.13,434.568751752815,646.94,334.634128564317,517.52,204.257190815893
8.8,1345,233.888862496699,2,1380.5,314.590209637872,1145.9,433.347435667964,849.23,431.578498074221,644.96,332.926418296896,516.63,203.258456158655
11,1373.1,242.713823256938,2.5,1373.2,324.114177412837,1130.8,436.978260328818,842.69,427.738237710869,642.42,330.620628515524,515.52,202.01237585851
13.2,1388.6,253.005928784288,3,1365.8,333.376663850366,1115.7,440.590512834764,836.16,423.851389050455,639.88,328.298644529642,514.41,200.756070892016
15.4,1397.2,264.06249260355,3.5,1358.4,342.388668036779,1099.4,443.722886495615,826.64,418.557045096603,635.71,324.330078777779,512.96,199.133121303313
17.6,1401,276.358462870237,4,1348.8,350.984330134552,1076.7,444.544710912187,814.49,411.94659848092,630.58,319.343075703858,511.1,197.081201538858
19.8,1401.1,288.963665535998,4.5,1338.6,359.332714903611,1053.9,445.365018832867,802.33,405.228330697645,625.45,314.286493505528,509.25,195.005128137698
22,1398.2,301.358590386934,5,1328.5,367.491496500259,1031.1,446.183818621877,789.52,398.095465937506,619.53,308.374771990187,507.29,192.818567570657
24.2,1393.9,312.920117601921,5.5,1317.7,374.753252154001,1007.6,443.125264456903,775.2,390.089733266591,612.63,301.38845366072,504.89,190.257719948495
26.4,1387.8,324.114177412837,6,1304.7,379.209704517171,983.73,438.759615279255,760.88,381.916221179462,605.73,294.237998905648,502.5,187.659265691838
28.6,1380.5,334.170615105518,6.5,1291.7,383.627423420172,959.91,434.350089213759,746.57,373.550532056909,598.63,286.830960671961,500.11,185.027025053099
30.8,1372.2,343.438495221488,7,1278.7,387.981958343426,937.23,428.870609858032,732.49,364.691650576209,590.99,279.017920571421,497.36,182.200439077407
33,1362.9,352.05113264979,7.5,1264.7,390.358809302416,916.59,421.473605342019,718.41,355.626208258053,583.34,270.979704037037,494.6,179.318153013018
35.2,1352.6,359.874978291073,8,1250,391.663120551323,895.95,413.944440716384,704.32,346.309110477908,575.71,262.798401821624,491.83,176.39160977779
37.4,1340.9,367.123957267842,8.5,1235.4,392.963102593615,875.3,406.275768413525,690.97,336.823395861986,568.23,255.425135803037,488.92,173.438749995496
39.6,1327.9,373.978609013938,9,1220.4,394.309523090681,857.28,397.731064916986,677.74,327.077972355217,560.74,247.83260479606,485.96,170.443539038592
41.8,1313.6,380.919939094818,9.5,1202.4,396.13129136689,839.32,388.998714650833,664.51,317.017349682947,553.25,240,482.99,167.394743047684
44,1297.9,387.76281410161,10,1184.4,397.944719779017,821.35,380.052627934606,652.34,307.434545879281,546.37,233.415937759186,479.97,164.353278032414
46.2,1281.2,394.46165846632,10.5,1166.4,399.749921826134,804.75,371.712254304321,640.76,298.003355685804,539.54,226.786242969013,476.88,161.328856687203
48.4,1263.9,400.811676476622,11,1145.2,402.032337007858,789.01,363.716922894715,629.19,288.263768101369,532.71,219.956813943101,473.79,158.249802527523
50.6,1246,406.657103712698,11.5,1121.7,404.635638568824,773.26,355.527776692624,618.23,279.062716965201,526.46,213.925220579529,470.68,155.161206491829
52.8,1227.8,412.019417018179,12,1098.2,407.222298014242,758.02,347.821793451762,608.11,270.778507271164,520.4,208.081714718041,467.53,152.213665615148
