cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,m/s,cm,KW/m2,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K
z,T_CL,X_O2,X_CO2,X_Methanol,X_H2O,X_N2,U,r_rad1,radHF,T_3.8,T_30.8,T_40,T_41,T_50,T_51,T_60,T_61,T_3.8_RMS,T_30.8_RMS,T_40_RMS,T_41_RMS,T_50_RMS,T_51_RMS,T_60_RMS,T_61_RMS,T_CL_RMS
0,696.18,0.00085008,0.030929,0.72873,0.061896,0.1776,0.0069326,0,12.875,956.2,1062.9,885.15,868.48,736.38,723.87,628.85,619.02,70.4528210932678,336.838240109403,355.851092453009,351.965907439911,300.955146159689,294.164919730412,228.100854886605,219.772609758359,4.65843321300199
1.2,841.22,0.0021615,0.04852,0.57046,0.0971,0.28175,0.084299,0.15,12.888,961.91,1059.2,883.61,866.95,735.16,722.74,628.52,618.75,72.7784308706914,338.570524411089,355.865142996613,351.951701231859,300.469632409001,293.703932557942,227.912263820971,219.588251051827,21.1558502547168
2.4,922.45,0.0034841,0.060393,0.46156,0.12086,0.35371,0.28745,0.3,12.902,967.63,1055.6,882.07,865.43,733.93,721.61,628.19,618.47,75.0319931762445,340.308683403759,355.89324241969,351.951701231859,299.981666106447,293.243925768293,227.72351657218,219.403737433983,50.0609628353271
3.6,985.9,0.0044316,0.068501,0.38697,0.13709,0.40301,0.54125,0.45,12.915,973.34,1051.9,880.53,863.9,732.71,720.48,627.86,618.2,77.2198161095971,342.023391012954,355.907291299293,351.937494450364,299.492904757358,292.781488485867,227.532415273077,219.221349325288,71.9173136316979
4.8,1035.3,0.0052518,0.074158,0.33417,0.14841,0.43801,0.80253,0.6,12.928,979.06,1048.2,878.99,862.38,731.48,719.35,627.53,617.93,79.3467075561425,343.744090858301,355.93538739496,351.937494450364,299.005016680323,292.320030103994,227.343352662883,219.036526634258,84.6486857547121
6,1075.2,0.0061491,0.078325,0.29389,0.15675,0.46489,1.0578,0.75,12.942,984.77,1044.5,877.44,860.86,730.26,718.22,627.2,617.66,81.4186710773395,345.441746174373,355.949434611154,351.923287095355,298.514656256607,291.856128940271,227.151931534821,218.85154785836,92.5013513414804
7.2,1108.3,0.0071846,0.081495,0.26156,0.16309,0.48667,1.3008,0.9,12.955,990.49,1040.8,875.9,859.33,729.03,717.09,626.87,617.39,83.4391994208957,347.131099154196,355.977527380592,351.923287095355,298.025166722544,291.391489237417,226.962551977193,218.666412601478,97.618133561342
8.4,1136.1,0.0084166,0.083946,0.2345,0.168,0.50514,1.5278,1.05,12.968,996.2,1037.2,874.36,857.81,727.81,715.96,626.54,617.12,85.4119429588158,348.826604489967,355.991572933967,351.923287095355,297.533191425763,290.927826101251,226.773014267571,218.48112046582,101.385403288639
9.6,1159.2,0.0099261,0.085815,0.21116,0.17174,0.52136,1.7379,1.2,12.982,1001.9,1033.5,872.82,856.28,726.58,714.83,626.21,616.85,87.3401396838819,350.499643366438,356.019662378358,351.909079166764,297.040401292484,290.461701434113,226.581111304539,218.295671051902,103.884551305764
