s,kg/m2/s,Kw,Hz,m2/s2/Hz2
Time,MLRPUA,HRR,Frequency,Turbulent energy spectrum
0.1,0.000161948,0.00316255,0,0
0.2,0.000159635,0.00985791,0.66445,2891.64089961614
0.3,0.000158299,0.0183217,1.3289,3982.42157188727
0.4,0.000157534,0.0278916,1.99336,175829.411094308
0.5,0.000157159,0.0382343,2.65781,202448.144446525
0.6,0.000157095,0.0490838,3.32226,464936.911560467
0.7,0.000157264,0.0601223,3.98671,259192.861285061
0.8,0.000157636,0.071301,4.65116,695204.656144336
0.9,0.000158176,0.082464,5.31561,745927.042610731
1,0.000158862,0.0935252,5.98007,128226.627155091
1.1,0.000160295,0.104505,6.64452,621437.048210229
1.2,0.000170269,0.116367,7.30897,1386519.97948193
1.3,0.000189124,0.131669,7.97342,193307.888647815
1.4,0.000217037,0.153244,8.63787,324209.098626276
1.5,0.000256539,0.185469,9.30233,80609.4983572808
1.6,0.000317491,0.240114,9.96678,540731.687402888
1.7,0.000392803,0.331379,10.63123,269752.574330543
1.8,0.000467638,0.456555,11.29568,558958.221127554
1.9,0.000531626,0.576253,11.96013,146855.557310495
2,0.0005756,0.665422,12.62458,1852758.25952318
2.1,0.000599866,0.728983,13.28904,1030219.26947361
2.2,0.00061337,0.787741,13.95349,281563.790635802
2.3,0.000631893,0.827476,14.61794,441844.39486758
2.4,0.000634471,0.862209,15.28239,293608.52014032
2.5,0.000631279,0.917316,15.94684,779801.328517764
2.6,0.000651925,0.99525,16.6113,682312.188676155
2.7,0.000645887,1.01638,17.27575,326519.268294533
2.8,0.00060306,0.958222,17.9402,1635136.11048166
2.9,0.000573633,0.890999,18.60465,216015.439048986
3,0.000607395,0.886498,19.2691,515079.527633765
3.1,0.000669249,0.947456,19.93355,369379.041104055
3.2,0.000713184,1.00202,20.59801,305501.045477228
3.3,0.000745062,1.0506,21.26246,272635.447395105
3.4,0.000778269,1.10593,21.92691,403284.969258073
3.5,0.000796413,1.13651,22.59136,44817.9137675051
3.6,0.000824171,1.15361,23.25581,365598.131955067
3.7,0.000818055,1.14824,23.92027,169111.152791489
3.8,0.000815137,1.15238,24.58472,165544.423984276
3.9,0.000815131,1.16997,25.24917,453327.083986306
4,0.000821561,1.19473,25.91362,74256.185330855
4.1,0.000832126,1.22118,26.57807,72282.0437341137
4.2,0.000857593,1.2548,27.24252,237124.599483455
4.3,0.000879313,1.27997,27.90698,201123.966622521
4.4,0.00089555,1.29006,28.57143,147641.452221152
4.5,0.000913644,1.31289,29.23588,236516.058525449
4.6,0.000924773,1.33868,29.90033,300562.426601908
4.7,0.000933978,1.38229,30.56478,273574.752722534
4.8,0.00095459,1.435,31.22924,250964.582149388
4.9,0.00097456,1.46607,31.89369,162366.349788698
5,0.000982095,1.46572,32.55814,179254.900673558
5.1,0.00100614,1.48967,33.22259,221025.518765028
5.2,0.001032,1.5328,33.88704,172569.126678895
5.3,0.00106217,1.59169,34.5515,117922.552425395
5.4,0.00109969,1.67622,35.21595,201642.41449185
5.5,0.00112711,1.71279,35.8804,64886.4212124909
5.6,0.00114127,1.73266,36.54485,100154.018193737
5.7,0.00115705,1.75542,37.2093,93710.0821843494
5.8,0.00116913,1.77104,37.87375,191904.969821376
5.9,0.00119567,1.81698,38.53821,130838.644674526
6,0.00123406,1.86098,39.20266,90749.2653703775
6.1,0.00125948,1.85684,39.86711,42962.4406468209
6.2,0.0012617,1.86527,40.53156,31993.2993782868
6.3,0.00129941,1.93346,41.19601,27053.9717931792
6.4,0.00134769,1.99911,41.86047,108553.880569398
6.5,0.00137393,2.06054,42.52492,86694.267279313
6.6,0.00140262,2.10855,43.18937,100586.994204345
6.7,0.00142213,2.13229,43.85382,84457.9509723265
6.8,0.00144034,2.16868,44.51827,31450.2152826462
6.9,0.00149407,2.23947,45.18272,43946.1760701737
7,0.00154053,2.28372,45.84718,29971.2822253043
7.1,0.00156259,2.31113,46.51163,27560.1394266701
7.2,0.00156869,2.32333,47.17608,64060.9638686992
7.3,0.00160691,2.38581,47.84053,84482.575431985
7.4,0.00168685,2.49277,48.50498,64528.3691154438
7.5,0.00174449,2.59753,49.16944,62735.5613830213
7.6,0.00176661,2.68673,49.83389,23711.9486386289
7.7,0.00183069,2.77104,50.49834,26483.9561936851
7.8,0.00187193,2.81419,51.16279,49748.0838351222
7.9,0.00187801,2.79196,51.82724,24126.2467582182
8,0.00188694,2.81079,52.49169,69337.5668104742
8.1,0.00197296,2.90974,53.15615,37940.6213046153
8.2,0.00209794,3.10918,53.8206,29972.5454414749
8.3,0.00214724,3.17532,54.48505,38499.8167669622
8.4,0.00218825,3.23211,55.1495,44395.2121307321
8.5,0.00225149,3.30514,55.81395,27839.6144783375
8.6,0.0022735,3.4684,56.47841,41205.5732044797
8.7,0.00234519,3.47505,57.14286,18655.0154562549
8.8,0.00245139,3.56848,57.80731,13869.6656503251
8.9,0.00248063,3.62659,58.47176,25311.0858761605
9,0.00249562,3.68423,59.13621,35918.2675846993
9.1,0.00259774,3.83806,59.80066,30441.0938255876
9.2,0.00267715,3.97538,60.46512,29709.8940986238
9.3,0.00273559,4.05207,61.12957,23559.6128756296
9.4,0.00274939,4.00639,61.79402,18914.7287988075
9.5,0.00275153,4.07785,62.45847,12202.1181298221
9.6,0.00284808,4.17364,63.12292,6982.85321470226
9.7,0.00303739,4.38145,63.78738,17758.6524591052
9.8,0.00315427,4.54544,64.45183,14786.1002053986
9.9,0.00307261,4.59041,65.11628,15852.539917363
10,0.0031544,4.67141,65.78073,23405.0687430924
10.1,0.00334466,4.91297,66.44518,13782.1115671095
10.2,0.00346597,4.86031,67.10963,32592.3736348829
10.3,0.00342493,5.06961,67.77409,27404.0879377569
10.4,0.00355333,4.94692,68.43854,8160.18789480427
10.5,0.00352907,5.08485,69.10299,12191.8883565356
10.6,0.00358194,5.28622,69.76744,6385.66720868727
10.7,0.00377977,5.57688,70.43189,11406.3830417607
10.8,0.00396103,5.76876,71.09635,14657.9913640926
10.9,0.00409199,5.68093,71.7608,17339.2762293361
11,0.00393914,5.49757,72.42525,17391.1500664065
11.1,0.00382296,5.64389,73.0897,29274.5223566236
11.2,0.004252,6.0908,73.75415,10403.4860527141
11.3,0.00466008,6.67968,74.4186,7032.36493648276
11.4,0.00466438,6.88298,75.08306,7482.21394218852
11.5,0.00477888,6.45694,75.74751,4278.68831458374
11.6,0.00464383,6.41468,76.41196,7852.41518348262
11.7,0.0045643,7.01381,77.07641,8811.74814615238
11.8,0.00534608,7.42433,77.74086,20249.7879780998
11.9,0.00578913,7.89659,78.40532,17064.4707884328
12,0.00533505,7.51947,79.06977,7352.05260199839
12.1,0.00448253,6.41743,79.73422,8378.43283871665
12.2,0.00530248,8.13185,80.39867,13889.7304602097
12.3,0.00613097,9.03754,81.06312,9045.43272766025
12.4,0.00660962,8.43571,81.72757,6722.75501049289
12.5,0.00572851,7.34584,82.39203,3810.14188024033
12.6,0.00482751,7.47455,83.05648,12050.8229465255
12.7,0.00588415,9.03496,83.72093,17174.0992017523
12.8,0.00681356,10.2795,84.38538,5487.98360605815
12.9,0.00694968,8.66142,85.04983,6858.41453875358
13,0.00504491,7.40818,85.71429,14311.6204266398
13.1,0.0057873,8.86231,86.37874,7734.18726375579
13.2,0.00736111,11.3674,87.04319,7922.79393354449
13.3,0.00795442,10.299,87.70764,2596.93495828838
13.4,0.00656254,7.99166,88.37209,3848.1654763175
13.5,0.00567905,7.32611,89.03654,6075.65605198228
13.6,0.0071151,10.7225,89.701,4964.97648387546
13.7,0.00802301,13.2751,90.36545,10743.3528694409
13.8,0.00779334,10.4598,91.0299,14276.8314963423
13.9,0.00537823,7.30556,91.69435,9197.50107836741
14,0.00677408,8.73222,92.3588,4796.91801756633
14.1,0.00830538,13.3091,93.02326,4632.48467584242
14.2,0.00885437,13.1941,93.68771,4492.67362263897
14.3,0.00773205,9.77299,94.35216,5503.33569640885
14.4,0.00672574,7.71708,95.01661,3334.63263000319
14.5,0.00823327,11.6777,95.68106,7725.23611564057
14.6,0.00979624,16.4589,96.34551,16385.5244147757
14.7,0.00959467,12.4604,97.00997,11330.0835365274
14.8,0.00651447,9.0267,97.67442,8361.48425382734
14.9,0.0085883,10.6913,98.33887,6582.79642365452
15,0.0107124,16.5871,99.00332,5267.5140564252
15.1,0.00981606,17.4999,99.66777,7405.28351377264
15.2,0.0103187,13.0653,,
15.3,0.00837481,10.0845,,
15.4,0.00958207,12.6208,,
15.5,0.0116301,16.08,,
15.6,0.0124904,14.4535,,
15.7,0.00858268,15.2722,,
15.8,0.0102087,13.661,,
15.9,0.0128523,19.7674,,
16,0.0127525,19.2458,,
16.1,0.0111418,15.6423,,
16.2,0.0114126,11.5509,,
16.3,0.012648,16.1904,,
16.4,0.0147157,22.162,,
16.5,0.0141496,23.6257,,
16.6,0.0113121,12.2184,,
16.7,0.0121683,15.6603,,
16.8,0.0149277,23.67,,
16.9,0.0148143,23.1262,,
17,0.0108856,22.0724,,
17.1,0.0106309,12.96,,
17.2,0.0119927,13.2823,,
17.3,0.0148733,16.2261,,
17.4,0.013417,17.5386,,
17.5,0.0100023,25.4333,,
17.6,0.0130648,20.0045,,
17.7,0.0162902,20.7967,,
17.8,0.0126034,24.4934,,
17.9,0.0122584,14.1115,,
18,0.0117442,22.9024,,
18.1,0.0150322,23.2836,,
18.2,0.0137488,19.5753,,
18.3,0.0100288,22.3338,,
18.4,0.0101976,13.3639,,
18.5,0.0146047,16.0635,,
18.6,0.0136634,23.1573,,
18.7,0.0102439,18.1973,,
18.8,0.00907173,12.4118,,
18.9,0.012744,17.3289,,
19,0.0149957,20.0369,,
19.1,0.0116519,18.5708,,
19.2,0.0107859,14.2712,,
19.3,0.0121685,15.2389,,
19.4,0.0153453,24.1782,,
19.5,0.0149939,24.381,,
19.6,0.0105975,13.4253,,
19.7,0.0117984,18.2935,,
19.8,0.0153778,22.9156,,
19.9,0.014679,22.0963,,
20,0.00926014,22.0225,,
20.1,0.0113078,14.4387,,
20.2,0.0141937,16.817,,
20.3,0.014563,25.029,,
20.4,0.0119732,22.826,,
20.5,0.0129615,13.5839,,
20.6,0.0112733,18.6527,,
20.7,0.015022,22.2998,,
20.8,0.0136606,22.7679,,
20.9,0.00934783,18.2653,,
21,0.00964957,13.8273,,
21.1,0.0139128,14.7064,,
21.2,0.0147264,15.4433,,
21.3,0.00773385,17.7166,,
21.4,0.010199,15.5383,,
21.5,0.0144813,17.3908,,
21.6,0.0154384,20.3645,,
21.7,0.0112063,22.1638,,
21.8,0.0118613,14.6507,,
21.9,0.0139966,22.0763,,
22,0.0153428,25.0776,,
22.1,0.0137838,19.2664,,
22.2,0.0111317,24.7401,,
22.3,0.011818,14.4834,,
22.4,0.0154631,18.9725,,
22.5,0.0148608,25.4875,,
22.6,0.00925568,16.2224,,
22.7,0.0102828,15.4312,,
22.8,0.0150362,21.9007,,
22.9,0.0153706,21.5648,,
23,0.00885734,25.2881,,
23.1,0.0105498,12.6559,,
23.2,0.0138083,16.4244,,
23.3,0.0151963,25.1175,,
23.4,0.0136029,23.9378,,
23.5,0.0111466,13.6568,,
23.6,0.0118162,16.4809,,
23.7,0.0155692,24.721,,
23.8,0.0144892,23.4412,,
23.9,0.010288,20.7363,,
24,0.0102217,15.111,,
24.1,0.0125141,10.5759,,
24.2,0.0141866,15.57,,
24.3,0.012289,21.8976,,
24.4,0.013673,17.1084,,
24.5,0.0136795,20.7209,,
