cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,m/s,cm,KW/m2,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K
z,T_CL,X_O2,X_CO2,X_Methanol,X_H2O,X_N2,U,r_rad1,radHF,T_3.8,T_30.8,T_40,T_41,T_50,T_51,T_60,T_61,T_3.8_RMS,T_30.8_RMS,T_40_RMS,T_41_RMS,T_50_RMS,T_51_RMS,T_60_RMS,T_61_RMS,T_CL_RMS
0,678.22,0.00149,0.040729,0.6417,0.081509,0.23457,0.012686,0,13.202,1058.4,1238.5,1109.2,1093.1,938.36,922.06,787.02,772.98,84.0464157474904,199.243569532369,268.227515367085,272.438983994582,278.793830634754,276.173858284958,233.205917592157,226.808289090148,27.8508527697089
1.2,880.69,0.0051409,0.059708,0.46071,0.11949,0.35495,0.08074,0.15,13.239,1062.3,1229.8,1101.6,1085.7,933.5,917.34,784.13,770.08,84.407345651904,203.105883715859,269.312086620709,273.292883185787,278.637757671138,275.990941880345,232.886238322491,226.481787347239,68.3125171546182
2.4,1011.4,0.0085997,0.071983,0.33842,0.14406,0.43694,0.23232,0.3,13.276,1066.3,1221.1,1094,1078.4,928.61,912.61,781.23,767.19,84.7667387599641,206.896109194929,270.39230758289,274.144122680024,278.486983537831,275.809717015191,232.566119630526,226.152603345617,82.8094197540352
3.6,1096.2,0.010765,0.079199,0.26587,0.1585,0.48567,0.45037,0.45,13.313,1070.3,1212.4,1086.3,1071,923.6,907.89,778.34,764.3,85.1246145365722,210.618137870412,271.468230185412,274.990908940641,278.354091042327,275.626558952507,232.245559699211,225.822939490212,83.6295402354933
4.8,1152.9,0.012207,0.083679,0.22034,0.16746,0.51632,0.67971,0.6,13.35,1074.2,1203.7,1078.7,1063.7,918.6,903.17,775.45,761.41,85.4809920391662,214.277856998804,272.538070735081,275.836908335342,278.222932196467,275.44327909753,231.926712562395,225.495011031286,80.9981481269788
6,1192.9,0.013327,0.08669,0.18899,0.17349,0.5375,0.91203,0.75,13.387,1078.2,1195,1071.1,1056.4,913.59,898.45,772.55,758.55,85.8358899295627,217.873816692139,273.605555499153,276.680320948202,278.091711491012,275.261693666227,231.605267643031,225.164384395046,77.7090728293679
7.2,1222.2,0.014319,0.088825,0.16581,0.17776,0.55328,1.1383,0.9,13.424,1082.2,1186.3,1063.5,1049,908.59,893.72,769.66,755.81,86.1893264853601,221.420414596306,274.668891576749,277.51936869343,277.960428838351,275.078170707892,231.283375969826,224.828823774889,75.0319931762445
8.4,1244.2,0.015256,0.090399,0.14774,0.18091,0.5657,1.3493,1.05,13.461,1086.1,1177.7,1055.9,1041.7,903.58,889,766.77,753.07,86.5413196109234,225.01999911119,275.728126965676,278.357683565588,277.827284477245,274.896344100826,230.963200532033,224.494988808214,73.2345546856127
9.6,1260.8,0.01619,0.091584,0.13303,0.18328,0.57592,1.5433,1.2,13.498,1090.2,1169,1048.3,1034.3,898.58,884.28,763.83,750.33,86.8049537756919,228.562901626664,276.781502272099,279.236458937582,277.695876814907,274.712577069198,230.642580630724,224.160656672843,72.3940605298529
10.8,1273.5,0.017145,0.092473,0.12078,0.18506,0.58454,1.7229,1.35,13.535,1094.3,1160.3,1040.7,1026.8,893.57,879.55,760.84,747.59,87.0471136798918,232.051718373297,277.832683462547,280.17316074171,277.564406940083,274.5286870256,230.323685277915,223.825825140889,72.4941376940232
12,1282.9,0.018175,0.09312,0.11026,0.18636,0.59209,1.8884,1.5,13.572,1098.4,1151.7,1033.1,1019.3,888.57,874.83,757.84,744.84,87.2891745865431,235.488853239384,278.879902466994,281.104962602939,277.432874764329,274.346496241523,230.004347784993,223.490491967779,73.4642770331268
13.2,1289.8,0.019292,0.093567,0.10105,0.18725,0.59884,2.0428,1.65,13.609,1102.5,1143,1025.5,1011.8,883.56,870.11,754.84,742.1,87.5299948589054,238.876537148377,279.923203754173,282.03545876361,277.29947710012,274.162360655142,229.684566307795,223.154654892073,75.4771488597708
14.4,1294.4,0.020553,0.09381,0.092928,0.18774,0.60497,2.189,1.8,13.646,1106.7,1134.3,1017.8,1004.4,878.56,865.38,751.85,739.36,87.7707240485118,242.216844996379,280.989323640597,282.961128072391,277.167819199849,273.978101314685,229.366518916777,222.818311635287,78.68354338742
15.6,1297.2,0.021951,0.093888,0.085573,0.18789,0.61069,2.3283,1.95,13.683,1110.8,1125.7,1010.1,996.89,873.55,860.66,748.85,736.62,88.0102266784946,245.511710514998,282.132947384739,283.885540315107,277.036098730833,273.795544156584,229.045846938992,222.481459901719,83.33306666624
16.8,1298.4,0.023487,0.093817,0.078855,0.18775,0.61609,2.4606,2.1,13.72,1114.9,1117,1002.4,989.42,868.54,855.86,745.85,733.88,88.2490793153107,248.762939361956,283.270189042193,284.806952162337,276.904315603784,273.625656691766,228.724725379658,222.144097378256,89.4918990747207
18,1298.2,0.02514,0.093615,0.072709,0.18735,0.62119,2.5852,2.25,13.757,1119,1108.3,994.63,981.94,863.54,851,742.86,731.14,88.4878522736313,251.972220691091,284.402883248395,285.723642703925,276.770663185244,273.464805779464,228.403152342519,221.806221734198,96.9680359706228
19.2,1296.7,0.026949,0.093273,0.067025,0.18666,0.62609,2.7025,2.4,13.794,1122.7,1097.5,985.17,972.79,857.27,844.9,738.99,727.54,90.6796559322983,254.786184868803,285.147330339949,286.256877646634,276.282464155798,272.94871313124,227.828883155758,221.228388775039,105.560409245133
20.4,1294.2,0.028876,0.092823,0.061713,0.18576,0.63083,2.8116,2.55,13.849,1124.7,1076.9,967.91,956.07,845.22,833.15,731.15,720.04,101.009900504852,255.974608115727,284.154887341393,285.054380776721,274.164184385926,270.811742729151,226.092901259637,219.560925485388,115.008695323441
21.6,1290.7,0.030918,0.092271,0.056734,0.18466,0.63542,2.9119,2.7,13.906,1126.6,1056.2,950.64,939.34,832.92,821.41,723.31,712.54,110.372097923343,257.221694263917,283.158965953755,283.846789659492,272.02573407676,268.657774873537,224.34571535913,217.882996124067,125.123938556936
22.8,1286.3,0.03304,0.091642,0.052049,0.1834,0.63987,3.0048,2.85,13.962,1128.6,1035.5,933.37,922.62,820.62,809.67,715.47,705.05,119.004201606498,258.528528406441,282.15952934466,282.634038997429,269.870339237197,266.486397401443,222.582568949143,216.189731486026,135.528594768779
24,1280.9,0.035329,0.09088,0.047714,0.18187,0.6442,3.0909,3,14.019,1130.5,1014.8,916.11,905.67,808.32,797.93,707.63,697.55,127.051170793504,259.828789782811,281.154761652724,281.504884504692,267.697590575634,264.299073021454,220.80760856456,214.485430740645,146.232691283447
25.2,1274.4,0.037748,0.090019,0.043601,0.18015,0.64848,3.1716,3.15,14.076,1132.5,994.03,898.78,888.67,796.02,786.18,699.79,690.05,134.617977996997,261.124491382942,280.17316074171,280.38723223428,265.505178857212,262.091587045445,219.018264078592,212.76512872179,157.028659804508
26.4,1266.9,0.040308,0.089054,0.03973,0.17822,0.65269,3.2452,3.3,14.133,1134.4,973.3,881.25,871.67,783.72,774.44,691.95,682.56,141.781522068286,262.411889974521,279.275849295996,279.266897429681,263.296410913632,259.865349748673,217.211878128246,211.033172747793,167.797497001594
27.6,1258.4,0.042981,0.088,0.036079,0.17611,0.65683,3.3107,3.45,14.19,1136.7,952.57,863.72,854.67,771.42,762.7,683.9,675.06,148.317227590054,263.693003320149,278.377441614798,278.142050039184,261.068956408072,257.619875009674,215.329979334044,209.284495364563,178.423653140496
28.8,1249,0.045761,0.086856,0.032709,0.17382,0.66085,3.3674,3.6,14.247,1140.2,931.85,846.19,837.67,759.12,750.96,675.84,667.56,153.613150478727,264.967922586867,277.474323136394,277.012635090893,258.820401050613,255.354655332539,213.42445970413,207.521083266255,188.960313293559
30,1238.5,0.048713,0.085595,0.029516,0.1713,0.66488,3.417,3.75,14.304,1143.6,911.12,828.73,820.66,746.82,738.97,667.77,660.07,158.73562927081,266.23861478005,276.539328125314,275.876784090289,256.554087864528,253.063233204668,211.501773042214,205.744987788281,199.243569532369
31.2,1226.7,0.051811,0.08423,0.026535,0.16856,0.66886,3.4586,3.9,14.36,1147.1,890.39,811.46,803.66,734.52,726.96,659.71,652.57,163.694838037123,267.501401865486,275.514064976727,274.738057065271,254.267575597047,250.750872381334,209.561446836006,203.950974501227,209.21759008267
32.4,1213.8,0.055065,0.082755,0.023757,0.16561,0.67281,3.4924,4.05,14.417,1150.5,869.67,794.2,786.66,722.21,715.1,651.64,644.91,168.508160039803,268.758255687151,274.486793853548,273.594590589799,251.960314335413,248.421013603922,207.602986491043,202.081666659794,218.858401712157
33.6,1199.6,0.058468,0.081175,0.021177,0.16245,0.67673,3.5207,4.2,14.474,1154,849.03,776.93,769.9,709.91,703.36,643.58,637.07,173.190646398701,269.898128930158,273.455663682433,272.350876627926,249.629725794025,246.071127928491,205.625873858326,200.124960961895,228.140307705587
34.8,1184.5,0.061975,0.079514,0.018799,0.15913,0.68059,3.5478,4.35,14.531,1157.5,828.4,759.66,753.18,697.61,691.61,635.52,629.23,177.747011226631,271.020294443055,272.420630643129,271.086701997719,247.279194434146,243.700636027073,203.629565633284,198.146410515053,236.953581952246
36,1168.4,0.065565,0.077785,0.01661,0.15567,0.68437,3.5751,4.5,14.588,1160.9,807.76,742.39,736.45,685.31,679.87,627.45,621.39,182.192206199936,272.137832724522,271.379807649722,269.816604381569,244.906104456381,241.304786525257,201.613491612045,196.15045245933,245.161171477051
37.2,1151.9,0.069146,0.076038,0.014634,0.15217,0.68801,3.6004,4.65,14.645,1164.4,787.13,725.13,719.73,673.16,668.13,619.6,613.55,186.528818148832,273.250800547775,270.336826940023,268.540499738866,242.511855380309,238.88490952758,199.647188810662,194.133974357916,253.053354057993
38.4,1134.1,0.072911,0.074169,0.012824,0.14843,0.69166,3.6208,4.8,14.676,1154.5,769.73,711.15,706.12,662.43,657.58,611.65,605.81,195.974488135573,269.235955993994,265.990601337716,264.213928474636,238.700649349766,235.093598381581,196.855276789829,191.441897190766,260.142268768457
39.6,1115.5,0.076759,0.072237,0.01117,0.14456,0.69527,3.6377,4.95,14.649,1142.5,752.83,697.66,692.99,651.86,647.2,603.68,598.08,205.73040611441,264.359603570591,261.055549644132,259.337617788087,234.591133677298,231.032465251098,193.902037121842,188.610710194305,266.381305650378
40.8,1096.3,0.080652,0.070261,0.0096814,0.14061,0.6988,3.6451,5.1,14.621,1130.6,735.92,684.18,679.86,641.17,636.83,595.72,590.35,215.046506597991,259.391595854607,256.025389365977,254.369809529354,230.321514409749,226.898655791523,190.900497642096,185.736372313018,271.672597072285
42,1076.6,0.084574,0.068251,0.0083482,0.13659,0.70224,3.646,5.25,14.593,1118.7,719.01,670.7,666.73,630.47,626.45,587.75,582.63,223.975445082714,254.324595743314,250.894400096933,249.303028461349,225.971237107735,222.688122718748,187.851004788369,182.819583196112,276.001811588258
43.2,1056.6,0.088478,0.066235,0.0071557,0.13255,0.70558,3.6442,5.4,14.566,1106.7,702.1,657.22,653.6,619.78,616.08,579.79,574.9,232.559669762407,249.156577276218,245.658299269534,244.131112314674,221.535550194546,218.396428542227,184.751184028682,179.852717521866,279.367141947653
44.4,1036.5,0.092326,0.064232,0.0061232,0.12854,0.70878,3.6415,5.55,14.538,1094.8,685.14,643.74,640.46,609.08,605.71,571.82,567.17,240.840195980654,243.883168750941,240.306054855054,238.845138112544,217.01152043152,214.018690772558,181.598458143234,176.836082290917,281.975176212375
45.6,1015.7,0.096268,0.062162,0.0052091,0.1244,0.71196,3.6396,5.7,14.511,1082.9,668,630.26,627.33,598.39,595.33,563.85,559.44,248.847342762586,238.509957863398,234.831854738662,233.441641529527,212.388794431345,209.549516821204,178.390022142495,173.767085490895,283.233119532303
46.8,994.43,0.10023,0.060069,0.0044082,0.12021,0.71508,3.6368,5.85,14.483,1073.8,650.86,616.78,614.09,587.69,584.96,555.79,551.71,256.709953059869,233.01287518075,229.226961764972,227.872771519548,207.663188841932,204.98292611825,175.034282356343,170.642901991264,283.496031718259
48,973.08,0.10417,0.057978,0.003717,0.11603,0.71811,3.6304,6,14.456,1064.7,633.72,603.3,600.78,577,574.59,547.66,543.98,264.338797757726,227.3829369148,223.483780172074,222.141846575561,202.827512926624,200.312256240101,171.569228010153,167.463428843434,282.727784273141
49.2,952.14,0.10799,0.055935,0.0031251,0.11194,0.72101,3.6228,6.15,14.428,1055.6,616.58,589.82,587.47,566.3,564.21,539.54,536.25,271.751724925528,221.607761596926,217.586764303346,216.261415883648,197.873697089836,195.530048841604,168.029759269006,164.219365484099,280.743655315663
50.4,931.67,0.1117,0.053947,0.0026188,0.10796,0.72377,3.6141,6.3,14.4,1046.4,599.44,576.33,574.17,555.6,553.84,531.42,528.45,278.969532386603,215.680318990862,211.525412184919,210.216555009352,192.795228156716,190.627909813857,164.414111316517,160.829101844163,277.667066826442
51.6,912.17,0.11519,0.052072,0.0021956,0.10421,0.72633,3.6064,6.45,14.373,1037.3,582.3,562.73,560.86,544.91,543.47,523.3,520.48,286.005244707156,209.585304828368,205.25106577068,203.992646926305,187.576650998998,185.596336170734,160.72025385744,157.19732822157,274.268116995031
52.8,892.43,0.11872,0.050166,0.0018349,0.10039,0.72888,3.5972,6.6,14.345,1028.2,565.16,549.07,547.56,534.21,533.08,515.18,512.51,292.871985686579,203.307648651004,198.763678774569,197.570240674045,182.208671582886,180.413414135424,156.936292806986,153.479640343597,269.742469774413
54,873.33,0.12211,0.048332,0.0015296,0.096725,0.7313,3.5842,6.75,14.318,1019.1,548.02,535.41,534.25,523.52,522.54,507.06,504.55,299.581374587941,196.829875781092,192.057283121469,190.934543757802,176.677672613152,174.965710926456,153.06207890918,149.669636199197,264.544892220583
55.2,855.44,0.12524,0.046635,0.0012756,0.093328,0.73352,3.5724,6.9,14.29,1009.9,530.87,521.75,520.95,512.82,512.01,498.94,496.58,306.143757081538,190.128903641714,185.110777644091,184.059772900001,170.970757733596,169.342847501747,149.083869013385,145.760076838619,259.272057885149
