s,kg/m2/s,Kw,Hz,m2/s2/Hz2
Time,MLRPUA,HRR,Frequency,Turbulent energy spectrum
0.1,0.000162036,0.00168807,0,0
0.2,0.000159599,0.0052501,0.66445,2491.92814172242
0.3,0.000157941,0.00995861,1.3289,7571.73971105539
0.4,0.000156731,0.015505,1.99336,59436.7735008293
0.5,0.000155826,0.0216373,2.65781,145275.152950904
0.6,0.000155172,0.0281348,3.32226,46628.6614975257
0.7,0.000154731,0.0347806,3.98671,140755.647675805
0.8,0.000154459,0.0415501,4.65116,72629.3968867809
0.9,0.00015433,0.0483739,5.31561,71404.4945759044
1,0.000154322,0.0552254,5.98007,141061.073935493
1.1,0.000154422,0.0621051,6.64452,118575.796108787
1.2,0.000154612,0.0689507,7.30897,150324.11274164
1.3,0.000154884,0.0757461,7.97342,42543.6412483838
1.4,0.000155234,0.0825524,8.63787,62273.8310618694
1.5,0.000155649,0.0892674,9.30233,86033.2228186615
1.6,0.000156133,0.0959815,9.96678,19895.7838227272
1.7,0.00015825,0.102767,10.63123,45124.9235749548
1.8,0.000163713,0.110063,11.29568,61699.2430246665
1.9,0.000177932,0.119161,11.96013,32290.7177081268
2,0.000197644,0.131638,12.62458,15740.0448839992
2.1,0.00022175,0.149016,13.28904,6773.84461474831
2.2,0.000252055,0.174112,13.95349,22098.376026229
2.3,0.000292179,0.213111,14.61794,14965.4078426581
2.4,0.000342487,0.275955,15.28239,21461.2087985906
2.5,0.000408568,0.37893,15.94684,11189.1418870754
2.6,0.000484737,0.541556,16.6113,14194.8244387238
2.7,0.000566732,0.76605,17.27575,15330.5056881015
2.8,0.00063918,0.981352,17.9402,33033.1657971057
2.9,0.000695942,1.13242,18.60465,19984.6911861584
3,0.000743081,1.22565,19.2691,5667.48544099782
3.1,0.000784041,1.28792,19.93355,5476.26451500737
3.2,0.000812998,1.32026,20.59801,4871.81419684908
3.3,0.000851239,1.32816,21.26246,6192.35634517122
3.4,0.000865844,1.33127,21.92691,3106.82817181841
3.5,0.00084409,1.28942,22.59136,5881.71496449494
3.6,0.000808521,1.20144,23.25581,1544.52598856514
3.7,0.000768591,1.12001,23.92027,5429.42575512408
3.8,0.000738409,1.07165,24.58472,8608.13567444561
3.9,0.000718535,1.05627,25.24917,7310.95875793285
4,0.000731498,1.07349,25.91362,8613.43884762579
4.1,0.000772981,1.13114,26.57807,10480.7778560787
4.2,0.000820271,1.18871,27.24252,1791.752425546
4.3,0.000849224,1.22546,27.90698,5244.49007699174
4.4,0.000884131,1.25029,28.57143,3757.13228741545
4.5,0.000907351,1.28873,29.23588,2528.27284322172
4.6,0.000938308,1.3467,29.90033,3591.51589627244
4.7,0.000982526,1.43199,30.56478,2566.02001666571
4.8,0.0010259,1.50734,31.22924,2437.91881262636
4.9,0.00106343,1.56991,31.89369,3559.74263267726
5,0.00107799,1.62075,32.55814,1541.11035388139
5.1,0.00111905,1.69928,33.22259,3690.6604991648
5.2,0.00116378,1.75804,33.88704,2890.38046784807
5.3,0.0012215,1.82846,34.5515,3744.96158488574
5.4,0.00126982,1.8737,35.21595,5040.6443047216
5.5,0.00127106,1.88426,35.8804,4061.76606587138
5.6,0.00125133,1.85039,36.54485,3455.86364711261
5.7,0.00123065,1.81251,37.2093,1956.35122285467
5.8,0.00124102,1.81756,37.87375,1994.43083762635
5.9,0.00126519,1.84571,38.53821,2184.76886636825
6,0.00128359,1.8827,39.20266,1346.64479358977
6.1,0.0013386,1.94012,39.86711,1587.86862830324
6.2,0.00140727,2.05818,40.53156,2320.71349199508
6.3,0.00148616,2.20616,41.19601,2137.13151202798
6.4,0.001557,2.34618,41.86047,3452.88358546463
6.5,0.00160588,2.43272,42.52492,2261.99869920883
6.6,0.0016761,2.52901,43.18937,2449.46636084367
6.7,0.00168815,2.51606,43.85382,2360.30892651114
6.8,0.00168942,2.45159,44.51827,2566.36867213236
6.9,0.00169759,2.41998,45.18272,2776.50279585185
7,0.00166475,2.41511,45.84718,2301.90050066024
7.1,0.00171927,2.50833,46.51163,2364.48149425703
7.2,0.00183962,2.67399,47.17608,1884.20595737676
7.3,0.00193905,2.78618,47.84053,1377.0110297019
7.4,0.00202153,2.94414,48.50498,1708.52072697087
7.5,0.0020803,3.01944,49.16944,1881.22118254071
7.6,0.0021225,3.07637,49.83389,1442.51009493137
7.7,0.00224655,3.1989,50.49834,2223.06909297085
7.8,0.00229183,3.32147,51.16279,2339.7089930157
7.9,0.00235202,3.3958,51.82724,2586.63605651533
8,0.00246323,3.50272,52.49169,2797.35247012485
8.1,0.00254021,3.62008,53.15615,2315.97297590775
8.2,0.0026276,3.79637,53.8206,2532.49889584592
8.3,0.00269039,3.83321,54.48505,1914.89740067621
8.4,0.00287153,4.05478,55.1495,2034.40869541092
8.5,0.00300893,4.30101,55.81395,2015.50228951768
8.6,0.00303833,4.28854,56.47841,1409.14803032444
8.7,0.00304043,4.22954,57.14286,2267.81807526816
8.8,0.00309061,4.25126,57.80731,1663.69767284184
8.9,0.00318428,4.38682,58.47176,1996.32042219543
9,0.00319558,4.50944,59.13621,2012.13709671873
9.1,0.00332004,4.63805,59.80066,2502.01381958777
9.2,0.00356761,4.84059,60.46512,2572.10634897277
9.3,0.00382699,5.18482,61.12957,2749.07480872895
9.4,0.00402496,5.50184,61.79402,2621.20279003734
9.5,0.00426698,5.85314,62.45847,3019.38140454493
9.6,0.00429966,6.00632,63.12292,2220.66598803363
9.7,0.00420022,5.764,63.78738,2484.56480501838
9.8,0.00422506,5.81403,64.45183,2279.21710542371
9.9,0.00428712,5.92394,65.11628,1882.77730127116
10,0.00443699,5.94932,65.78073,2028.32009616347
10.1,0.00468469,6.23295,66.44518,1985.09991134799
10.2,0.00501105,6.55146,67.10963,2201.76919349189
10.3,0.00557163,7.56665,67.77409,2095.42444499249
10.4,0.00607588,8.1766,68.43854,2210.91996120055
10.5,0.00617388,8.13311,69.10299,2475.7886403286
10.6,0.00614238,7.63584,69.76744,2700.59709310619
10.7,0.00583742,7.09258,70.43189,2394.23080798078
10.8,0.00614658,7.75496,71.09635,2758.58330364263
10.9,0.00684147,9.13607,71.7608,2503.43555844632
11,0.00730469,9.85672,72.42525,2764.62654416323
11.1,0.00815107,10.4325,73.0897,2453.56346704312
11.2,0.0091554,11.1224,73.75415,2185.96579041665
11.3,0.00927394,11.8034,74.4186,2268.74259208348
11.4,0.00952068,11.7762,75.08306,2215.88635834875
11.5,0.010468,12.2817,75.74751,2069.16530633044
11.6,0.0116624,13.2263,76.41196,2526.13965916623
11.7,0.0120548,14.2926,77.07641,2350.26667390793
11.8,0.0117574,15.1454,77.74086,2692.26799283092
11.9,0.0125929,15.6555,78.40532,2673.83777375853
12,0.014107,16.8627,79.06977,2764.10025800438
12.1,0.0146544,18.7493,79.73422,2685.74789782856
12.2,0.013699,21.2905,80.39867,2775.66397447939
12.3,0.0141023,19.3001,81.06312,2923.72702765669
12.4,0.0144276,20.3347,81.72757,2922.80420755536
12.5,0.0149841,21.5547,82.39203,2768.6094695048
12.6,0.0147475,20.7939,83.05648,3103.93042420645
12.7,0.0152539,22.3884,83.72093,2994.53572277063
