s,kg/m2/s,,Hz,m2/s2/Hz2
Time,MLRPUA,HRR,Frequency,Turbulent energy spectrum
0.1,0.000161426,0.027503,0,0
0.2,0.000158961,0.0790862,0.33278,2363.66071983476
0.3,0.000157358,0.14325,0.66556,21314.5873490287
0.4,0.000156261,0.214469,0.99834,17289.9141030881
0.5,0.000155483,0.291353,1.33111,44016.1749989612
0.6,0.000154951,0.372883,1.66389,775575.734677824
0.7,0.000154619,0.457204,1.99667,79906.8447687715
0.8,0.000154448,0.543857,2.32945,103764.502255596
0.9,0.000154592,0.631625,2.66223,68752.0410684499
1,0.000155998,0.720668,2.99501,55555.4220616797
1.1,0.000158016,0.812176,3.32779,298992.875575676
1.2,0.000160168,0.905244,3.66057,205963.017945881
1.3,0.000162442,0.999305,3.99334,111746.584599277
1.4,0.000165102,1.09566,4.32612,185330.138716761
1.5,0.000168751,1.19483,4.6589,132411.725537552
1.6,0.00017293,1.30056,4.99168,195147.262565201
1.7,0.00017761,1.41545,5.32446,181813.403874859
1.8,0.000183523,1.54607,5.65724,119200.126094946
1.9,0.000192457,1.70539,5.99002,135552.315838295
2,0.000205663,1.91657,6.3228,72368.5543752974
2.1,0.000222866,2.21489,6.65557,99442.1335171531
2.2,0.000243691,2.63251,6.98835,70341.2370423813
2.3,0.000267859,3.16947,7.32113,67572.3440404146
2.4,0.000293119,3.75552,7.65391,51835.499933047
2.5,0.000317076,4.25561,7.98669,22407.6946826737
2.6,0.000338522,4.56799,8.31947,53033.7991338155
2.7,0.000361512,4.80488,8.65225,32269.5803389723
2.8,0.000387672,5.16921,8.98502,91033.894355144
2.9,0.000417509,5.72449,9.3178,100501.926137716
3,0.000449393,6.4067,9.65058,69447.0924486287
3.1,0.000487269,7.20583,9.98336,21424.7413841523
3.2,0.000530387,8.05103,10.31614,16983.4146597551
3.3,0.000579526,9.05397,10.64892,176505.103363992
3.4,0.000636092,10.294,10.9817,164809.795093025
3.5,0.000687834,11.4761,11.31448,88612.5483809661
3.6,0.000727863,12.3041,11.64725,99225.0095870143
