cm,K,K,cm,K,K,K,K,K,K,K,K,K,K
z,T_CL,T_CL_RMS,r,T_21,T_21_RMS,T_61,T_61_RMS,T_101,T_101_RMS,T_141,T_141_RMS,T_181,T_181_RMS
0,354.85,36.3510660091283,0,1268.2,302.522726419025,1193.2,423.072097874582,983.38,488.958075912445,766.26,455.708239995724,631.32,374.873311933512
2.2,832.77,202.728882994012,0.5,1263.8,308.906134610499,1187.2,426.88405920109,973.47,488.385093957627,759.65,450.610696721682,628.5,370.459174538842
4.4,1011.8,234.597527693708,1,1259.3,315.158690186388,1181.2,430.662280679421,963.56,487.821688734726,753.04,445.454823747594,625.68,365.991803186902
6.6,1100.8,254.059048254535,1.5,1254.9,321.294257651767,1175.1,434.407642658368,953.65,487.257632059263,746.43,440.238571685853,622.86,361.469224139483
8.8,1156.1,266.552058705237,2,1250.7,329.180801384285,1164,440.329422137563,936.98,484.551338869268,735.42,432.573693143723,617.99,354.950700802238
11,1193.4,276.244456957963,2.5,1246.8,339.676316513236,1149,447.738763119746,918.24,481.175643606365,723.4,424.228711899607,612.38,347.591714515752
13.2,1218.9,284.571607859955,3,1243,349.857113690718,1134.1,455.038459913006,899.49,477.765632920578,711.39,415.704221773126,606.78,340.058818441751
15.4,1238.4,291.657333183995,3.5,1239.2,359.74991313411,1117.9,461.60589251005,879.13,472.84246848184,698.78,406.546430312701,600.46,332.069269882053
17.6,1254.8,296.941071595022,4,1234.8,368.917334913934,1094.6,464.951610385425,857.33,466.529741817175,685.81,396.913088723463,593.33,323.52743314903
19.8,1267.2,302.15227948834,4.5,1230.3,377.743299080209,1071.4,468.273424400745,835.53,460.119549682471,672.84,387.040049607273,586.2,314.747517861539
22,1277.1,305.983659694435,5,1225.7,386.380641337011,1048.1,471.571839702076,814.24,452.89071529454,660.7,377.478476207585,579.07,305.988561877728
24.2,1284.5,309.470515558429,5.5,1220.9,393.992385713227,1020.2,468.497598713163,794.11,443.790491110389,649.58,368.374809127877,571.9,298.045298570536
26.4,1289.8,313.576147052036,6,1215.1,398.40933723998,990.87,463.292564153581,773.99,434.499712312908,638.45,359.054313440181,564.73,289.884459742153
28.6,1292.6,318.213764630005,6.5,1209.2,402.790268005571,961.5,458.039299623952,754.12,425.005882312233,627.81,349.728466099058,557.55,281.485345977371
30.8,1293.2,323.434692016796,7,1203.3,407.111778262432,932.87,451.497508298772,737.41,415.222831742186,618.48,340.85187398634,551.22,274.419387070229
33,1291.9,329.271924099216,7.5,1193.3,410.085356968522,905.57,442.662399577827,720.69,405.191312838763,609.15,331.737848307967,544.93,267.256431166773
35.2,1288.4,335.812447654937,8,1181,412.310562561766,878.28,433.635791880698,703.98,394.9177129479,599.89,322.428286600292,538.64,259.898056937715
37.4,1282.7,343.045186527956,8.5,1168.7,414.523823199584,850.98,424.429028224979,689.77,385.499675745648,591.44,313.418250904442,532.92,253.16002844051
39.6,1275.7,351.254893204351,9,1155.4,416.809308917159,831.96,416.497298910809,676,376.045210047941,582.98,304.144702403313,527.45,246.613057237446
41.8,1267.6,360.194391960786,9.5,1132.9,419.71418846639,813.13,408.448283139983,662.23,366.346830203292,574.53,294.57936112362,521.97,239.889557921974
44,1259.1,368.971543618204,10,1110.5,422.610932182309,794.3,400.23742953402,650.2,357.449297103799,566.57,286.956442687736,516.61,233.518735865026
46.2,1250.4,377.491721763537,10.5,1088,425.487955176172,778.28,392.975826228535,639.18,348.969912743205,558.65,279.338504327635,511.37,227.644459629485
48.4,1241.7,385.616389693177,11,1063.7,428.579047551324,764.04,386.290046467677,628.16,340.264602919551,550.74,271.508747557054,506.12,221.61678636782
50.6,1232.5,393.916234750486,11.5,1038,431.798564147682,749.79,379.486495148378,618.03,332.655978452214,543.25,265.064143180476,500.85,215.680318990862
52.8,1223.4,401.621712560464,12,1012.3,434.994252835598,735.4,373.095162123553,609.12,326.680271825527,535.9,259.030886189273,495.47,210.525532893281
55,1214.2,408.607391024685,12.5,986.94,438.05250826813,720.64,368.076079092353,600.2,320.593200177421,528.56,252.855690068466,490.08,205.241321375594
57.2,1204.9,415.198747589633,13,964.39,440.159062158216,705.87,362.973828257631,591.51,314.845994098702,521.65,247.056673660114,484.7,199.817416658308
59.4,1195.7,421.497330952404,13.5,941.85,442.255582214628,691.11,357.812800218215,583.61,310.665414875876,515.07,241.528466231208,479.27,194.766526898233
61.6,1186.6,427.200187265877,14,919.31,444.342210463962,676.83,354.344465174779,575.71,306.427805526848,508.49,235.870727306294,473.84,189.58639191672
