cm,K,K,cm,K,K,K,K,K,K,K,K,K,K
z,T_CL,T_CL_RMS,r,T_21,T_21_RMS,T_61,T_61_RMS,T_101,T_101_RMS,T_141,T_141_RMS,T_181,T_181_RMS
0,393.99,29.640344127557,0,1374.1,299.008361087111,1221.7,417.468561690578,924.75,447.068227455273,700.79,355.485583392632,574.97,245.662369930765
2.2,1046,204.355083127384,0.5,1368.6,304.975408844713,1219,418.318060810193,926.31,444.09458452001,702.2,355.232318349556,576.24,246.347315796215
4.4,1199,230.633909042014,1,1363.1,310.826318062033,1216.2,419.153909679965,927.87,441.100895487642,703.61,354.978872610751,577.51,247.028338455328
6.6,1269.5,241.031118322925,1.5,1357.5,316.575425451819,1213.4,419.988095069372,929.43,438.086749400162,705.01,354.739340925136,578.78,247.707488784655
8.8,1311.4,250.003999968001,2,1350.9,323.604697122894,1201.6,422.042651873007,922.81,433.28974139714,702.62,352.065334845679,578.63,246.981780704569
11,1337.6,259.89613309936,2.5,1342.7,332.565782966318,1183.3,424.947055525744,913.69,427.890172824757,699.36,348.812270426371,577.94,245.73563030216
13.2,1353.3,270.227681779643,3,1334.5,341.306314034768,1165,427.83174262787,904.56,422.421590357311,696.11,345.52858058343,577.26,244.483128252237
15.4,1363,280.60648602625,3.5,1326.3,349.814236416987,1145,430.441633674067,891.65,416.785316440011,690.95,341.027858099599,575.84,242.668498161587
17.6,1369.5,290.234388038358,4,1316.2,358.231768552148,1116.6,431.752243769503,875.4,410.986617787003,684.66,335.767776893495,573.57,240.195753501181
19.8,1373.9,298.32700179501,4.5,1305.5,366.483287477069,1088.1,433.07043307065,859.15,405.104924680014,678.38,330.423970074812,571.29,237.699389986596
22,1376,305.55850503627,5,1294.9,374.553067001193,1059.7,434.373111506686,841.93,398.835805814874,671.42,324.57664734235,568.83,235.034040087814
24.2,1376.3,312.017627707154,5.5,1283.3,382.073291398391,1028.6,431.288766373528,822.44,391.765235823701,663.64,318.119474411737,565.61,231.771439137785
26.4,1375,318.339441477175,6,1268.1,388.046388979462,996.63,426.743482668453,802.96,384.564688966629,655.85,311.533304800626,562.39,228.46225071114
28.6,1371.9,325.192250830182,6.5,1252.9,393.916234750486,964.69,422.149262702187,783.43,377.067633190652,647.68,304.621076092906,559.16,225.106641394695
30.8,1367.6,332.580817245974,7,1237.7,399.712396605359,934.03,415.884599378241,763.37,367.409852889113,638.5,297.048817536781,555.16,220.739665669766
33,1362.3,340.249908155755,7.5,1220,403.608721412211,905.68,406.558728844923,743.32,357.505244716773,629.31,289.278412606264,551.11,216.229045227509
35.2,1356.3,347.893661914097,8,1201,406.460330167656,877.33,397.001259443846,723.26,347.303901504144,620.02,281.280998291744,547.07,211.624667749296
37.4,1349.3,355.204166642228,8.5,1181.9,409.292071753167,848.98,387.220867206301,704.94,336.719467806659,609.75,272.924898094696,542.44,206.455806409023
39.6,1341.2,362.229209203234,9,1162.8,411.861627248764,826.15,377.663871716636,686.92,325.775996660282,599.47,264.304748349325,537.55,200.950242597515
