z(m),r(m),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0.04,-0.04,1023.2,288.4,0.33,0.468,0.264,0.243,92.958,12.544,0.058
0.04,-0.02,1026.7,236,0.351,0.406,0.23,0.193,56.316,12.47,0.031
0.04,0,911.4,224.4,0.374,0.298,0.054,0.16,38.993,1.705,-0.004
0.04,0.02,962,221.6,0.361,0.387,-0.143,0.189,50.599,-16.597,-0.032
0.04,0.04,1059.1,280.6,0.375,0.438,-0.226,0.234,78.585,-4.74,-0.041
0.04,0.06,1120,323.6,0.424,0.426,-0.333,0.239,90.249,-7.667,-0.039
0.04,0.08,1108.1,323.6,0.497,0.395,-0.404,0.246,95.756,9.66,-0.007
0.04,0.1,1009.7,326.8,0.43,0.392,-0.372,0.217,96.444,16.885,0.024
0.04,0.12,802,309.7,0.298,0.293,-0.313,0.211,57.982,23.882,0.041
0.04,0.14,431.5,137.2,0.1,0.161,-0.283,0.158,6.407,0.904,0.004
0.04,0.16,298.7,2.7,0.069,0.095,-0.197,0.104,-0.049,-0.051,-0.005
