z(m),r(m),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0.14,-0.04,952.7,299.8,1.369,0.868,0.007,0.378,191.846,-23.372,-0.071
0.14,-0.02,1147.2,231.9,1.634,0.845,-0.032,0.32,63.356,-14.64,0.011
0.14,0,1136.7,227.5,1.763,0.709,-0.024,0.284,20.511,-5.473,0.02
0.14,0.02,1168.5,233.2,1.706,0.887,-0.046,0.276,78.687,11.055,0.014
0.14,0.04,921.9,302.3,1.34,0.907,-0.059,0.35,221.945,13.582,0.065
0.14,0.06,854.3,263.3,1.172,0.706,-0.098,0.42,142.176,16.663,0.054
0.14,0.08,860,263.5,1.105,0.567,-0.113,0.44,90.499,35.971,0.082
0.14,0.1,784.3,276,0.889,0.522,-0.112,0.438,73.427,46.425,0.108
0.14,0.12,644.8,257.7,0.622,0.47,-0.12,0.436,75.259,38.958,0.088
0.14,0.14,539.3,241.9,0.363,0.335,-0.149,0.39,44.29,5.74,0.032
0.14,0.16,412.4,155.8,0.151,0.202,-0.176,0.268,10.153,-8.232,0.001
