,z(cm),T-avg(K),T-rms(K),Uz-avg(m/s),Uz-rms(m/s),Uz'T'(m-K/s)
0,2.0,750.1,187.5,0.13,0.2,10.3
1,4.0,878.7,188.4,0.36,0.28,23.8
2,6.0,979.6,203.4,0.68,0.4,42.8
3,8.0,1022.6,184.5,0.95,0.55,45.5
4,10.0,1057.7,171.4,1.23,0.69,45.3
5,12.0,1093.5,173.2,1.49,0.79,38.9
6,14.000000000000002,1119.4,182.5,1.7,0.88,37.7
7,16.0,1133.6,191.2,1.89,0.96,40.4
8,18.0,1145.4,204.9,2.04,1.03,47.8
9,20.0,1157.1,213.9,2.19,1.08,51.1
10,30.0,1097.2,245.9,2.61,1.2,154.8
