,z(cm),r(cm),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0,18.0,-4.0,930.4,300.6,1.58,0.848,-0.006,0.304,167.06400000000002,-31.73,-0.077
1,18.0,-2.0,1088.9,275.9,1.8519999999999999,0.9209999999999999,0.002,0.287,126.01100000000001,-24.81,-0.034
2,18.0,0.0,1145.4,204.9,2.045,1.034,-0.011000000000000001,0.27699999999999997,47.818999999999996,4.063,0.018000000000000002
3,18.0,2.0,984.3,301.4,1.704,0.9670000000000001,-0.03,0.29,172.308,28.395,0.044000000000000004
4,18.0,4.0,851.1,309.8,1.5019999999999998,0.866,-0.05,0.32799999999999996,202.80900000000003,29.041,0.06
5,18.0,6.0,780.6,303.7,1.365,0.7929999999999999,-0.064,0.363,194.253,26.208000000000002,0.077
6,18.0,8.0,775.3,319.9,1.188,0.672,-0.05,0.43700000000000006,159.67700000000002,46.156000000000006,0.12
7,18.0,10.0,734.5,316.1,0.966,0.618,-0.054000000000000006,0.474,134.593,52.504,0.147
8,18.0,12.0,604.9,257.8,0.61,0.462,-0.059000000000000004,0.42700000000000005,69.896,24.073,0.091
9,18.0,14.000000000000002,473.0,207.7,0.318,0.321,-0.125,0.361,39.468,2.6830000000000003,0.035
10,18.0,16.0,351.8,96.6,0.128,0.21600000000000003,-0.141,0.27,6.172999999999999,-2.295,0.006
