,z(cm),T-avg(K),T-rms(K),Uz-avg(m/s),Uz-rms(m/s),Uz'T'(m-K/s)
0,2.0,746.1,235.5,0.07,0.18,28.3
1,4.0,884.7,237.8,0.32,0.28,40.5
2,6.0,952.5,228.1,0.65,0.37,38.4
3,8.0,1006.5,235.9,0.98,0.47,40.7
4,10.0,1048.1,230.0,1.28,0.56,37.0
5,12.0,1087.2,224.8,1.53,0.64,28.6
6,14.000000000000002,1136.7,227.5,1.76,0.71,20.5
7,16.0,1166.7,232.3,1.93,0.8,25.1
8,18.0,1165.7,230.0,2.02,0.91,45.1
9,20.0,1127.8,240.8,2.08,0.99,91.7
10,30.0,1012.5,265.3,2.4,1.07,175.5
