z(m),r(m),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0.02,-0.04,922.3,232.7,0.124,0.302,0.19,0.228,41.803,10.881,0.026
0.02,-0.02,864.9,203.1,0.142,0.283,0.144,0.173,33.631,9.382,0.019
0.02,0,751,220.9,0.129,0.184,0.024,0.128,17.888,4.518,0.001
0.02,0.02,794,207.1,0.123,0.236,-0.102,0.149,25.613,-14.972,-0.018
0.02,0.04,891.3,197.2,0.117,0.29,-0.13,0.206,34.953,-13.076,-0.025
0.02,0.06,943.1,231.7,0.166,0.267,-0.167,0.26,41.619,-11.231,-0.02
0.02,0.08,976.5,254.9,0.23,0.249,-0.239,0.276,45.764,11.919,-0.003
0.02,0.1,1006,262.9,0.251,0.261,-0.314,0.29,44.054,25.982,0.021
0.02,0.12,946,214.7,0.172,0.196,-0.307,0.241,27.165,36.096,0.025
0.02,0.14,855.9,241.6,0.015,0.115,-0.313,0.201,15.842,38.928,0.009
0.02,0.16,300.1,1.5,0.179,0.108,-0.278,0.068,-0.061,0.012,-0.005
